Image,Class,Train,Test
/images/1-1-0-1.bmp,1,True,False
/images/1-54-1-1.bmp,1,True,False
/images/1-53-2-1.bmp,1,True,False
/images/1-52-3-1.bmp,1,True,False
/images/1-51-4-1.bmp,1,True,False
/images/1-50-5-1.bmp,1,True,False
/images/1-49-6-1.bmp,1,True,False
/images/1-48-7-1.bmp,1,True,False
/images/1-46-8-1.bmp,1,True,False
/images/1-45-9-1.bmp,1,True,False
/images/1-44-10-1.bmp,1,True,False
/images/1-43-11-1.bmp,1,True,False
/images/1-42-12-1.bmp,1,True,False
/images/1-41-13-1.bmp,1,True,False
/images/1-47-14-1.bmp,1,True,False
/images/1-56-15-1.bmp,1,True,False
/images/1-57-16-1.bmp,1,True,False
/images/1-58-17-1.bmp,1,True,False
/images/1-73-18-1.bmp,1,True,False
/images/1-72-19-1.bmp,1,True,False
/images/1-71-20-1.bmp,1,True,False
/images/1-70-21-1.bmp,1,True,False
/images/1-69-22-1.bmp,1,True,False
/images/1-68-23-1.bmp,1,True,False
/images/1-67-24-1.bmp,1,True,False
/images/1-66-25-1.bmp,1,True,False
/images/1-65-26-1.bmp,1,True,False
/images/1-64-27-1.bmp,1,True,False
/images/1-61-28-1.bmp,1,True,False
/images/1-60-29-1.bmp,1,True,False
/images/1-59-30-1.bmp,1,True,False
/images/1-40-31-1.bmp,1,True,False
/images/1-39-32-1.bmp,1,True,False
/images/1-38-33-1.bmp,1,True,False
/images/1-37-34-1.bmp,1,True,False
/images/1-17-35-1.bmp,1,True,False
/images/1-16-36-1.bmp,1,True,False
/images/1-15-37-1.bmp,1,True,False
/images/1-14-38-1.bmp,1,True,False
/images/1-13-39-1.bmp,1,True,False
/images/1-12-40-1.bmp,1,True,False
/images/1-11-41-1.bmp,1,True,False
/images/1-10-42-1.bmp,1,True,False
/images/1-9-43-1.bmp,1,True,False
/images/1-8-44-1.bmp,1,True,False
/images/1-7-45-1.bmp,1,True,False
/images/1-6-46-1.bmp,1,True,False
/images/1-5-47-1.bmp,1,True,False
/images/1-4-48-1.bmp,1,True,False
/images/1-3-49-1.bmp,1,True,False
/images/1-18-50-1.bmp,1,True,False
/images/1-74-51-1.bmp,1,True,False
/images/1-19-52-1.bmp,1,True,False
/images/1-21-53-1.bmp,1,True,False
/images/1-36-54-1.bmp,1,True,False
/images/1-35-55-1.bmp,1,True,False
/images/1-34-56-1.bmp,1,True,False
/images/1-33-57-1.bmp,1,True,False
/images/1-32-58-1.bmp,1,True,False
/images/1-31-59-1.bmp,1,True,False
/images/1-30-60-1.bmp,1,True,False
/images/1-29-61-1.bmp,1,True,False
/images/1-28-62-1.bmp,1,True,False
/images/1-27-63-1.bmp,1,True,False
/images/1-26-64-1.bmp,1,True,False
/images/1-25-65-1.bmp,1,True,False
/images/1-24-66-1.bmp,1,True,False
/images/1-23-67-1.bmp,1,True,False
/images/1-22-68-1.bmp,1,True,False
/images/1-20-69-1.bmp,1,True,False
/images/1-2-70-1.bmp,1,True,False
/images/1-1-71-1.bmp,1,True,False
/images/1-12-72-1.bmp,1,True,False
