Exame,Teste,Treino,InstanciaExame,ImageCheckSum,ImagePathName,ImageShapeR,ImageShapeC,ImageShapeChannels,ObjectsCategory,ObjectsBoundingBoxMinimumR,ObjectsBoundingBoxMinimumC,ObjectsBoundingBoxMaximumR,ObjectsBoundingBoxMaximumC
1,False,True,55,676bb8e86fc2dbf05dd97d51a64ac0af,/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,1200,1600,3,1,52,279,200,409
1,False,True,63,676bb8e86fc2dbf05dd97d51a64ac0af,/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,1200,1600,3,1,1050,1273,1172,1454
1,False,True,62,676bb8e86fc2dbf05dd97d51a64ac0af,/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,1200,1600,3,1,441,1037,578,1155
1,True,False,64,eea3bfd6a929bcb06f9786667cd3fbb2,/images/41be1bd3-0d31-4881-bf1f-3ccdfa21ff12.jpg,1383,1944,3,1,445,589,611,769
1,True,False,1,eea3bfd6a929bcb06f9786667cd3fbb2,/images/41be1bd3-0d31-4881-bf1f-3ccdfa21ff12.jpg,1383,1944,3,0,576,1744,708,1883
1,False,True,54,676bb8e86fc2dbf05dd97d51a64ac0af,/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,1200,1600,3,0,124,372,227,463
1,False,True,53,676bb8e86fc2dbf05dd97d51a64ac0af,/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,1200,1600,3,0,270,826,381,924
1,False,True,52,676bb8e86fc2dbf05dd97d51a64ac0af,/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,1200,1600,3,0,389,1474,491,1585
2,True,False,54,2d85fc8ffdb875bb569878243437e4f5,/images/64985a1e-16bb-4016-a01c-c21a5b86e572.jpg,1383,1944,3,1,591,499,744,669
2,True,False,55,2d85fc8ffdb875bb569878243437e4f5,/images/64985a1e-16bb-4016-a01c-c21a5b86e572.jpg,1383,1944,3,1,1026,299,1184,465
2,True,False,56,2d85fc8ffdb875bb569878243437e4f5,/images/64985a1e-16bb-4016-a01c-c21a5b86e572.jpg,1383,1944,3,1,180,489,313,668
2,False,True,48,1225a18efce159eddf7b0e80e0ea642c,/images/10be6380-cbbb-4886-8b9e-ff56b1710576.png,1200,1600,3,0,584,983,683,1093
2,False,True,47,1225a18efce159eddf7b0e80e0ea642c,/images/10be6380-cbbb-4886-8b9e-ff56b1710576.png,1200,1600,3,0,36,925,133,1025
2,False,True,46,1225a18efce159eddf7b0e80e0ea642c,/images/10be6380-cbbb-4886-8b9e-ff56b1710576.png,1200,1600,3,0,499,945,609,1049
3,False,True,18,3eaf840523c30fdf38897ffa01e194eb,/images/6b14c855-8561-417c-97a4-63fa552842fd.png,1200,1600,3,1,76,482,219,626
3,False,True,19,3eaf840523c30fdf38897ffa01e194eb,/images/6b14c855-8561-417c-97a4-63fa552842fd.png,1200,1600,3,1,1020,1156,1143,1314
3,True,False,74,f7c02b6247f3ccfcd4a22c1f06e0c72c,/images/c70894fa-50e8-4eed-a5a8-159a20153a49.jpg,1383,1944,3,1,378,88,590,249
3,True,False,73,f7c02b6247f3ccfcd4a22c1f06e0c72c,/images/c70894fa-50e8-4eed-a5a8-159a20153a49.jpg,1383,1944,3,1,127,680,319,824
3,True,False,72,f7c02b6247f3ccfcd4a22c1f06e0c72c,/images/c70894fa-50e8-4eed-a5a8-159a20153a49.jpg,1383,1944,3,1,821,255,972,418
3,True,False,32,f7c02b6247f3ccfcd4a22c1f06e0c72c,/images/c70894fa-50e8-4eed-a5a8-159a20153a49.jpg,1383,1944,3,0,762,1479,912,1639
3,True,False,31,f7c02b6247f3ccfcd4a22c1f06e0c72c,/images/c70894fa-50e8-4eed-a5a8-159a20153a49.jpg,1383,1944,3,0,709,1132,843,1273
3,True,False,30,f7c02b6247f3ccfcd4a22c1f06e0c72c,/images/c70894fa-50e8-4eed-a5a8-159a20153a49.jpg,1383,1944,3,0,1043,1637,1154,1789
3,True,False,21,f7c02b6247f3ccfcd4a22c1f06e0c72c,/images/c70894fa-50e8-4eed-a5a8-159a20153a49.jpg,1383,1944,3,0,1139,1644,1251,1771
3,True,False,28,f7c02b6247f3ccfcd4a22c1f06e0c72c,/images/c70894fa-50e8-4eed-a5a8-159a20153a49.jpg,1383,1944,3,0,396,1412,546,1557
4,True,False,47,50634ef166ae993b4562b96f315ff6db,/images/abb72ce2-4193-4dd3-a34c-61c2ee22ccff.jpg,1383,1944,3,1,760,553,867,721
