dataset,network,partition,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
Dataset01_100,GradientBoostingf,1,0.8959771082309376,0.9086488364015283,0.8805116122517671,0.9354838709677419,0.8943589743589744,0.8787878761248852,0.8047507082707891,0.9505376344086021,26,29,2,4,1.5288536548614502,0.9016393442622951,0.9285714285714286,0.8666666666666667,0.9354838709677419,0.896551724137931,0.8787878761248852,0.8047507082707891,0.9505376344086021,26,29,2,4,0.0007493495941162109
Dataset01_100,GradientBoostingf,2,0.8973236828816697,0.9097222222222222,0.8821548821548821,0.8666666666666667,0.8957264957264958,0.7647058801038062,0.6125670273264832,0.8774193548387097,23,26,4,8,1.6838436126708984,0.8032786885245902,0.8518518518518519,0.7419354838709677,0.8666666666666667,0.7931034482758621,0.7647058801038062,0.6125670273264832,0.8774193548387097,23,26,4,8,0.000904083251953125
Dataset01_100,GradientBoostingf,3,0.8808481992595086,0.8919293384135781,0.8667115449343655,0.8333333333333334,0.8791396381017412,0.8928571396683673,0.7349684152591215,0.9655555555555555,27,25,5,3,1.341264247894287,0.8666666666666667,0.84375,0.9,0.8333333333333334,0.8709677419354839,0.8928571396683673,0.7349684152591215,0.9655555555555555,27,25,5,3,0.00102996826171875
Dataset01_100,GradientBoostingf,4,0.8842140693369236,0.8940283051432516,0.871760350050488,0.8666666666666667,0.8827539195637355,0.8965517210463734,0.7670929478597832,0.9533333333333334,27,26,4,3,1.4412293434143066,0.8833333333333333,0.8709677419354839,0.9,0.8666666666666667,0.8852459016393442,0.8965517210463734,0.7670929478597832,0.9533333333333334,27,26,4,3,0.0005424022674560547
Dataset01_100,GradientBoostingf,5,0.8633456748569506,0.866553480475382,0.858970043756311,0.8,0.8627450980392157,0.7999999973333333,0.5999999999999629,0.9266666666666667,24,24,6,6,1.1410760879516602,0.8,0.8,0.8,0.8,0.8,0.7999999973333333,0.5999999999999629,0.9266666666666667,24,24,6,6,0.0007297992706298828
Dataset01_100,GradientBoostingf,6,0.9047458768091552,0.9211908931698775,0.8852238303601481,0.8666666666666667,0.9028492962581531,0.9629629593964334,0.8375315127159578,0.9711111111111111,29,26,4,1,2.015878677368164,0.9166666666666666,0.8787878787878788,0.9666666666666667,0.8666666666666667,0.9206349206349206,0.9629629593964334,0.8375315127159578,0.9711111111111111,29,26,4,1,0.0008234977722167969
Dataset01_100,GradientBoostingf,7,0.8970043756311007,0.9096908648836401,0.8815213732749916,0.8666666666666667,0.8953846153846153,0.8666666637777778,0.733333333333288,0.9644444444444444,26,26,4,4,1.6671180725097656,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666637777778,0.733333333333288,0.9644444444444444,26,26,4,4,0.0007073879241943359
Dataset01_100,GradientBoostingf,8,0.9035678222820599,0.916030534351145,0.8885897004375631,0.9666666666666667,0.902101486417222,0.8529411739619377,0.8072073527955242,0.9411111111111111,25,29,1,5,2.0435357093811035,0.9,0.9615384615384616,0.8333333333333334,0.9666666666666667,0.8928571428571429,0.8529411739619377,0.8072073527955242,0.9411111111111111,25,29,1,5,0.0006825923919677734
Dataset01_100,GradientBoostingf,9,0.8963312016156176,0.9047782743210725,0.8858970043756311,0.7666666666666667,0.8952380952380953,0.8846153812130177,0.6726727939962702,0.9311111111111111,27,23,7,3,1.6169886589050293,0.8333333333333334,0.7941176470588235,0.9,0.7666666666666667,0.84375,0.8846153812130177,0.6726727939962702,0.9311111111111111,27,23,7,3,0.0006628036499023438
Dataset01_100,GradientBoostingf,10,0.8958263211040054,0.9083333333333333,0.8805116122517671,0.9333333333333333,0.894206118612203,0.8235294093425606,0.7399400733958972,0.9355555555555556,24,28,2,6,1.6454391479492188,0.8666666666666667,0.9230769230769231,0.8,0.9333333333333333,0.8571428571428571,0.8235294093425606,0.7399400733958972,0.9355555555555556,24,28,2,6,0.0008358955383300781
Dataset01_100,GradientBoostingf,11,0.8959946146078761,0.9072343371408792,0.8821945472904746,0.8666666666666667,0.8945392491467576,0.9285714252551021,0.8017837257372235,0.9655555555555556,28,26,4,2,1.746396780014038,0.9,0.875,0.9333333333333333,0.8666666666666667,0.9032258064516129,0.9285714252551021,0.8017837257372235,0.9655555555555556,28,26,4,2,0.0005862712860107422
Dataset01_100,GradientBoostingf,12,0.9047458768091552,0.9188436084987809,0.8879165264220801,0.9,0.9031153714481343,0.8709677391259105,0.7670929478597832,0.9533333333333333,26,27,3,4,1.9986906051635742,0.8833333333333333,0.896551724137931,0.8666666666666667,0.9,0.8813559322033898,0.8709677391259105,0.7670929478597832,0.9533333333333333,26,27,3,4,0.0007479190826416016
Dataset01_100,GradientBoostingf,13,0.9017165937394817,0.9151304347826087,0.8855604173678896,0.9,0.9001026342798495,0.9642857108418367,0.8685990362153254,0.9688888888888889,29,27,3,1,1.9882676601409912,0.9333333333333333,0.90625,0.9666666666666667,0.9,0.9354838709677419,0.9642857108418367,0.8685990362153254,0.9688888888888889,29,27,3,1,0.000774383544921875
Dataset01_100,GradientBoostingf,14,0.9049141703130259,0.9159751037344398,0.8916189835072367,0.8666666666666667,0.9036329524134402,0.8965517210463734,0.7670929478597832,0.9644444444444444,27,26,4,3,2.0411150455474854,0.8833333333333333,0.8709677419354839,0.9,0.8666666666666667,0.8852459016393442,0.8965517210463734,0.7670929478597832,0.9644444444444444,27,26,4,3,0.000972747802734375
Dataset01_100,GradientBoostingf,15,0.9010434197239987,0.9155912103243808,0.8835408953214406,0.9,0.8992805755395683,0.899999997,0.7999999999999506,0.9633333333333334,27,27,3,3,1.9438753128051758,0.9,0.9,0.9,0.9,0.9,0.899999997,0.7999999999999506,0.9633333333333334,27,27,3,3,0.0008802413940429688
Dataset01_100,GradientBoostingf,16,0.9017165937394817,0.9162888036274852,0.8842140693369236,0.8333333333333334,0.8999657416923604,0.7812499975585937,0.6013377943029176,0.9255555555555556,23,25,5,7,1.9104056358337402,0.8,0.8214285714285714,0.7666666666666667,0.8333333333333334,0.7931034482758621,0.7812499975585937,0.6013377943029176,0.9255555555555556,23,25,5,7,0.0007417201995849609
Dataset01_100,GradientBoostingf,17,0.8858970043756311,0.8898333900034002,0.8808481992595086,0.8333333333333334,0.88531799729364,0.8064516103017689,0.6336854786667774,0.9377777777777777,24,25,5,6,1.3718624114990234,0.8166666666666667,0.8275862068965517,0.8,0.8333333333333334,0.8135593220338984,0.8064516103017689,0.6336854786667774,0.9377777777777777,24,25,5,6,0.0008490085601806641
Dataset01_100,GradientBoostingf,18,0.9035678222820599,0.9151662049861495,0.8895994614607876,0.9666666666666667,0.9022017409114184,0.8285714262040816,0.7775419143501859,0.9644444444444444,24,29,1,6,1.930342674255371,0.8833333333333333,0.96,0.8,0.9666666666666667,0.8727272727272727,0.8285714262040816,0.7775419143501859,0.9644444444444444,24,29,1,6,0.0011565685272216797
