dataset,network,partition,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
Dataset01_100,KNNf,1,0.9309880491499748,0.9420089748015188,0.9185459441265568,0.967741935483871,0.9301295160190866,0.8571428546938775,0.8098304498092074,0.9306451612903225,25,30,1,5,0.025789260864257812,0.9016393442622951,0.9615384615384616,0.8333333333333334,0.967741935483871,0.8928571428571429,0.8571428546938775,0.8098304498092074,0.9306451612903225,25,30,1,5,0.0032901763916015625
Dataset01_100,KNNf,2,0.9319979801380239,0.9436376210235131,0.9188552188552188,0.9666666666666667,0.9310815421357899,0.8285714262040816,0.781567910621235,0.9322580645161291,25,29,1,6,0.02662348747253418,0.8852459016393442,0.9615384615384616,0.8064516129032258,0.9666666666666667,0.8771929824561403,0.8285714262040816,0.781567910621235,0.9322580645161291,25,29,1,6,0.0034706592559814453
Dataset01_100,KNNf,3,1.0,1.0,1.0,0.9333333333333333,1.0,0.8484848459136822,0.7705289916986813,0.8833333333333334,25,28,2,5,0.026748180389404297,0.8833333333333333,0.9259259259259259,0.8333333333333334,0.9333333333333333,0.8771929824561403,0.8484848459136822,0.7705289916986813,0.8833333333333334,25,28,2,5,0.003794431686401367
Dataset01_100,KNNf,4,0.916358128576237,0.9316120027913468,0.8986873106698081,0.9333333333333333,0.9148535206441665,0.9333333302222222,0.8666666666666132,0.9627777777777777,28,28,2,2,0.027144670486450195,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333302222222,0.8666666666666132,0.9627777777777777,28,28,2,2,0.004049777984619141
Dataset01_100,KNNf,5,0.9306630764052508,0.9425804219993082,0.9171995960955908,0.9333333333333333,0.9297168201978847,0.9032258035379812,0.833796682456286,0.9477777777777777,27,28,2,3,0.05520296096801758,0.9166666666666666,0.9310344827586207,0.9,0.9333333333333333,0.9152542372881356,0.9032258035379812,0.833796682456286,0.9477777777777777,27,28,2,3,0.005840301513671875
Dataset01_100,KNNf,6,0.9303264893975093,0.9422345209270149,0.9168630090878492,0.9666666666666667,0.9293756397134084,0.9666666634444444,0.9333333333332757,0.9744444444444446,29,29,1,1,0.026285648345947266,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666634444444,0.9333333333332757,0.9744444444444446,29,29,1,1,0.0035195350646972656
Dataset01_100,KNNf,7,0.9156849545607539,0.9309141660851361,0.8980141366543252,0.9333333333333333,0.9141682371081035,0.9032258035379812,0.833796682456286,0.9605555555555556,27,28,2,3,0.02749180793762207,0.9166666666666666,0.9310344827586207,0.9,0.9333333333333333,0.9152542372881356,0.9032258035379812,0.833796682456286,0.9605555555555556,27,28,2,3,0.003958702087402344
Dataset01_100,KNNf,8,0.929821608885897,1.0,0.859643217771794,0.9666666666666667,0.9245248868778281,0.8055555533179012,0.7484551991837007,0.8794444444444445,23,29,1,7,0.02620840072631836,0.8666666666666667,0.9583333333333334,0.7666666666666667,0.9666666666666667,0.8518518518518519,0.8055555533179012,0.7484551991837007,0.8794444444444445,23,29,1,7,0.0033588409423828125
Dataset01_100,KNNf,9,0.9165264220801077,0.9325410695560993,0.8980141366543252,0.8,0.9149519890260631,0.8275862040428061,0.6336854786667774,0.9016666666666666,25,24,6,5,0.026029348373413086,0.8166666666666667,0.8064516129032258,0.8333333333333334,0.8,0.819672131147541,0.8275862040428061,0.6336854786667774,0.9016666666666666,25,24,6,5,0.003157377243041992
Dataset01_100,KNNf,10,0.9299899023897678,1.0,0.8599798047795355,0.9666666666666667,0.924719507781397,0.8787878761248852,0.8375315127159578,0.9144444444444445,26,29,1,4,0.03687620162963867,0.9166666666666666,0.9629629629629629,0.8666666666666667,0.9666666666666667,0.9122807017543859,0.8787878761248852,0.8375315127159578,0.9144444444444445,26,29,1,4,0.003793001174926758
Dataset01_100,KNNf,11,0.93049478290138,0.9422544951590595,0.9171995960955908,0.9333333333333333,0.9295582466314174,0.9333333302222222,0.8666666666666132,0.9555555555555555,28,28,2,2,0.027393817901611328,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333302222222,0.8666666666666132,0.9555555555555555,28,28,2,2,0.0037806034088134766
Dataset01_100,KNNf,12,1.0,1.0,1.0,0.9333333333333333,1.0,0.8749999972656249,0.8017837257372235,0.9,26,28,2,4,0.03756880760192871,0.9,0.9285714285714286,0.8666666666666667,0.9333333333333333,0.896551724137931,0.8749999972656249,0.8017837257372235,0.9,26,28,2,4,0.004395723342895508
Dataset01_100,KNNf,13,1.0,1.0,1.0,0.8,1.0,0.8888888855967078,0.7035264706814046,0.85,27,24,6,3,0.026201725006103516,0.85,0.8181818181818182,0.9,0.8,0.8571428571428571,0.8888888855967078,0.7035264706814046,0.85,27,24,6,3,0.0030541419982910156
Dataset01_100,KNNf,14,1.0,1.0,1.0,0.8666666666666667,1.0,0.9285714252551021,0.8017837257372235,0.9,28,26,4,2,0.027732133865356445,0.9,0.875,0.9333333333333333,0.8666666666666667,0.9032258064516129,0.9285714252551021,0.8017837257372235,0.9,28,26,4,2,0.004129886627197266
