epoch,FN,FP,TN,TP,accuracy,auc,f1_score,loss,lr,mcc,npv,precision,recall,specificity,val_FN,val_FP,val_TN,val_TP,val_accuracy,val_auc,val_f1_score,val_loss,val_mcc,val_npv,val_precision,val_recall,val_specificity
0,312.0,308.0,4460.0,4456.0,0.936870813369751,0.9817757606506348,0.9346638917922974,0.17257432639598846,0.01,0.8706955909729004,0.9357309937477112,0.9353484511375427,0.9345637559890747,0.9354026913642883,128.0,132.0,1084.0,1088.0,0.8930920958518982,0.9129699468612671,0.8934650421142578,1.0391794443130493,0.786287248134613,0.8940724730491638,0.8918032646179199,0.8947368264198303,0.8914473652839661
1,106.0,113.0,4653.0,4660.0,0.9765002131462097,0.9957626461982727,0.9771026968955994,0.06978796422481537,0.01,0.9542962312698364,0.9778520464897156,0.9763251543045044,0.9777591228485107,0.9763003587722778,41.0,41.0,1175.0,1175.0,0.9662829041481018,0.9841893315315247,0.966280460357666,0.22617369890213013,0.9326076507568359,0.9663248658180237,0.9662829041481018,0.9662829041481018,0.9662829041481018
2,78.0,80.0,4686.0,4688.0,0.98426353931427,0.9974597692489624,0.9834209680557251,0.05064163729548454,0.01,0.96700519323349,0.9837981462478638,0.9832214713096619,0.9836340546607971,0.9832214713096619,82.0,81.0,1135.0,1134.0,0.9333881735801697,0.9505569338798523,0.9329637289047241,0.7731825709342957,0.8659780621528625,0.9326141476631165,0.9333333373069763,0.9325658082962036,0.9333881735801697
3,75.0,70.0,4696.0,4691.0,0.9857322573661804,0.9976133108139038,0.9847349524497986,0.04784829914569855,0.01,0.9697116017341614,0.984502911567688,0.9852972030639648,0.98426353931427,0.9853187799453735,30.0,32.0,1184.0,1186.0,0.9736841917037964,0.9906854033470154,0.9745563864707947,0.14865674078464508,0.9490582346916199,0.9752741456031799,0.9737274050712585,0.9753289222717285,0.9736841917037964
4,34.0,35.0,4731.0,4732.0,0.9924464821815491,0.9995712637901306,0.9927301406860352,0.02397868223488331,0.01,0.9855108261108398,0.9928885102272034,0.9926578402519226,0.9928661584854126,0.9926294684410095,28.0,26.0,1190.0,1188.0,0.9769737124443054,0.9925130605697632,0.9777695536613464,0.10832667350769043,0.9556404948234558,0.9770704507827759,0.9785832166671753,0.9769737124443054,0.9786184430122375
5,36.0,37.0,4729.0,4730.0,0.991817057132721,0.999233067035675,0.9923473596572876,0.023725327104330063,0.01,0.9847326874732971,0.9924867153167725,0.9922382831573486,0.9924464821815491,0.9922399520874023,39.0,38.0,1178.0,1177.0,0.9679276347160339,0.9809082746505737,0.9682459831237793,0.28705939650535583,0.9366920590400696,0.9681211709976196,0.968724250793457,0.9679276347160339,0.96875
6,40.0,43.0,4723.0,4726.0,0.9920268654823303,0.9987738728523254,0.9912638664245605,0.026595275849103928,0.01,0.982537567615509,0.9915581941604614,0.9909834265708923,0.9916071891784668,0.9909216165542603,18.0,18.0,1198.0,1198.0,0.9851973652839661,0.9946816563606262,0.9851973652839661,0.06767238676548004,0.9703947305679321,0.9851973652839661,0.9851973652839661,0.9851973652839661,0.9851973652839661
7,38.0,35.0,4731.0,4728.0,0.9924464821815491,0.9986744523048401,0.992327094078064,0.03284170851111412,0.01,0.9847564697265625,0.9921289086341858,0.9926517009735107,0.9920268654823303,0.9926593899726868,25.0,24.0,1192.0,1191.0,0.9802631735801697,0.9909576773643494,0.9798121452331543,0.10008347779512405,0.9597248435020447,0.9795375466346741,0.980246901512146,0.9794408082962036,0.9802631735801697
8,27.0,28.0,4738.0,4739.0,0.994334876537323,0.9992884397506714,0.9942355751991272,0.02093399502336979,0.01,0.9884709119796753,0.994337260723114,0.9941262602806091,0.994334876537323,0.9941275119781494,30.0,30.0,1186.0,1186.0,0.9753289222717285,0.9924864172935486,0.9753281474113464,0.1052226796746254,0.9507063031196594,0.9753773212432861,0.9753289222717285,0.9753289222717285,0.9753289222717285
9,30.0,26.0,4740.0,4736.0,0.9945446848869324,0.9991871118545532,0.9941068291664124,0.02108204923570156,0.01,0.9883034825325012,0.9937945008277893,0.9945400953292847,0.9937053918838501,0.9945470094680786,28.0,29.0,1187.0,1188.0,0.9769737124443054,0.9949187636375427,0.9765998721122742,0.08672159910202026,0.9531458616256714,0.9769188761711121,0.9761708974838257,0.9769737124443054,0.9761512875556946
