dataset,network,partition,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
Dataset01_15.0,GradientBoostingf,1,0.8927789934354485,0.9129511677282378,0.8683944799730731,0.9032258064516129,0.8901155770225979,0.7999999977142856,0.6772139197733371,0.9129032258064516,23,28,3,7,1.0977513790130615,0.8360655737704918,0.8846153846153846,0.7666666666666667,0.9032258064516129,0.8214285714285714,0.7999999977142856,0.6772139197733371,0.9129032258064516,23,28,3,7,0.0005726814270019531
Dataset01_15.0,GradientBoostingf,2,0.8697189025416596,0.8874382498235709,0.8468013468013468,0.9,0.8666436940041351,0.8437499973632813,0.7395052723482503,0.8903225806451613,26,27,3,5,0.8872683048248291,0.8688524590163934,0.896551724137931,0.8387096774193549,0.9,0.8666666666666667,0.8437499973632813,0.7395052723482503,0.8903225806451613,26,27,3,5,0.0005297660827636719
Dataset01_15.0,GradientBoostingf,3,0.9023897677549647,0.9216931216931217,0.8795018512285426,0.8333333333333334,0.9001033413709956,0.9615384578402366,0.8072073527955242,0.9588888888888889,29,25,5,1,1.383772373199463,0.9,0.8529411764705882,0.9666666666666667,0.8333333333333334,0.90625,0.9615384578402366,0.8072073527955242,0.9588888888888889,29,25,5,1,0.0006232261657714844
Dataset01_15.0,GradientBoostingf,4,0.9025580612588354,0.9208304011259676,0.8808481992595086,0.8,0.9003956648890418,0.7999999973333333,0.5999999999999629,0.9311111111111111,24,24,6,6,1.4259204864501953,0.8,0.8,0.8,0.8,0.8,0.7999999973333333,0.5999999999999629,0.9311111111111111,24,24,6,6,0.0006277561187744141
Dataset01_15.0,GradientBoostingf,5,0.8939750925614272,0.9146298264257882,0.869067653988556,0.9666666666666667,0.8912668277528478,0.8529411739619377,0.8072073527955242,0.9666666666666668,25,29,1,5,1.135136365890503,0.9,0.9615384615384616,0.8333333333333334,0.9666666666666667,0.8928571428571429,0.8529411739619377,0.8072073527955242,0.9666666666666668,25,29,1,5,0.0005092620849609375
Dataset01_15.0,GradientBoostingf,6,0.8912823964994951,0.9144385026737968,0.8633456748569506,0.8333333333333334,0.8881578947368421,0.8333333305555556,0.6666666666666254,0.9444444444444444,25,25,5,5,1.0942778587341309,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333305555556,0.6666666666666254,0.9444444444444444,25,25,5,5,0.0005271434783935547
Dataset01_15.0,GradientBoostingf,7,0.9054190508246381,0.9224833391792353,0.8852238303601481,0.9666666666666667,0.9034695980762625,0.8529411739619377,0.8072073527955242,0.9488888888888889,25,29,1,5,1.7068367004394531,0.9,0.9615384615384616,0.8333333333333334,0.9666666666666667,0.8928571428571429,0.8529411739619377,0.8072073527955242,0.9488888888888889,25,29,1,5,0.0006840229034423828
Dataset01_15.0,GradientBoostingf,8,0.8993604846852912,0.9176346356916578,0.8774823291820936,0.8333333333333334,0.8971094287680661,0.8620689625445898,0.7003892132632803,0.9000000000000001,26,25,5,4,1.332892656326294,0.85,0.8387096774193549,0.8666666666666667,0.8333333333333334,0.8524590163934426,0.8620689625445898,0.7003892132632803,0.9000000000000001,26,25,5,4,0.0005977153778076172
Dataset01_15.0,GradientBoostingf,9,0.9076068663749579,0.9216573816155988,0.8909458094917536,0.8333333333333334,0.906041417080267,0.9259259224965706,0.7705289916986813,0.9455555555555556,28,25,5,2,1.590385913848877,0.8833333333333333,0.8484848484848485,0.9333333333333333,0.8333333333333334,0.8888888888888888,0.9259259224965706,0.7705289916986813,0.9455555555555556,28,25,5,2,0.0006718635559082031
Dataset01_15.0,GradientBoostingf,10,0.9023897677549647,0.9172774869109948,0.8845506563446651,0.9666666666666667,0.9006168608636053,0.7837837816654493,0.719870728700567,0.9488888888888889,22,29,1,8,1.3788120746612549,0.85,0.9565217391304348,0.7333333333333333,0.9666666666666667,0.8301886792452831,0.7837837816654493,0.719870728700567,0.9488888888888889,22,29,1,8,0.0006096363067626953
Dataset01_15.0,GradientBoostingf,11,0.9044092898014137,0.9208406304728547,0.8848872433524066,0.8666666666666667,0.9025060075523516,0.8965517210463734,0.7670929478597832,0.9722222222222221,27,26,4,3,1.615818738937378,0.8833333333333333,0.8709677419354839,0.9,0.8666666666666667,0.8852459016393442,0.8965517210463734,0.7670929478597832,0.9722222222222221,27,26,4,3,0.0006847381591796875
Dataset01_15.0,GradientBoostingf,12,0.8933019185459441,0.91129883843717,0.8714237630427466,0.9,0.890915347556779,0.9310344795481569,0.833796682456286,0.9822222222222223,28,27,3,2,1.128720998764038,0.9166666666666666,0.9032258064516129,0.9333333333333333,0.9,0.9180327868852459,0.9310344795481569,0.833796682456286,0.9822222222222223,28,27,3,2,0.0005104541778564453
Dataset01_15.0,GradientBoostingf,13,0.9018848872433524,0.9160278745644599,0.8848872433524066,0.9333333333333333,0.9001883239171374,0.8749999972656249,0.8017837257372235,0.9422222222222223,26,28,2,4,1.3497207164764404,0.9,0.9285714285714286,0.8666666666666667,0.9333333333333333,0.896551724137931,0.8749999972656249,0.8017837257372235,0.9422222222222223,26,28,2,4,0.0005869865417480469
Dataset01_15.0,GradientBoostingf,14,0.9054190508246381,0.9224833391792353,0.8852238303601481,0.9,0.9034695980762625,0.9310344795481569,0.833796682456286,0.9888888888888889,28,27,3,2,1.614687204360962,0.9166666666666666,0.9032258064516129,0.9333333333333333,0.9,0.9180327868852459,0.9310344795481569,0.833796682456286,0.9888888888888889,28,27,3,2,0.0006690025329589844
Dataset01_15.0,GradientBoostingf,15,0.9027263547627061,0.9187959397969898,0.8835408953214406,0.9333333333333333,0.9008236101578586,0.8484848459136822,0.7705289916986813,0.9655555555555556,25,28,2,5,1.373288869857788,0.8833333333333333,0.9259259259259259,0.8333333333333334,0.9333333333333333,0.8771929824561403,0.8484848459136822,0.7705289916986813,0.9655555555555556,25,28,2,5,0.0005784034729003906
Dataset01_15.0,GradientBoostingf,16,0.8914506900033659,0.9118271954674221,0.8667115449343655,0.8333333333333334,0.8886971527178602,0.8928571396683673,0.7349684152591215,0.9466666666666668,27,25,5,3,1.1376571655273438,0.8666666666666667,0.84375,0.9,0.8333333333333334,0.8709677419354839,0.8928571396683673,0.7349684152591215,0.9466666666666668,27,25,5,3,0.0005447864532470703
Dataset01_15.0,GradientBoostingf,17,0.9064288118478627,0.925026399155227,0.8845506563446651,0.9,0.9043358568479009,0.8437499973632813,0.7349684152591215,0.9455555555555555,25,27,3,5,1.563476324081421,0.8666666666666667,0.8928571428571429,0.8333333333333334,0.9,0.8620689655172413,0.8437499973632813,0.7349684152591215,0.9455555555555555,25,27,3,5,0.0006809234619140625
Dataset01_15.0,GradientBoostingf,18,0.9060922248401212,0.9231848474219572,0.8858970043756311,0.9,0.9041566472002748,0.8437499973632813,0.7349684152591215,0.9455555555555556,25,27,3,5,1.6111962795257568,0.8666666666666667,0.8928571428571429,0.8333333333333334,0.9,0.8620689655172413,0.8437499973632813,0.7349684152591215,0.9455555555555556,25,27,3,5,0.0006613731384277344
Dataset01_15.0,GradientBoostingf,19,0.9077751598788287,0.9243432574430823,0.8882531134298216,0.8666666666666667,0.9059388946103674,0.8124999974609375,0.6681531047810195,0.91,24,26,4,6,1.6257894039154053,0.8333333333333334,0.8571428571428571,0.8,0.8666666666666667,0.8275862068965517,0.8124999974609375,0.6681531047810195,0.91,24,26,4,6,0.0007376670837402344
Dataset01_15.0,GradientBoostingf,20,0.9081117468865701,0.9243962198109905,0.8889262874453047,0.8,0.9063143445435827,0.8888888855967078,0.7035264706814046,0.9433333333333334,27,24,6,3,1.625180721282959,0.85,0.8181818181818182,0.9,0.8,0.8571428571428571,0.8888888855967078,0.7035264706814046,0.9433333333333334,27,24,6,3,0.0006809234619140625
Dataset01_15.0,GradientBoostingf,21,0.9081117468865701,0.9246935201401051,0.8885897004375631,0.9,0.9062821833161689,0.899999997,0.7999999999999506,0.9633333333333334,27,27,3,3,1.6246058940887451,0.9,0.9,0.9,0.9,0.9,0.899999997,0.7999999999999506,0.9633333333333334,27,27,3,3,0.0006735324859619141
Dataset01_15.0,GradientBoostingf,22,0.908280040390441,0.9244226731980406,0.8892628744530461,0.9666666666666667,0.9065019728941499,0.935483867950052,0.9005004170527889,0.9966666666666667,28,29,1,2,1.6611270904541016,0.95,0.9655172413793104,0.9333333333333333,0.9666666666666667,0.9491525423728814,0.935483867950052,0.9005004170527889,0.9966666666666667,28,29,1,2,0.0006692409515380859
Dataset01_15.0,GradientBoostingf,23,0.8986873106698081,0.9157599157599158,0.8781555031975766,0.9666666666666667,0.8965635738831615,0.8529411739619377,0.8072073527955242,0.9633333333333333,25,29,1,5,1.3937709331512451,0.9,0.9615384615384616,0.8333333333333334,0.9666666666666667,0.8928571428571429,0.8529411739619377,0.8072073527955242,0.9633333333333333,25,29,1,5,0.0007126331329345703
Dataset01_15.0,GradientBoostingf,24,0.8931336250420734,0.9165477888730386,0.865028609895658,0.9333333333333333,0.8900432900432901,0.7999999977142856,0.7099295739719089,0.9111111111111111,23,28,2,7,1.16145920753479,0.85,0.92,0.7666666666666667,0.9333333333333333,0.8363636363636363,0.7999999977142856,0.7099295739719089,0.9111111111111111,23,28,2,7,0.0005915164947509766
Dataset01_15.0,GradientBoostingf,25,0.9007068327162572,0.9193377949982389,0.878492090205318,0.9333333333333333,0.8984509466437177,0.8484848459136822,0.7705289916986813,0.9366666666666668,25,28,2,5,1.3687498569488525,0.8833333333333333,0.9259259259259259,0.8333333333333334,0.9333333333333333,0.8771929824561403,0.8484848459136822,0.7705289916986813,0.9366666666666668,25,28,2,5,0.0006182193756103516
Dataset01_15.0,GradientBoostingf,26,0.8931336250420734,0.9156583629893238,0.8660383709188826,0.9666666666666667,0.89015741221242,0.9062499971679687,0.8685990362153254,0.9777777777777777,27,29,1,3,1.1417701244354248,0.9333333333333333,0.9642857142857143,0.9,0.9666666666666667,0.9310344827586207,0.9062499971679687,0.8685990362153254,0.9777777777777777,27,29,1,3,0.0005767345428466797
Dataset01_15.0,GradientBoostingf,27,0.9074385728710872,0.9228082431016417,0.8892628744530461,0.8666666666666667,0.9057250599931437,0.8965517210463734,0.7670929478597832,0.9522222222222223,27,26,4,3,1.6458323001861572,0.8833333333333333,0.8709677419354839,0.9,0.8666666666666667,0.8852459016393442,0.8965517210463734,0.7670929478597832,0.9522222222222223,27,26,4,3,0.0006787776947021484
Dataset01_15.0,GradientBoostingf,28,0.8922921575227196,0.9137380191693291,0.866374957926624,0.8666666666666667,0.889426399447132,0.8124999974609375,0.6681531047810195,0.9311111111111111,24,26,4,6,1.1762077808380127,0.8333333333333334,0.8571428571428571,0.8,0.8666666666666667,0.8275862068965517,0.8124999974609375,0.6681531047810195,0.9311111111111111,24,26,4,6,0.0006518363952636719
Dataset01_15.0,GradientBoostingf,29,0.9062605183439919,0.9232117812061711,0.8862335913833727,0.9,0.9043448394298471,0.8437499973632813,0.7349684152591215,0.9511111111111112,25,27,3,5,1.7065844535827637,0.8666666666666667,0.8928571428571429,0.8333333333333334,0.9,0.8620689655172413,0.8437499973632813,0.7349684152591215,0.9511111111111112,25,27,3,5,0.0006883144378662109
Dataset01_15.0,GradientBoostingf,30,0.8688993604846853,0.8914285714285715,0.840121171322787,0.9333333333333333,0.8650147288164963,0.8484848459136822,0.7705289916986813,0.9500000000000001,25,28,2,5,0.8819468021392822,0.8833333333333333,0.9259259259259259,0.8333333333333334,0.9333333333333333,0.8771929824561403,0.8484848459136822,0.7705289916986813,0.9500000000000001,25,28,2,5,0.0004277229309082031
Dataset01_15.0,GradientBoostingf,31,0.9018848872433524,0.9186535764375876,0.8818579602827331,0.7333333333333333,0.8998797870513481,0.8461538428994082,0.6054055145966432,0.8755555555555555,26,22,8,4,1.4259581565856934,0.8,0.7647058823529411,0.8666666666666667,0.7333333333333333,0.8125,0.8461538428994082,0.6054055145966432,0.8755555555555555,26,22,8,4,0.0007188320159912109
Dataset01_15.0,GradientBoostingf,32,0.9000336587007741,0.9186333215921099,0.8778189161898351,0.9333333333333333,0.89776247848537,0.8484848459136822,0.7705289916986813,0.9766666666666666,25,28,2,5,1.4062895774841309,0.8833333333333333,0.9259259259259259,0.8333333333333334,0.9333333333333333,0.8771929824561403,0.8484848459136822,0.7705289916986813,0.9766666666666666,25,28,2,5,0.0005908012390136719
Dataset01_15.0,GradientBoostingf,33,0.9067653988556041,0.9235892043463021,0.8869067653988556,0.9,0.9048763736263736,0.8709677391259105,0.7670929478597832,0.9211111111111111,26,27,3,4,1.6352221965789795,0.8833333333333333,0.896551724137931,0.8666666666666667,0.9,0.8813559322033898,0.8709677391259105,0.7670929478597832,0.9211111111111111,26,27,3,4,0.0006818771362304688
Dataset01_15.0,GradientBoostingf,34,0.8685627734769438,0.8910714285714286,0.8397845843150454,0.9,0.8646681684283486,0.8709677391259105,0.7670929478597832,0.9616666666666667,26,27,3,4,0.8935518264770508,0.8833333333333333,0.896551724137931,0.8666666666666667,0.9,0.8813559322033898,0.8709677391259105,0.7670929478597832,0.9616666666666667,26,27,3,4,0.0004508495330810547
Dataset01_15.0,GradientBoostingf,35,0.8954897340962639,0.9160764872521246,0.8707505890272635,0.8333333333333334,0.8928386540120794,0.8064516103017689,0.6336854786667774,0.9144444444444444,24,25,5,6,1.1020410060882568,0.8166666666666667,0.8275862068965517,0.8,0.8333333333333334,0.8135593220338984,0.8064516103017689,0.6336854786667774,0.9144444444444444,24,25,5,6,0.0005927085876464844
Dataset01_15.0,GradientBoostingf,36,0.8710871760350051,0.9013469239170003,0.8333894311679569,0.9,0.8660370759006646,0.9642857108418367,0.8685990362153254,0.9811111111111112,29,27,3,1,0.9448080062866211,0.9333333333333333,0.90625,0.9666666666666667,0.9,0.9354838709677419,0.9642857108418367,0.8685990362153254,0.9811111111111112,29,27,3,1,0.0005869865417480469
Dataset01_15.0,GradientBoostingf,37,0.8938067990575563,0.9166666666666666,0.866374957926624,0.9,0.8908115590932687,0.899999997,0.7999999999999506,0.98,27,27,3,3,1.1010568141937256,0.9,0.9,0.9,0.9,0.9,0.899999997,0.7999999999999506,0.98,27,27,3,3,0.0004994869232177734
Dataset01_15.0,GradientBoostingf,38,0.9005385392123864,0.9187192118226601,0.8788286772130596,0.9666666666666667,0.8983313263375193,0.8787878761248852,0.8375315127159578,0.9566666666666667,26,29,1,4,1.3579583168029785,0.9166666666666666,0.9629629629629629,0.8666666666666667,0.9666666666666667,0.9122807017543859,0.8787878761248852,0.8375315127159578,0.9566666666666667,26,29,1,4,0.0005917549133300781
Dataset01_15.0,GradientBoostingf,39,0.9062605183439919,0.9214385474860335,0.8882531134298216,1.0,0.9045415595544131,0.8823529385813148,0.8744746321951512,0.9433333333333334,26,30,0,4,1.6216540336608887,0.9333333333333333,1.0,0.8666666666666667,1.0,0.9285714285714286,0.8823529385813148,0.8744746321951512,0.9433333333333334,26,30,0,4,0.0007331371307373047
Dataset01_15.0,GradientBoostingf,40,0.8726018175698418,0.8942307692307693,0.8451699764389095,0.8,0.8690084789756013,0.7999999973333333,0.5999999999999629,0.8738888888888889,24,24,6,6,1.0261130332946777,0.8,0.8,0.8,0.8,0.8,0.7999999973333333,0.5999999999999629,0.8738888888888889,24,24,6,6,0.0005009174346923828
Dataset01_15.0,GradientBoostingf,41,0.8683944799730731,0.896414342629482,0.8330528441602154,0.9333333333333333,0.863572923935799,0.7777777756172839,0.680413817439728,0.9277777777777778,22,28,2,8,1.0080296993255615,0.8333333333333334,0.9166666666666666,0.7333333333333333,0.9333333333333333,0.8148148148148148,0.7777777756172839,0.680413817439728,0.9277777777777778,22,28,2,8,0.0004401206970214844
