dataset,network,partition,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
Dataset01_35.0,KNNf,1,0.925938394209729,0.9489180560482441,0.9003702457085156,0.9354838709677419,0.924006908462867,0.7837837816654493,0.684451102725127,0.9,22,29,2,8,0.02562713623046875,0.8360655737704918,0.9166666666666666,0.7333333333333333,0.9354838709677419,0.8148148148148148,0.7837837816654493,0.684451102725127,0.9,22,29,2,8,0.0030698776245117188
Dataset01_35.0,KNNf,2,0.9410873590304663,0.9577218728162125,0.9228956228956229,0.9333333333333333,0.9399862825788752,0.7999999977142856,0.7152596456032999,0.8870967741935485,24,28,2,7,0.025872468948364258,0.8524590163934426,0.9230769230769231,0.7741935483870968,0.9333333333333333,0.8421052631578947,0.7999999977142856,0.7152596456032999,0.8870967741935485,24,28,2,7,0.0030362606048583984
Dataset01_35.0,KNNf,3,1.0,1.0,1.0,0.9,1.0,0.9310344795481569,0.833796682456286,0.9166666666666666,28,27,3,2,0.02564215660095215,0.9166666666666666,0.9032258064516129,0.9333333333333333,0.9,0.9180327868852459,0.9310344795481569,0.833796682456286,0.9166666666666666,28,27,3,2,0.002911090850830078
Dataset01_35.0,KNNf,4,0.925782564792999,0.94921875,0.8996970716930327,0.8666666666666667,0.9237947122861586,0.7878787854912764,0.636523949664128,0.8961111111111111,23,26,4,7,0.026607513427734375,0.8166666666666667,0.8518518518518519,0.7666666666666667,0.8666666666666667,0.8070175438596491,0.7878787854912764,0.636523949664128,0.8961111111111111,23,26,4,7,0.004009723663330078
Dataset01_35.0,KNNf,5,0.938572871087176,1.0,0.877145742174352,1.0,0.9345526268603191,0.7692307672583826,0.733799385705293,0.9266666666666666,21,30,0,9,0.025806188583374023,0.85,1.0,0.7,1.0,0.8235294117647058,0.7692307672583826,0.733799385705293,0.9266666666666666,21,30,0,9,0.003022432327270508
Dataset01_35.0,KNNf,6,1.0,1.0,1.0,0.9,1.0,0.9310344795481569,0.833796682456286,0.9166666666666666,28,27,3,2,0.025799036026000977,0.9166666666666666,0.9032258064516129,0.9333333333333333,0.9,0.9180327868852459,0.9310344795481569,0.833796682456286,0.9166666666666666,28,27,3,2,0.002921581268310547
Dataset01_35.0,KNNf,7,0.9405923931336251,0.9570530726256983,0.9225849882194548,0.8666666666666667,0.939502999143102,0.8666666637777778,0.733333333333288,0.9133333333333333,26,26,4,4,0.026508808135986328,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666637777778,0.733333333333288,0.9133333333333333,26,26,4,4,0.003734588623046875
Dataset01_35.0,KNNf,8,0.9400875126220128,0.9576478823941197,0.9209020531807472,0.9,0.9389155799588195,0.8709677391259105,0.7670929478597832,0.9383333333333332,26,27,3,4,0.02569746971130371,0.8833333333333333,0.896551724137931,0.8666666666666667,0.9,0.8813559322033898,0.8709677391259105,0.7670929478597832,0.9383333333333332,26,27,3,4,0.0030918121337890625
Dataset01_35.0,KNNf,9,1.0,1.0,1.0,0.8,1.0,0.95999999616,0.7775419143501859,0.8833333333333334,29,24,6,1,0.025740861892700195,0.8833333333333333,0.8285714285714286,0.9666666666666667,0.8,0.8923076923076924,0.95999999616,0.7775419143501859,0.8833333333333334,29,24,6,1,0.002913236618041992
Dataset01_35.0,KNNf,10,0.9256142712891282,0.9492007104795737,0.8993604846852912,1.0,0.9236087106809541,0.8108108086194302,0.7884298457196686,0.9666666666666668,23,30,0,7,0.025920629501342773,0.8833333333333333,1.0,0.7666666666666667,1.0,0.8679245283018868,0.8108108086194302,0.7884298457196686,0.9666666666666668,23,30,0,7,0.0031175613403320312
Dataset01_35.0,KNNf,11,1.0,1.0,1.0,0.9,1.0,0.9310344795481569,0.833796682456286,0.9166666666666666,28,27,3,2,0.025696516036987305,0.9166666666666666,0.9032258064516129,0.9333333333333333,0.9,0.9180327868852459,0.9310344795481569,0.833796682456286,0.9166666666666666,28,27,3,2,0.0029168128967285156
Dataset01_35.0,KNNf,12,1.0,1.0,1.0,0.8333333333333334,1.0,0.8620689625445898,0.7003892132632803,0.85,26,25,5,4,0.025626182556152344,0.85,0.8387096774193549,0.8666666666666667,0.8333333333333334,0.8524590163934426,0.8620689625445898,0.7003892132632803,0.85,26,25,5,4,0.0030145645141601562
Dataset01_35.0,KNNf,13,1.0,1.0,1.0,0.8666666666666667,1.0,0.8666666637777778,0.733333333333288,0.8666666666666667,26,26,4,4,0.025751590728759766,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666637777778,0.733333333333288,0.8666666666666667,26,26,4,4,0.0029053688049316406
Dataset01_35.0,KNNf,14,0.938572871087176,1.0,0.877145742174352,0.9333333333333333,0.9345526268603191,0.8749999972656249,0.8017837257372235,0.9199999999999999,26,28,2,4,0.025855302810668945,0.9,0.9285714285714286,0.8666666666666667,0.9333333333333333,0.896551724137931,0.8749999972656249,0.8017837257372235,0.9199999999999999,26,28,2,4,0.0029702186584472656
Dataset01_35.0,KNNf,15,0.9390777515987883,1.0,0.8781555031975766,0.9333333333333333,0.9351254480286738,0.8484848459136822,0.7705289916986813,0.9105555555555556,25,28,2,5,0.025844573974609375,0.8833333333333333,0.9259259259259259,0.8333333333333334,0.9333333333333333,0.8771929824561403,0.8484848459136822,0.7705289916986813,0.9105555555555556,25,28,2,5,0.003022432327270508
Dataset01_35.0,KNNf,16,0.9234264557388084,0.9704562453253552,0.8734432850891956,0.9,0.9193976970770593,0.899999997,0.7999999999999506,0.8966666666666666,27,27,3,3,0.025761127471923828,0.9,0.9,0.9,0.9,0.9,0.899999997,0.7999999999999506,0.8966666666666666,27,27,3,3,0.0030105113983154297
Dataset01_35.0,KNNf,17,0.9402558061258836,0.9570230607966457,0.9219118142039717,1.0,0.9391393793931082,0.7692307672583826,0.733799385705293,0.875,21,30,0,9,0.025754451751708984,0.85,1.0,0.7,1.0,0.8235294117647058,0.7692307672583826,0.733799385705293,0.875,21,30,0,9,0.003106355667114258
Dataset01_35.0,KNNf,18,1.0,1.0,1.0,0.8666666666666667,1.0,0.8666666637777778,0.733333333333288,0.8666666666666667,26,26,4,4,0.025591135025024414,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666637777778,0.733333333333288,0.8666666666666667,26,26,4,4,0.0029935836791992188
Dataset01_35.0,KNNf,19,0.92376304274655,0.9704783258594918,0.8741164591046786,0.9,0.9197804143793165,0.7499999979166666,0.6123724356957552,0.8716666666666666,21,27,3,9,0.025714397430419922,0.8,0.875,0.7,0.9,0.7777777777777778,0.7499999979166666,0.6123724356957552,0.8716666666666666,21,27,3,9,0.0031015872955322266
Dataset01_35.0,KNNf,20,1.0,1.0,1.0,0.7666666666666667,1.0,0.91999999632,0.7099295739719089,0.85,28,23,7,2,0.02664470672607422,0.85,0.8,0.9333333333333333,0.7666666666666667,0.8615384615384616,0.91999999632,0.7099295739719089,0.85,28,23,7,2,0.003773212432861328
Dataset01_35.0,KNNf,21,0.9402558061258836,0.9583041345480028,0.9205654661730057,0.8333333333333334,0.9390557939914163,0.8620689625445898,0.7003892132632803,0.9544444444444444,26,25,5,4,0.025681734085083008,0.85,0.8387096774193549,0.8666666666666667,0.8333333333333334,0.8524590163934426,0.8620689625445898,0.7003892132632803,0.9544444444444444,26,25,5,4,0.0029616355895996094
Dataset01_35.0,KNNf,22,0.925109390777516,0.9494661921708185,0.8980141366543252,0.9666666666666667,0.9230236983220896,0.9666666634444444,0.9333333333332757,0.9794444444444443,29,29,1,1,0.025673627853393555,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666634444444,0.9333333333332757,0.9794444444444443,29,29,1,1,0.0031518936157226562
Dataset01_35.0,KNNf,23,0.9400875126220128,0.9582895198037154,0.9202288791652642,0.9666666666666667,0.9388736263736264,0.8055555533179012,0.7484551991837007,0.9455555555555557,23,29,1,7,0.02573680877685547,0.8666666666666667,0.9583333333333334,0.7666666666666667,0.9666666666666667,0.8518518518518519,0.8055555533179012,0.7484551991837007,0.9455555555555557,23,29,1,7,0.003017425537109375
Dataset01_35.0,KNNf,24,0.9232581622349377,0.9704451926674149,0.873106698081454,0.9333333333333333,0.9192062367115521,0.7777777756172839,0.680413817439728,0.8977777777777778,22,28,2,8,0.02669692039489746,0.8333333333333334,0.9166666666666666,0.7333333333333333,0.9333333333333333,0.8148148148148148,0.7777777756172839,0.680413817439728,0.8977777777777778,22,28,2,8,0.0037643909454345703
Dataset01_35.0,KNNf,25,1.0,1.0,1.0,0.9,1.0,0.8709677391259105,0.7670929478597832,0.8833333333333334,26,27,3,4,0.0258328914642334,0.8833333333333333,0.896551724137931,0.8666666666666667,0.9,0.8813559322033898,0.8709677391259105,0.7670929478597832,0.8833333333333334,26,27,3,4,0.0030155181884765625
Dataset01_35.0,KNNf,26,0.9387411645910468,1.0,0.8774823291820936,0.9666666666666667,0.9347436357117246,0.9062499971679687,0.8685990362153254,0.925,27,29,1,3,0.026536226272583008,0.9333333333333333,0.9642857142857143,0.9,0.9666666666666667,0.9310344827586207,0.9062499971679687,0.8685990362153254,0.925,27,29,1,3,0.003740072250366211
Dataset01_35.0,KNNf,27,1.0,1.0,1.0,0.9333333333333333,1.0,0.8749999972656249,0.8017837257372235,0.9,26,28,2,4,0.026558637619018555,0.9,0.9285714285714286,0.8666666666666667,0.9333333333333333,0.896551724137931,0.8749999972656249,0.8017837257372235,0.9,26,28,2,4,0.0036695003509521484
Dataset01_35.0,KNNf,28,0.939919219118142,0.956993006993007,0.9212386401884888,0.9666666666666667,0.9387755102040817,0.8055555533179012,0.7484551991837007,0.9433333333333334,23,29,1,7,0.025842666625976562,0.8666666666666667,0.9583333333333334,0.7666666666666667,0.9666666666666667,0.8518518518518519,0.8055555533179012,0.7484551991837007,0.9433333333333334,23,29,1,7,0.0030281543731689453
Dataset01_35.0,KNNf,29,0.9234264557388084,0.9697535474234503,0.8741164591046786,0.9333333333333333,0.919454770755886,0.8484848459136822,0.7705289916986813,0.8844444444444445,25,28,2,5,0.02582263946533203,0.8833333333333333,0.9259259259259259,0.8333333333333334,0.9333333333333333,0.8771929824561403,0.8484848459136822,0.7705289916986813,0.8844444444444445,25,28,2,5,0.0029754638671875
