dataset,network,partition,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
Dataset01_45.0,NBayesf,1,0.781013297424676,0.8586769759450171,0.6728374284752608,0.7741935483870968,0.7544819777316475,0.6486486468955441,0.34882797357534606,0.7720430107526881,17,24,7,13,0.12199807167053223,0.6721311475409836,0.7083333333333334,0.5666666666666667,0.7741935483870968,0.6296296296296297,0.6486486468955441,0.34882797357534606,0.7720430107526881,17,24,7,13,0.00028967857360839844
Dataset01_45.0,NBayesf,2,0.8054199629691972,0.8610668789808917,0.7282828282828283,0.9,0.7891280554542138,0.7499999979166666,0.6197554148157984,0.8849462365591397,22,27,3,9,0.12096023559570312,0.8032786885245902,0.88,0.7096774193548387,0.9,0.7857142857142857,0.7499999979166666,0.6197554148157984,0.8849462365591397,22,27,3,9,0.0002613067626953125
Dataset01_45.0,NBayesf,3,0.7973746213396163,0.8649318463444857,0.7048131942107034,0.9333333333333333,0.776706231454006,0.7999999977142856,0.7099295739719089,0.9155555555555555,23,28,2,7,0.1208338737487793,0.85,0.92,0.7666666666666667,0.9333333333333333,0.8363636363636363,0.7999999977142856,0.7099295739719089,0.9155555555555555,23,28,2,7,0.00025725364685058594
Dataset01_45.0,NBayesf,4,0.7992258498821946,0.8652423993426458,0.7088522383036014,0.9,0.7792784458834413,0.7941176447231834,0.6726727939962702,0.9233333333333333,23,27,3,7,0.12152242660522461,0.8333333333333334,0.8846153846153846,0.7666666666666667,0.9,0.8214285714285714,0.7941176447231834,0.6726727939962702,0.9233333333333333,23,27,3,7,0.0002834796905517578
Dataset01_45.0,NBayesf,5,0.7972063278357455,0.8651778329197684,0.7041400201952205,0.9,0.7763963629615884,0.8181818157024793,0.7035264706814046,0.9366666666666666,24,27,3,6,0.12125229835510254,0.85,0.8888888888888888,0.8,0.9,0.8421052631578947,0.8181818157024793,0.7035264706814046,0.9366666666666666,24,27,3,6,0.00026106834411621094
Dataset01_45.0,NBayesf,6,0.8020868394479973,0.8629195309340881,0.7182766745203635,0.9,0.783982365907421,0.8437499973632813,0.7349684152591215,0.9311111111111111,25,27,3,5,0.1209712028503418,0.8666666666666667,0.8928571428571429,0.8333333333333334,0.9,0.8620689655172413,0.8437499973632813,0.7349684152591215,0.9311111111111111,25,27,3,5,0.0002624988555908203
Dataset01_45.0,NBayesf,7,0.8034331874789633,0.8630688683044704,0.721305957590037,0.8666666666666667,0.7858452511917858,0.7878787854912764,0.636523949664128,0.9011111111111112,23,26,4,7,0.12031197547912598,0.8166666666666667,0.8518518518518519,0.7666666666666667,0.8666666666666667,0.8070175438596491,0.7878787854912764,0.636523949664128,0.9011111111111112,23,26,4,7,0.00026988983154296875
Dataset01_45.0,NBayesf,8,0.7977112083473578,0.8641416220666941,0.706496129249411,0.9666666666666667,0.7774074074074074,0.7249999981874999,0.6363961030678486,0.9011111111111111,19,29,1,11,0.11173224449157715,0.8,0.95,0.6333333333333333,0.9666666666666667,0.76,0.7249999981874999,0.6363961030678486,0.9011111111111111,19,29,1,11,0.0002651214599609375
Dataset01_45.0,NBayesf,9,0.8106698081454056,0.863672182821119,0.7377987209693706,0.8,0.7957887093846433,0.7999999973333333,0.5999999999999629,0.89,24,24,6,6,0.12229275703430176,0.8,0.8,0.8,0.8,0.8,0.7999999973333333,0.5999999999999629,0.89,24,24,6,6,0.00026154518127441406
Dataset01_45.0,NBayesf,10,0.8012453719286435,0.8638211382113821,0.71524739145069,0.8,0.7825446510771497,0.74999999765625,0.5345224838248156,0.8388888888888889,22,24,6,8,0.12359476089477539,0.7666666666666667,0.7857142857142857,0.7333333333333333,0.8,0.7586206896551724,0.74999999765625,0.5345224838248156,0.8388888888888889,22,24,6,8,0.00026535987854003906
