epoch,FN,FP,TN,TP,accuracy,auc,f1_score,loss,lr,mcc,npv,precision,recall,specificity,val_FN,val_FP,val_TN,val_TP,val_accuracy,val_auc,val_f1_score,val_loss,val_mcc,val_npv,val_precision,val_recall,val_specificity
0,311.0,324.0,4524.0,4537.0,0.9387376308441162,0.9804490208625793,0.9346760511398315,0.17746248841285706,0.01,0.8698595762252808,0.9362629055976868,0.9333470463752747,0.9358498454093933,0.9331682920455933,54.0,68.0,1068.0,1082.0,0.9463028311729431,0.9707342386245728,0.9470229744911194,0.3295201361179352,0.8928986191749573,0.951291024684906,0.9408695697784424,0.952464759349823,0.9401408433914185
1,115.0,118.0,4726.0,4729.0,0.977497935295105,0.9936007261276245,0.9759537577629089,0.08522669225931168,0.01,0.9521414041519165,0.9765002727508545,0.9756550192832947,0.9762592911720276,0.9756600856781006,150.0,154.0,982.0,986.0,0.8653169274330139,0.8811135292053223,0.8664905428886414,2.0657243728637695,0.7324668169021606,0.8674296140670776,0.8649122714996338,0.8679577708244324,0.8644366264343262
2,117.0,109.0,4735.0,4727.0,0.9772915244102478,0.99607253074646,0.97662353515625,0.06923519819974899,0.01,0.9535111784934998,0.9761210680007935,0.9774606823921204,0.9758464097976685,0.9775164723396301,18.0,18.0,1118.0,1118.0,0.9841549396514893,0.9908570051193237,0.9841549396514893,0.1484559178352356,0.9683098793029785,0.9841549396514893,0.9841549396514893,0.9841549396514893,0.9841549396514893
3,79.0,77.0,4767.0,4765.0,0.984310507774353,0.9972622394561768,0.9839028120040894,0.05246341601014137,0.01,0.9678928852081299,0.9837878942489624,0.9840974807739258,0.9836911559104919,0.9841171503067017,34.0,32.0,1104.0,1102.0,0.970950722694397,0.9823719263076782,0.9708654880523682,0.26045241951942444,0.9419462084770203,0.9702776074409485,0.971781313419342,0.9700704216957092,0.9718309640884399
4,56.0,53.0,4791.0,4788.0,0.9890586137771606,0.9973584413528442,0.9885969161987305,0.04521071910858154,0.01,0.9772943258285522,0.9884083271026611,0.989051878452301,0.9884393215179443,0.9889300465583801,48.0,50.0,1086.0,1088.0,0.9568662047386169,0.9742006659507751,0.9569462537765503,0.46355846524238586,0.9137772917747498,0.9576291441917419,0.9560632705688477,0.9577465057373047,0.9559859037399292
5,40.0,38.0,4806.0,4804.0,0.9921552538871765,0.999056875705719,0.9919538497924805,0.026690416038036346,0.01,0.9839947819709778,0.9918324947357178,0.9921519756317139,0.9917423725128174,0.9921616911888123,23.0,26.0,1110.0,1113.0,0.9779929518699646,0.9890359044075012,0.9785797595977783,0.1484699547290802,0.9569300413131714,0.9795188307762146,0.9771729707717896,0.9797534942626953,0.9771126508712769
6,16.0,19.0,4825.0,4828.0,0.996490478515625,0.9997466206550598,0.9963996410369873,0.013760385103523731,0.0009999999,0.9927986860275269,0.9966996908187866,0.9960800409317017,0.996696949005127,0.9960808753967285,17.0,17.0,1119.0,1119.0,0.985035240650177,0.9948365092277527,0.985035240650177,0.07757637649774551,0.9700704216957092,0.985035240650177,0.985035240650177,0.985035240650177,0.985035240650177
7,11.0,12.0,4832.0,4833.0,0.9979355931282043,0.999962568283081,0.9976308345794678,0.008043058216571808,0.0009999999,0.9952738881111145,0.9977431297302246,0.9975232481956482,0.9977291226387024,0.9975247383117676,16.0,16.0,1120.0,1120.0,0.98591548204422,0.9964280128479004,0.98591548204422,0.06312613189220428,0.9718309640884399,0.98591548204422,0.98591548204422,0.98591548204422,0.98591548204422
8,5.0,6.0,4838.0,4839.0,0.9987613558769226,0.9999897480010986,0.9987998604774475,0.005683596711605787,0.0009999999,0.9975996017456055,0.9988998770713806,0.9987615942955017,0.9989677667617798,0.998693585395813,17.0,17.0,1119.0,1119.0,0.985035240650177,0.9977372884750366,0.985035240650177,0.055568628013134,0.9700704216957092,0.985035240650177,0.985035240650177,0.985035240650177,0.985035240650177
9,11.0,11.0,4833.0,4833.0,0.9977291226387024,0.9996442794799805,0.9977308511734009,0.008345922455191612,0.0009999999,0.9954741597175598,0.9977431297302246,0.9977291226387024,0.9977291226387024,0.9977310299873352,16.0,16.0,1120.0,1120.0,0.98591548204422,0.9975870251655579,0.98591548204422,0.04654865711927414,0.9718309640884399,0.98591548204422,0.98591548204422,0.98591548204422,0.98591548204422
10,4.0,5.0,4839.0,4840.0,0.9991742372512817,0.9999930262565613,0.9990748763084412,0.004644657950848341,0.0009999999,0.9981496334075928,0.9991748929023743,0.9989680051803589,0.9991742372512817,0.9989686608314514,16.0,16.0,1120.0,1120.0,0.98591548204422,0.9984316229820251,0.98591548204422,0.043545082211494446,0.9718309640884399,0.98591548204422,0.98591548204422,0.98591548204422,0.98591548204422
11,5.0,5.0,4839.0,4839.0,0.9989677667617798,0.9999931454658508,0.9989684224128723,0.004563363268971443,9.999999e-05,0.9979493618011475,0.9989807605743408,0.9989677667617798,0.9989677667617798,0.9989686608314514,16.0,16.0,1120.0,1120.0,0.98591548204422,0.9983940720558167,0.98591548204422,0.04309884458780289,0.9718309640884399,0.98591548204422,0.98591548204422,0.98591548204422,0.98591548204422
12,4.0,3.0,4841.0,4840.0,0.9993806481361389,0.9999991655349731,0.999274730682373,0.0031902401242405176,9.999999e-05,0.9985621571540833,0.9991869926452637,0.9993805289268494,0.9991742372512817,0.9993811845779419,17.0,16.0,1120.0,1119.0,0.985035240650177,0.9984564185142517,0.9854611754417419,0.040654201060533524,0.9709764719009399,0.985086977481842,0.9859030842781067,0.985035240650177,0.98591548204422
