epoch,FN,FP,TN,TP,accuracy,auc,f1_score,loss,lr,mcc,npv,precision,recall,specificity,val_FN,val_FP,val_TN,val_TP,val_accuracy,val_auc,val_f1_score,val_loss,val_mcc,val_npv,val_precision,val_recall,val_specificity
0,246.0,250.0,4630.0,4634.0,0.95102459192276,0.9863707423210144,0.9489766359329224,0.1447916030883789,0.01,0.8988535404205322,0.9503645300865173,0.9488124251365662,0.9495901465415955,0.9487704634666443,18.0,21.0,1083.0,1086.0,0.9818840622901917,0.9972876310348511,0.9823780655860901,0.056746188551187515,0.9647537469863892,0.9836956262588501,0.9810298085212708,0.9836956262588501,0.98097825050354
1,86.0,87.0,4781.0,4782.0,0.9819227457046509,0.9968956112861633,0.9822797179222107,0.058321449905633926,0.01,0.9647305011749268,0.9825399518013,0.982131838798523,0.9823336005210876,0.9821721315383911,17.0,18.0,1086.0,1087.0,0.9846014380455017,0.9967845678329468,0.9841622710227966,0.0495913103222847,0.9683237671852112,0.9846014380455017,0.9837104082107544,0.9846014380455017,0.9836956262588501
2,65.0,61.0,4807.0,4803.0,0.9870583415031433,0.9987075924873352,0.9870689511299133,0.0381588414311409,0.01,0.9742621779441833,0.9867991805076599,0.9874588847160339,0.9866474866867065,0.987500011920929,20.0,23.0,1081.0,1084.0,0.98097825050354,0.9960128664970398,0.9805939197540283,0.054673921316862106,0.9611270427703857,0.9818236827850342,0.9792231321334839,0.9818840622901917,0.9791666865348816
3,52.0,53.0,4815.0,4816.0,0.9891125559806824,0.9987462162971497,0.9892371296882629,0.03102748841047287,0.01,0.9785352349281311,0.9894028902053833,0.9891148209571838,0.9893180131912231,0.9891393184661865,24.0,24.0,1080.0,1080.0,0.97826087474823,0.9947424530982971,0.97826087474823,0.0744861587882042,0.95652174949646,0.97826087474823,0.97826087474823,0.97826087474823,0.97826087474823
4,18.0,17.0,4851.0,4850.0,0.9963023662567139,0.9996733069419861,0.9964034557342529,0.015379161573946476,0.01,0.9928690791130066,0.9963716864585876,0.9965071082115173,0.9963023662567139,0.9965164065361023,16.0,17.0,1087.0,1088.0,0.9846014380455017,0.996526300907135,0.9850680828094482,0.050510384142398834,0.9701353311538696,0.9855072498321533,0.9846153855323792,0.9855072498321533,0.9846014380455017
5,9.0,10.0,4858.0,4859.0,0.9979457855224609,0.9999882578849792,0.998056173324585,0.005784460809081793,0.0009999999,0.9961245656013489,0.9981677532196045,0.9979462027549744,0.9981511831283569,0.9979507923126221,13.0,13.0,1091.0,1091.0,0.9882246255874634,0.9976732134819031,0.9882246255874634,0.04193059355020523,0.9764492511749268,0.9882246255874634,0.9882246255874634,0.9882246255874634,0.9882246255874634
6,8.0,8.0,4860.0,4860.0,0.9981511831283569,0.999754011631012,0.99774569272995,0.009191884659230709,0.0009999999,0.9955037832260132,0.9977579116821289,0.9983566403388977,0.9983566403388977,0.997745931148529,14.0,14.0,1090.0,1090.0,0.9873188138008118,0.9977179169654846,0.9873188138008118,0.03822566196322441,0.9746376872062683,0.9873188138008118,0.9873188138008118,0.9873188138008118,0.9873188138008118
7,2.0,2.0,4866.0,4866.0,0.9995891451835632,0.9999898076057434,0.9995901584625244,0.003492340911179781,0.0009999999,0.9991803169250488,0.9995901584625244,0.9995891451835632,0.9995891451835632,0.9995901584625244,13.0,12.0,1092.0,1091.0,0.9882246255874634,0.9977482557296753,0.9886629581451416,0.03897683322429657,0.9773815870285034,0.9882779121398926,0.989120602607727,0.9882246255874634,0.989130437374115
8,6.0,8.0,4860.0,4862.0,0.9985620379447937,0.9997760653495789,0.9973422884941101,0.006916795391589403,0.0009999999,0.9946841597557068,0.9975410103797913,0.9983572959899902,0.9987674355506897,0.9971311688423157,12.0,13.0,1091.0,1092.0,0.9882246255874634,0.997369110584259,0.9886912703514099,0.03751041740179062,0.9773815870285034,0.989130437374115,0.9882352948188782,0.989130437374115,0.9882246255874634
9,4.0,4.0,4864.0,4864.0,0.9991782903671265,0.9999971389770508,0.9991803169250488,0.0033885850571095943,9.999999e-05,0.9983606338500977,0.9991803169250488,0.9991782903671265,0.9991782903671265,0.9991803169250488,10.0,11.0,1093.0,1094.0,0.9900362491607666,0.9978170990943909,0.9905028343200684,0.03658001497387886,0.9810048937797546,0.9909420013427734,0.9900452494621277,0.9909420013427734,0.9900362491607666
10,4.0,6.0,4862.0,4864.0,0.9989728927612305,0.9999932050704956,0.9989815950393677,0.004232837352901697,9.999999e-05,0.9979628324508667,0.9991803169250488,0.9987679719924927,0.9991782903671265,0.9987704753875732,12.0,12.0,1092.0,1092.0,0.989130437374115,0.9978016018867493,0.989130437374115,0.03713702782988548,0.97826087474823,0.989130437374115,0.989130437374115,0.989130437374115,0.989130437374115
11,4.0,4.0,4864.0,4864.0,0.9991782903671265,0.9997823238372803,0.9979507923126221,0.005627945531159639,9.999999e-05,0.9959016442298889,0.9979507923126221,0.9991782903671265,0.9991782903671265,0.9979507923126221,12.0,12.0,1092.0,1092.0,0.989130437374115,0.9977999329566956,0.9891295433044434,0.03681643679738045,0.9783140420913696,0.9891837239265442,0.989130437374115,0.989130437374115,0.989130437374115
12,4.0,5.0,4863.0,4864.0,0.9991782903671265,0.9999912977218628,0.9984661936759949,0.0033853722270578146,9.999999e-05,0.9969322085380554,0.9985655546188354,0.9989730715751648,0.9991782903671265,0.9983606338500977,11.0,12.0,1092.0,1093.0,0.989130437374115,0.9973798394203186,0.9895970225334167,0.03665248677134514,0.9791932106018066,0.9900362491607666,0.9891402721405029,0.9900362491607666,0.989130437374115
13,2.0,2.0,4866.0,4866.0,0.9995891451835632,0.9999991059303284,0.9995901584625244,0.0026699332520365715,9.999999e-06,0.9991803169250488,0.9995901584625244,0.9995891451835632,0.9995891451835632,0.9995901584625244,12.0,13.0,1091.0,1092.0,0.9882246255874634,0.9973745346069336,0.9886912703514099,0.036632977426052094,0.9773815870285034,0.989130437374115,0.9882352948188782,0.989130437374115,0.9882246255874634
