dataset,network,partition,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
90,NBayes,1,0.799410029498525,0.8414223930802499,0.7378845343447114,0.7818471337579618,0.7862595419847328,0.7919354837432363,0.5764798980313592,0.8126977767860766,499,491,137,129,47.03304624557495,0.7882165605095541,0.7845911949685535,0.7945859872611465,0.7818471337579618,0.7895569620253166,0.7919354837432363,0.5764798980313592,0.8126977767860766,499,491,137,129,47.55762243270874
90,NBayes,2,0.7979924717691342,0.8349788434414669,0.7427854454203262,0.8065573770491803,0.7861885790172642,0.7711598744872791,0.5678116084846856,0.8241628594463855,464,492,118,146,47.135756492614746,0.7836065573770492,0.7972508591065293,0.760655737704918,0.8065573770491803,0.7785234899328859,0.7711598744872791,0.5678116084846856,0.8241628594463855,464,492,118,146,47.64068341255188
90,NBayes,3,0.7984949832775919,0.8393536121673004,0.7382943143812709,0.8522167487684729,0.7855871886120996,0.7403708986105034,0.559790624257935,0.8216759553603447,427,519,90,182,47.038127422332764,0.7766830870279147,0.8259187620889749,0.7011494252873564,0.8522167487684729,0.7584369449378331,0.7403708986105034,0.559790624257935,0.8216759553603447,427,519,90,182,47.53533673286438
90,NBayes,4,0.8055091819699499,0.8410997204100652,0.753338898163606,0.8082644628099174,0.7948040510788198,0.7569659441552685,0.5500248011766418,0.8172406256403251,448,489,116,157,47.08286499977112,0.7743801652892562,0.7943262411347518,0.740495867768595,0.8082644628099174,0.7664670658682633,0.7569659441552685,0.5500248011766418,0.8172406256403251,448,489,116,157,47.59635090827942
90,NBayes,5,0.8008739076154806,0.8429791271347249,0.739492301290054,0.8093645484949833,0.7878519175349146,0.7446153845008284,0.5337945315003506,0.8082152324918066,432,484,114,166,47.25486350059509,0.7658862876254181,0.7912087912087912,0.7224080267558528,0.8093645484949833,0.7552447552447552,0.7446153845008284,0.5337945315003506,0.8082152324918066,432,484,114,166,47.74070858955383
90,NBayes,6,0.8011198672749896,0.8500482160077145,0.7312318540024886,0.7813559322033898,0.7861761426978818,0.7670549083582272,0.5441623805959216,0.8019060614765872,450,461,129,140,47.70102381706238,0.7720338983050847,0.7772020725388601,0.7627118644067796,0.7813559322033898,0.7698887938408897,0.7670549083582272,0.5441623805959216,0.8019060614765872,450,461,129,140,48.19171643257141
90,NBayes,7,0.8087615838247684,0.8451035781544256,0.7561078348778433,0.6236044657097288,0.7981325033348154,0.7651663403590672,0.43980932574141235,0.7404134520729837,507,391,236,120,46.959227323532104,0.7161084529505582,0.6823687752355316,0.8086124401913876,0.6236044657097288,0.7401459854014599,0.7651663403590672,0.43980932574141235,0.7404134520729837,507,391,236,120,47.47855520248413
90,NBayes,8,0.8004175365344468,0.8444231689803734,0.7365344467640919,0.7755775577557755,0.7867975022301515,0.74367088595828,0.5087192603994399,0.7942249670511605,444,470,136,162,47.189831495285034,0.7541254125412541,0.7655172413793103,0.7326732673267327,0.7755775577557755,0.7487352445193929,0.74367088595828,0.5087192603994399,0.7942249670511605,444,470,136,162,47.68567895889282
90,NBayes,9,0.7985938792390406,0.844137273593899,0.7324234904880066,0.7975986277873071,0.7843224092116918,0.7573289901046696,0.5427919000711023,0.8103983947700573,434,465,118,149,47.56913113594055,0.7710120068610634,0.7862318840579711,0.7444253859348199,0.7975986277873071,0.7647577092511013,0.7573289901046696,0.5427919000711023,0.8103983947700573,434,465,118,149,48.04543328285217
90,NBayes,10,0.8034979423868313,0.8419100602688919,0.7473251028806585,0.7810858143607706,0.7918029212993242,0.7521079256741808,0.5240318328131092,0.7911305633340592,424,446,125,147,47.79511523246765,0.7618213660245184,0.7723132969034608,0.7425569176882661,0.7810858143607706,0.7571428571428571,0.7521079256741808,0.5240318328131092,0.7911305633340592,424,446,125,147,48.289405822753906
