dataset,network,partition,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
Dataset01_90.0,RandomForestf,1,1.0,1.0,1.0,0.9354838709677419,1.0,0.8055555533179012,0.7137571179448261,0.9301075268817204,23,29,2,7,17.307593822479248,0.8524590163934426,0.92,0.7666666666666667,0.9354838709677419,0.8363636363636363,0.8055555533179012,0.7137571179448261,0.9301075268817204,23,29,2,7,0.00568389892578125
Dataset01_90.0,RandomForestf,2,0.9917522302642653,0.998975059788179,0.9845117845117846,0.9,0.9916906901814482,0.7714285692244898,0.6489513805853648,0.896774193548387,23,27,3,8,15.918179988861084,0.819672131147541,0.8846153846153846,0.7419354838709677,0.9,0.8070175438596491,0.7714285692244898,0.6489513805853648,0.896774193548387,23,27,3,8,0.0008769035339355469
Dataset01_90.0,RandomForestf,3,0.9900706832716257,0.9972677595628415,0.9828340626051835,0.9333333333333333,0.9899983047974233,0.9333333302222222,0.8666666666666132,0.9655555555555555,28,28,2,2,15.728723526000977,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333302222222,0.8666666666666132,0.9655555555555555,28,28,2,2,0.0008652210235595703
Dataset01_90.0,RandomForestf,4,0.9998317064961293,1.0,0.9996634129922585,0.9666666666666667,0.9998316781686585,0.9062499971679687,0.8685990362153254,0.9733333333333333,27,29,1,3,17.08922505378723,0.9333333333333333,0.9642857142857143,0.9,0.9666666666666667,0.9310344827586207,0.9062499971679687,0.8685990362153254,0.9733333333333333,27,29,1,3,0.005285024642944336
Dataset01_90.0,RandomForestf,5,0.991248737798721,0.9976133651551312,0.9848535846516324,0.8666666666666667,0.9911924119241192,0.8965517210463734,0.7670929478597832,0.9427777777777778,27,26,4,3,15.65857481956482,0.8833333333333333,0.8709677419354839,0.9,0.8666666666666667,0.8852459016393442,0.8965517210463734,0.7670929478597832,0.9427777777777778,27,26,4,3,0.000865936279296875
Dataset01_90.0,RandomForestf,6,0.9927633793335577,0.9972826086956522,0.9882194547290475,0.9,0.9927303465765004,0.9642857108418367,0.8685990362153254,0.9794444444444445,29,27,3,1,16.041786432266235,0.9333333333333333,0.90625,0.9666666666666667,0.9,0.9354838709677419,0.9642857108418367,0.8685990362153254,0.9794444444444445,29,27,3,1,0.0008661746978759766
Dataset01_90.0,RandomForestf,7,0.9998317064961293,1.0,0.9996634129922585,0.8,0.9998316781686585,0.9230769195266272,0.7399400733958972,0.9772222222222222,28,24,6,2,16.962337017059326,0.8666666666666667,0.8235294117647058,0.9333333333333333,0.8,0.875,0.9230769195266272,0.7399400733958972,0.9772222222222222,28,24,6,2,0.005467653274536133
Dataset01_90.0,RandomForestf,8,0.9914170313025917,0.9976141785957737,0.985190171659374,1.0,0.991363251481795,0.8108108086194302,0.7884298457196686,0.9622222222222223,23,30,0,7,15.917839050292969,0.8833333333333333,1.0,0.7666666666666667,1.0,0.8679245283018868,0.8108108086194302,0.7884298457196686,0.9622222222222223,23,30,0,7,0.0008873939514160156
Dataset01_90.0,RandomForestf,9,0.9915853248064624,0.9969377339231031,0.9861999326825984,0.8333333333333334,0.9915397631133672,0.8928571396683673,0.7349684152591215,0.9444444444444445,27,25,5,3,15.610196352005005,0.8666666666666667,0.84375,0.9,0.8333333333333334,0.8709677419354839,0.8928571396683673,0.7349684152591215,0.9444444444444445,27,25,5,3,0.0008752346038818359
Dataset01_90.0,RandomForestf,10,1.0,1.0,1.0,0.9666666666666667,1.0,0.8285714262040816,0.7775419143501859,0.9400000000000001,24,29,1,6,17.340089082717896,0.8833333333333333,0.96,0.8,0.9666666666666667,0.8727272727272727,0.8285714262040816,0.7775419143501859,0.9400000000000001,24,29,1,6,0.005309343338012695
