subset,model,runtime,val_runtime,total_runtime,accuracy_mean,accuracy_median,accuracy_lower,accuracy_upper,accuracy_lower_whisker,accuracy_upper_whisker,precision_mean,precision_median,precision_lower,precision_upper,precision_lower_whisker,precision_upper_whisker,sensitivity_mean,sensitivity_median,sensitivity_lower,sensitivity_upper,sensitivity_lower_whisker,sensitivity_upper_whisker,specificity_mean,specificity_median,specificity_lower,specificity_upper,specificity_lower_whisker,specificity_upper_whisker,f1_score_mean,f1_score_median,f1_score_lower,f1_score_upper,f1_score_lower_whisker,f1_score_upper_whisker,auc_mean,auc_median,auc_lower,auc_upper,auc_lower_whisker,auc_upper_whisker,npv_mean,npv_median,npv_lower,npv_upper,npv_lower_whisker,npv_upper_whisker,mcc_mean,mcc_median,mcc_lower,mcc_upper,mcc_lower_whisker,mcc_upper_whisker,val_sensitivity_mean,val_sensitivity_median,val_sensitivity_lower,val_sensitivity_upper,val_sensitivity_lower_whisker,val_sensitivity_upper_whisker,val_accuracy_mean,val_accuracy_median,val_accuracy_lower,val_accuracy_upper,val_accuracy_lower_whisker,val_accuracy_upper_whisker,val_precision_mean,val_precision_median,val_precision_lower,val_precision_upper,val_precision_lower_whisker,val_precision_upper_whisker,val_specificity_mean,val_specificity_median,val_specificity_lower,val_specificity_upper,val_specificity_lower_whisker,val_specificity_upper_whisker,val_f1_score_mean,val_f1_score_median,val_f1_score_lower,val_f1_score_upper,val_f1_score_lower_whisker,val_f1_score_upper_whisker,val_auc_mean,val_auc_median,val_auc_lower,val_auc_upper,val_auc_lower_whisker,val_auc_upper_whisker,val_npv_mean,val_npv_median,val_npv_lower,val_npv_upper,val_npv_lower_whisker,val_npv_upper_whisker,val_mcc_mean,val_mcc_median,val_mcc_lower,val_mcc_upper,val_mcc_lower_whisker,val_mcc_upper_whisker
5,DenseNet201,467.7393062353134,35.522847513357796,503.2621537486712,88.97049921751022,89.12072479724884,88.60384523868561,89.50711786746979,87.24893629550934,90.86202681064606,88.91480600833893,89.08073902130127,88.50862234830856,89.44823890924454,87.0991975069046,90.8576637506485,88.93332052230835,89.09015953540802,88.46168220043182,89.49394971132278,86.91328093409538,91.04235097765923,88.88425487279892,89.03099596500397,88.41979801654816,89.44893330335617,86.87609508633614,90.99263623356819,88.89935958385468,89.07512724399567,88.5150745511055,89.46208953857422,87.09455206990242,90.8826120197773,95.93892276287079,96.07483446598052,95.7062304019928,96.31174504756927,94.79795843362808,97.22001701593399,88.9107335805893,89.09706175327301,88.50464522838593,89.54746872186661,86.9404099881649,91.11170396208763,77.80928701162338,78.15783619880676,77.0187720656395,78.89055907726288,74.21109154820442,81.69823959469795,88.95922529697418,89.0213817358017,88.13444823026657,89.6225854754448,85.90224236249924,91.85479134321213,89.00561457872391,89.10590410232544,88.18530440330505,89.72952961921692,85.86896657943726,92.04586744308472,88.94756752252579,89.08568322658539,88.20141404867172,89.62106704711914,86.0719345510006,91.75054654479027,88.94522136449814,89.0625,88.21594268083572,89.63815569877625,86.08262315392494,91.77147522568703,88.95143550634384,89.07081186771393,88.13651651144028,89.65842872858047,85.85364818572998,91.94129705429077,95.70752322673798,95.83565890789032,95.12385129928589,96.13327980041504,93.60970854759216,97.64742255210876,88.96364015340805,89.04759287834167,88.13370168209076,89.6501287817955,85.85906103253365,91.92476943135262,77.908018887043,78.16824018955231,76.25645995140076,79.32696491479874,71.65070250630379,83.9327223598957
10,DenseNet201,475.9855078617732,34.56112194856008,510.5466298103332,92.2794679403305,92.42421686649324,91.86019301414488,92.93507933616638,90.24786353111264,94.54740881919864,92.20886343717576,92.33230650424956,91.80797189474109,92.85337179899214,90.23987203836444,94.42147165536876,92.20246374607086,92.38020479679108,91.73629581928252,92.86913573741911,90.03703594207764,94.56839561462402,92.17333841323853,92.32773780822754,91.80238544940948,92.83655732870102,90.25112763047218,94.38781514763832,92.16459846496582,92.363041639328,91.7583465576172,92.8561344742775,90.11166468262672,94.50281634926796,97.83412897586824,97.90815114974976,97.68262654542922,98.16613793373108,96.95735946297644,98.89140501618388,92.17476892471312,92.37937033176422,91.7693942785263,92.88191199302672,90.10061770677568,94.55068856477736,84.34495562314987,84.73661839962006,83.5356131196022,85.71560978889465,80.26561811566353,88.98560479283333,91.56483751535416,91.63925647735596,91.03618264198305,92.12890714406969,89.3970958888531,93.7679938971996,91.67922580242156,91.65296256542206,91.11841917037964,92.26779490709303,89.39435556530952,93.99185851216316,91.6484433412552,91.69407486915588,91.1129280924797,92.17067509889604,89.52630758285522,93.75729560852052,91.65559816360474,91.69408082962036,91.11841917037964,92.1875,89.5147979259491,93.79112124443054,91.60324448347092,91.6429728269577,91.09696447849277,92.07257479429244,89.6335490047932,93.535990267992,97.1680303812027,97.1889317035675,96.85441255569458,97.47694730758666,95.92061042785647,98.41074943542478,91.58246439695358,91.63538217544556,91.08529537916183,92.13677644729614,89.50807377696037,93.7139980494976,83.2253006696701,83.27990174293518,82.2086364030838,84.1414600610733,79.30940091609955,87.04069554805756
15,DenseNet201,420.7849245985349,33.69794382651647,454.4828684250514,94.17465656995772,94.38649415969849,93.46567988395692,94.9626699090004,91.2201948463917,97.2081549465656,94.12675458192824,94.32874619960783,93.54445487260816,94.87193077802658,91.55324101448056,96.8631446361542,94.11251425743104,94.31244134902954,93.46174001693726,94.93766129016876,91.24785810709,97.15154320001602,94.10288882255554,94.3149834871292,93.546387553215,94.86295580863953,91.57153517007823,96.8378081917763,94.09185928106308,94.32297348976137,93.48314702510837,94.90655660629272,91.3480326533318,97.04167097806926,98.70443671941756,98.8372266292572,98.4605222940445,99.02702867984772,97.61076271533965,99.87678825855258,94.0963346362114,94.29855048656464,93.4729605913162,94.93461549282074,91.28047823905942,97.12709784507754,88.19670361280441,88.66595923900604,86.99139505624771,89.81192857027054,82.76059478521347,94.04272884130478,92.91806256771088,92.92762875556946,92.1875,93.45394670963287,90.28782993555068,95.35361677408218,92.96086657047272,92.92762875556946,92.41593480110168,93.53309869766235,90.74018895626068,95.20884454250336,92.91146945953368,92.87556111812592,92.4011528491974,93.503837287426,90.74712619185448,95.1578639447689,92.91080796718596,92.863667011261,92.4184873700142,93.50329041481018,90.7912828028202,95.13049498200417,92.9146603345871,92.9080218076706,92.33092814683914,93.4958353638649,90.5835673213005,95.24319618940352,97.92557859420776,97.91516363620758,97.7015286684036,98.22126924991608,96.92191779613492,99.00088012218478,92.92029762268066,92.94568598270416,92.2366723418236,93.45669597387312,90.40663689374928,95.28673142194744,85.83193278312683,85.78248620033264,84.7083032131195,87.01003789901733,81.25570118427277,90.46263992786407
20,DenseNet201,396.3611611525218,32.46916898886363,428.8303301413854,95.78981530666351,95.96781134605408,94.66354995965958,96.9302847981453,91.263447701931,100.33038705587389,95.76469838619232,96.00252509117126,94.71119940280911,96.91833257675172,91.40049964189528,100.2290323376656,95.73661345243454,95.93398571014404,94.69161331653596,96.93113267421722,91.33233428001404,100.29041171073914,95.75445932149889,96.0364580154419,94.6703925728798,96.92209213972092,91.29284322261812,100.29964148998258,95.73830914497375,95.93691527843475,94.66142058372496,96.92159444093704,91.27115979790683,100.31185522675516,99.17617702484132,99.28452670574188,98.91103059053422,99.59312528371812,97.8878885507584,100.61626732349391,95.73590433597565,95.9745079278946,94.65351551771164,96.9043418765068,91.27727597951888,100.28058141469955,91.48740071058272,91.88198447227478,89.3269494175911,93.8531145453453,82.53770172595978,100.64236223697662,94.02359706163406,94.05234158039092,93.42105388641356,94.5004090666771,91.80202111601828,96.1194418370724,94.08985513448717,94.09829676151276,93.5855269432068,94.57237124443054,92.10526049137118,96.05263769626616,94.05739456415176,94.0185934305191,93.57392191886905,94.57459896802902,92.07290634512904,96.075614541769,94.05862694978714,94.0180778503418,93.58324259519578,94.57237124443054,92.09954962134364,96.05606421828269,94.03945070505142,94.05068457126616,93.52544397115707,94.52726244926453,92.02271625399592,96.02999016642568,98.30334401130676,98.29262495040894,98.13427925109862,98.49322587251665,97.5958593189716,99.03164580464366,94.0301148891449,94.06506419181824,93.45262348651885,94.5063441991806,91.87204241752625,96.0869252681732,88.08585232496262,88.10223639011383,87.06854730844498,89.065021276474,84.07383635640144,92.05973222851752
25,DenseNet201,393.0503420869509,31.252430200576782,424.3027722875277,97.23377948999403,97.55154550075532,96.32247239351273,98.4441787004471,93.13991293311116,101.62673816084865,97.20448529720306,97.54862189292908,96.28278464078905,98.45958054065704,93.017590790987,101.72477439045906,97.18699193000792,97.51258194446564,96.37568593025208,98.3863577246666,93.3596782386303,101.40236541628838,97.18675357103348,97.51526415348052,96.27667665481567,98.4506458044052,93.0157229304314,101.71159952878948,97.17579531669617,97.49753475189208,96.33512645959854,98.4286457300186,93.19484755396846,101.5689246356487,99.56315189599992,99.69502091407776,99.3779718875885,99.8514398932457,98.6677698791027,100.56164190173148,97.17286282777786,97.47688472270966,96.40769213438033,98.39262664318083,93.43029037117957,101.3700284063816,94.3585198521614,95.00102698802948,92.6712617278099,96.8627706170082,86.38399839401245,103.15003395080566,95.0293021798134,95.06579041481018,94.72884833812714,95.39587944746016,93.7283016741276,96.3964261114597,95.06111353635788,95.09723484516144,94.6654886007309,95.41872441768646,93.53563487529756,96.5485781431198,95.00366884469986,95.02874314785004,94.63672190904616,95.31442373991013,93.62016916275024,96.33097648620604,95.00214767456056,95.02604007720949,94.65460777282716,95.3125,93.6677694320679,96.29933834075923,95.01586037874222,95.04895210266112,94.67927366495134,95.39854824543,93.60036179423336,96.47746011614797,98.59685999155045,98.6048936843872,98.39148074388504,98.85534644126892,97.69568219780922,99.55114498734474,95.03165000677107,95.0707495212555,94.7264477610588,95.38085460662842,93.7448374927044,96.36246487498283,90.03428620100021,90.10660350322723,89.34551626443863,90.79288691282272,87.17446029186249,92.96394288539886
30,DenseNet201,386.63195053339007,30.143450061480205,416.7754005948703,98.22111374139786,98.57873320579527,97.51422107219696,99.10985976457596,95.12076303362848,101.50331780314444,98.19094175100328,98.525208234787,97.4613755941391,99.06051605939864,95.06266489624976,101.45922675728798,98.20330268144608,98.57719242572784,97.50181138515472,99.07514452934264,95.14181166887286,101.43514424562451,98.15575015544891,98.52195978164671,97.42389470338824,99.0625023841858,94.96598318219186,101.52041390538216,98.16523802280426,98.542121052742,97.46036976575851,99.07054603099824,95.04510536789896,101.4858104288578,99.7812201976776,99.88232254981996,99.6771976351738,99.94927197694778,99.26908612251282,100.35738348960876,98.17489486932756,98.5817939043045,97.48856723308565,99.06842559576036,95.11877968907356,101.43821313977242,96.33263510465622,97.08990156650545,94.92430835962296,98.14523458480836,90.09291902184486,102.97662392258644,95.88595443964005,95.92013955116272,95.57291865348816,96.30539119243622,94.47420984506608,97.4041000008583,95.91886365413666,95.96313834190369,95.57291865348816,96.33119106292725,94.43551003932956,97.46859967708583,95.86967968940736,95.9236741065979,95.56618332862853,96.24888747930528,94.54212710261342,97.2729437053204,95.86894434690475,95.92013955116272,95.56949138641356,96.25433832406996,94.542220979929,97.28160873055457,95.87767505645752,95.92755138874054,95.57906985282898,96.27948254346848,94.52845081686974,97.33010157942772,98.85946172475816,98.85154664516448,98.68335872888566,99.0883007645607,98.0759456753731,99.69571381807324,95.88772404193878,95.92314660549164,95.58091908693314,96.30605727434155,94.4932118058205,97.39376455545424,91.75726914405824,91.85155630111694,91.14981442689896,92.55224019289015,89.04617577791214,94.65587884187698
35,DenseNet201,367.01623183488846,29.13421980142593,396.1504516363144,98.69129061698914,99.06267523765564,98.01384806632996,99.50540363788603,95.77651470899582,101.74273699522018,98.6780373454094,99.00888800621031,98.06212186813354,99.49916750192644,95.9065534174442,101.65473595261577,98.66344255208968,99.01655316352844,98.02177846431732,99.49187636375429,95.8166316151619,101.6970232129097,98.65636718273164,99.00408089160918,98.06597083806992,99.47740733623506,95.9488160908222,101.59456208348276,98.65047770738602,99.04305636882782,98.03136736154558,99.47973340749742,95.8588182926178,101.65228247642516,99.8436136841774,99.93396401405334,99.76430535316469,99.98274743556978,99.436642229557,100.31041055917744,98.64826053380966,99.01881814002992,98.00725877285004,99.46849197149275,95.81540897488594,101.66034176945686,97.3043938279152,98.09141755104064,96.06702476739883,98.96073937416077,91.72645285725596,103.30131128430364,96.73982220888138,96.78308963775636,96.43458873033524,97.0511630177498,95.5097272992134,97.9760244488716,96.79165917634964,96.792533993721,96.44097089767456,97.04861044883728,95.52951157093048,97.96006977558136,96.76247382164,96.78876996040344,96.45655900239944,97.04861044883728,95.56848183274266,97.93668761849406,96.76319712400436,96.78819179534912,96.45810574293137,97.04861044883728,95.57234868407248,97.93436750769618,96.75089973211288,96.78543508052826,96.40353322029117,97.05440551042555,95.42722478508952,98.03071394562718,99.04762679338457,99.10801351070404,98.84223192930224,99.24496114253998,98.2381381094456,99.8490549623966,96.74304604530334,96.77770137786864,96.42802625894548,97.05558121204376,95.48669382929802,97.9969136416912,93.50514256954192,93.57886910438538,92.80961602926254,94.10918205976486,90.86026698350906,96.05853110551834
40,DenseNet201,369.7359839598338,28.203298075993857,397.93928203582766,99.16019707918169,99.35209155082704,98.70080351829527,99.75262582302092,97.12307006120685,101.33035928010938,99.14892613887788,99.31546449661256,98.68275225162506,99.75230544805528,97.07842245697977,101.35663524270058,99.14805036783218,99.29447770118712,98.64094108343124,99.7669756412506,96.9518892467022,101.45602747797966,99.13903987407684,99.31841194629668,98.68293851613998,99.75443482398988,97.07569405436516,101.3616792857647,99.13801419734956,99.33449029922484,98.63959699869156,99.76572692394257,96.95040211081503,101.45492181181908,99.91770720481873,99.96366500854492,99.88721311092377,99.99551475048064,99.7247606515884,100.157967209816,99.13966250419617,99.30174648761748,98.62779825925826,99.76927936077118,96.91557660698888,101.48150101304056,98.27843105793,98.67062568664552,97.2867026925087,99.53126460313798,93.91985982656476,102.8981074690819,97.34869146347046,97.33455777168274,97.12170958518982,97.61512875556946,96.38158082962036,98.35525751113892,97.38295221328735,97.38212525844574,97.13541865348816,97.59765714406969,96.44206091761588,98.29101487994194,97.35024416446686,97.34299778938292,97.12170958518982,97.5870355963707,96.4237205684185,98.285024613142,97.35008645057678,97.33915328979492,97.12170958518982,97.58616834878922,96.42502143979073,98.28285649418832,97.34977823495863,97.33235836029051,97.12312668561935,97.5770190358162,96.4422881603241,98.25785756111144,99.2592460513115,99.29935932159424,99.12661761045456,99.44535791873932,98.64850714802743,99.92346838116644,97.34971648454666,97.3372757434845,97.1273437142372,97.61301428079604,96.39883786439896,98.34152013063432,94.70066183805466,94.6639746427536,94.24429535865784,95.15044689178464,92.88506805896762,96.50967419147489
45,DenseNet201,342.0770702282588,26.54259616136551,368.6196663896243,99.23791122436523,99.36033487319946,99.06960427761076,99.78791177272797,97.99214303493495,100.86537301540378,99.21503776311874,99.33123290538788,99.03761595487596,99.7878447175026,97.91227281093596,100.91318786144257,99.22853618860243,99.35349524021149,99.0592822432518,99.74627196788788,98.02879765629766,100.77675655484202,99.19921010732652,99.32882785797118,98.97100329399107,99.78885054588318,97.74423241615295,101.01562142372131,99.20457392930984,99.35011565685272,99.02978986501694,99.7639238834381,97.9285888373852,100.86512491106984,99.9310301542282,99.96907114982604,99.93201345205308,99.9953791499138,99.83696490526196,100.0904276967049,99.21289414167404,99.35525059700012,99.03859794139862,99.74833875894544,97.97398671507838,100.8129499852657,98.41178274154665,98.70102405548096,98.06094020605089,99.52881634235384,95.85912600159642,101.73063054680829,97.60333263874054,97.61271178722382,97.3599538207054,97.86184430122375,96.6071180999279,98.61468002200128,97.65972697734831,97.65625,97.39583134651184,97.91666865348816,96.61457538604736,98.69792461395264,97.61311668157578,97.65421152114868,97.37220108509064,97.85876125097272,96.6423608362675,98.58860149979589,97.6132840514183,97.65625,97.36841917037964,97.86184430122375,96.62828147411346,98.60198199748991,97.6079676747322,97.61443436145782,97.3651722073555,97.86359220743178,96.61754220724109,98.6112222075462,99.36712807416916,99.3973433971405,99.2292284965515,99.54286366701126,98.75877574086186,100.01331642270092,97.60605138540268,97.61677384376526,97.3511666059494,97.86397367715836,96.58195599913594,98.6331842839718,95.2187420129776,95.23454010486604,94.72933262586594,95.72483897209166,93.23607310652736,97.21809849143024
50,DenseNet201,339.2501445412636,23.99602605899175,363.2461706002553,99.47623014450072,99.65049028396606,99.25258308649065,99.8742774128914,98.3200415968895,100.80681890249252,99.46100115776062,99.62683618068696,99.26368296146391,99.87357556819914,98.34884405136113,100.78841447830196,99.46291756629944,99.64916706085206,99.23775047063828,99.89243149757384,98.25572893023492,100.87445303797722,99.44313949346542,99.61691498756409,99.25754070281982,99.87499713897704,98.331356048584,100.80118179321286,99.444342315197,99.6275544166565,99.25206750631332,99.88537430763245,98.30210730433464,100.83533450961112,99.95302242040634,99.98189806938171,99.9417081475258,99.99894052743912,99.8558595776558,100.08478909730913,99.44695299863815,99.6390014886856,99.2273971438408,99.88799393177032,98.23650196194652,100.8788891136646,98.8901709318161,99.25608932971954,98.50691556930542,99.77099001407623,96.61080390214916,101.66710168123248,98.11067831516266,98.10855388641356,97.85384833812714,98.3552634716034,97.10172563791272,99.1073861718178,98.1463971734047,98.10855388641356,97.91666865348816,98.4375,97.1354216337204,99.21874701976776,98.1183261871338,98.0877876281738,97.8622779250145,98.35808873176576,97.11856171488762,99.10180494189262,98.11841124296188,98.09027910232544,97.86184430122375,98.3593761920929,97.11554646492004,99.1056740283966,98.11450392007828,98.1000155210495,97.84496873617172,98.36369007825851,97.0668867230415,99.14177209138872,99.42983144521712,99.47785139083862,99.31219220161438,99.57814067602158,98.9132694900036,99.97706338763236,98.11235970258711,98.11035096645357,97.85824865102768,98.35589528083804,97.11177870631217,99.10236522555354,96.23074877262115,96.2007462978363,95.70003896951675,96.72918617725372,94.1563181579113,98.27290698885918
