subset,model,runtime,val_runtime,total_runtime,accuracy_mean,accuracy_median,accuracy_lower,accuracy_upper,accuracy_lower_whisker,accuracy_upper_whisker,precision_mean,precision_median,precision_lower,precision_upper,precision_lower_whisker,precision_upper_whisker,sensitivity_mean,sensitivity_median,sensitivity_lower,sensitivity_upper,sensitivity_lower_whisker,sensitivity_upper_whisker,specificity_mean,specificity_median,specificity_lower,specificity_upper,specificity_lower_whisker,specificity_upper_whisker,f1_score_mean,f1_score_median,f1_score_lower,f1_score_upper,f1_score_lower_whisker,f1_score_upper_whisker,auc_mean,auc_median,auc_lower,auc_upper,auc_lower_whisker,auc_upper_whisker,npv_mean,npv_median,npv_lower,npv_upper,npv_lower_whisker,npv_upper_whisker,mcc_mean,mcc_median,mcc_lower,mcc_upper,mcc_lower_whisker,mcc_upper_whisker,val_sensitivity_mean,val_sensitivity_median,val_sensitivity_lower,val_sensitivity_upper,val_sensitivity_lower_whisker,val_sensitivity_upper_whisker,val_accuracy_mean,val_accuracy_median,val_accuracy_lower,val_accuracy_upper,val_accuracy_lower_whisker,val_accuracy_upper_whisker,val_precision_mean,val_precision_median,val_precision_lower,val_precision_upper,val_precision_lower_whisker,val_precision_upper_whisker,val_specificity_mean,val_specificity_median,val_specificity_lower,val_specificity_upper,val_specificity_lower_whisker,val_specificity_upper_whisker,val_f1_score_mean,val_f1_score_median,val_f1_score_lower,val_f1_score_upper,val_f1_score_lower_whisker,val_f1_score_upper_whisker,val_auc_mean,val_auc_median,val_auc_lower,val_auc_upper,val_auc_lower_whisker,val_auc_upper_whisker,val_npv_mean,val_npv_median,val_npv_lower,val_npv_upper,val_npv_lower_whisker,val_npv_upper_whisker,val_mcc_mean,val_mcc_median,val_mcc_lower,val_mcc_upper,val_mcc_lower_whisker,val_mcc_upper_whisker
5,GradientBoosting,22.591440436815976,22.668389354089292,45.25982979090527,87.36529052948676,87.46331236897275,86.91651854029382,87.78756958972637,85.60994196614497,89.09414616387521,89.39363068263563,89.45969884853852,88.76669326810058,89.97343632164589,86.95657868778261,91.78355090196386,84.7975147404639,84.88852188274154,83.98517908604364,85.38528716030368,81.8850169746536,87.48544927169371,64.74024873113187,65.86620926243569,56.9078947368421,71.85922190041835,34.48090399147773,94.28621264578271,87.03061202612847,87.1342512908778,86.54844750331245,87.50261599338465,85.11719476820414,88.93386872849295,79.36772827991024,80.37024999942781,76.80942000856002,82.38598456741626,68.44457317027567,90.75083140570061,74.5609541299393,75.04655492084794,71.32862587295989,78.77408081555902,60.1604434590612,89.94226322945771,42.73944802357456,44.05525137450127,37.064478384041934,48.961126790779865,19.219505773935037,66.80609940088675,77.18361695427265,78.89908256880734,73.76891877726442,82.73624929708421,60.31792299753471,96.18724507681394,70.96193284270227,71.62162162162163,68.3178824587389,74.14316258872822,59.579962263754894,82.88108278371222,69.04353883328598,69.04069767441861,65.78196750264924,71.84271957980741,56.69083938691198,80.93384769554467,64.74024873113187,65.86620926243569,56.9078947368421,71.85922190041835,34.48090399147773,94.28621264578271,72.40545572258138,73.24388318863457,71.0774835713442,75.56999673030008,64.3387138329104,82.30876646873388,79.36772827991024,80.37024999942781,76.80942000856002,82.38598456741626,68.44457317027567,90.75083140570061,74.5609541299393,75.04655492084794,71.32862587295989,78.77408081555902,60.1604434590612,89.94226322945771,42.73944802357456,44.05525137450127,37.064478384041934,48.961126790779865,19.219505773935037,66.80609940088675
10,GradientBoosting,19.11361253863633,19.1950198110908,38.308632349727134,91.27975519942436,91.30344541303444,90.78068312252552,91.72434888897727,89.36518447284786,93.13984753865496,93.21693258277168,93.25343985796717,92.87430025814864,93.67792956860296,91.6688562924672,94.8833735342844,89.04065230834665,89.125,88.53631772155688,89.66377630198375,86.84512985091658,91.35496417262404,66.52635369724469,65.9090909090909,61.768214139243646,71.08676699448388,47.79038485638331,85.06459627734422,91.07912484277082,91.08994708994707,90.57265377946348,91.54634300837267,89.11211993609965,93.0068768517365,82.33929784423057,83.39886701365778,80.95604408233945,85.11405294147205,74.71903079364056,91.35106623017096,78.50006661544805,80.74999997981249,76.07084881037993,83.1727322678062,65.41802362424053,93.82555745394558,48.14481537134893,49.8137867495776,45.22358222458689,53.60541404956047,32.65083448712651,66.17816178702085,80.48314152243289,84.9624060150376,77.05434146780459,87.29234963630141,61.69732921505935,102.64936188904666,73.5047476098388,74.30894308943088,71.97748328683477,76.37699580768887,65.3782145055536,82.97626458897004,70.83123756955465,70.76023391812866,68.53598881900768,72.85801426426426,62.05295065112283,79.34105243214911,66.52635369724469,65.9090909090909,61.768214139243646,71.08676699448388,47.79038485638331,85.06459627734422,74.83605107805163,76.7402376910017,74.12650214334538,78.26950763029082,67.91199391292722,84.48401586070898,82.33929784423057,83.39886701365778,80.95604408233945,85.11405294147205,74.71903079364056,91.35106623017096,78.50006661544805,80.74999997981249,76.07084881037993,83.1727322678062,65.41802362424053,93.82555745394558,48.14481537134893,49.8137867495776,45.22358222458689,53.60541404956047,32.65083448712651,66.17816178702085
15,GradientBoosting,18.142050885190866,18.22913540734185,36.37118629253271,93.114106878811,93.10917393109172,92.69746084262212,93.34173501303398,91.73104958700432,94.30814626865175,94.97406840140172,94.94163424124513,94.63666917040749,95.22866065152688,93.7486819487284,96.11664787320596,91.04727680363789,91.04106180008296,90.43464723830871,91.66186880970552,88.59381488121355,93.50270116680072,67.95959966605064,66.77471636952998,62.56227379178198,73.41770041349874,46.27913385920687,89.70084034607385,92.96755995594278,92.95421283713152,92.5132618182304,93.22553311500197,91.44485487307304,94.29394006015929,82.56009054152616,84.33798393329099,81.53173245854688,85.66123948055748,75.33747192553099,91.85550001357336,78.36421521579504,80.97345130951913,75.413630023462,83.2446734258224,63.66706491992142,94.991238529363,48.76653649989531,51.7115908374259,45.49651503795644,55.04565005835676,31.17281250735596,69.36935258895724,79.64651408624802,84.40366972477065,75.83247706616385,87.62922932330828,58.13734868044721,105.32435770902492,73.80305687614934,75.44426494345718,72.06144438449338,77.01734245942356,64.62759727209811,84.45118957181882,71.64621233200202,71.80555555555556,68.38243191957093,74.69544541108628,58.91291168229791,84.16496564835931,67.95959966605064,66.77471636952998,62.56227379178198,73.41770041349874,46.27913385920687,89.70084034607385,74.71377579257754,76.98986975397975,73.85718673268407,78.79028570053192,66.45753828091227,86.18993415230372,82.56009054152616,84.33798393329099,81.53173245854688,85.66123948055748,75.33747192553099,91.85550001357336,78.36421521579504,80.97345130951913,75.413630023462,83.2446734258224,63.66706491992142,94.991238529363,48.76653649989531,51.7115908374259,45.49651503795644,55.04565005835676,31.17281250735596,69.36935258895724
20,GradientBoosting,19.21381259687019,19.304595973756577,38.51840857062677,94.23060944662404,94.22997094229972,93.92674422725436,94.47329202553654,93.10692252983112,95.2931137229598,96.09474682570529,96.09820254274442,95.80893458189884,96.3407289901548,95.01124296951492,97.13842060253872,92.20972404400472,92.16742644011605,91.6546136097759,92.55877760011946,90.29836762426056,93.9150235856348,67.5704175191189,67.03470031545741,61.95718850181093,73.27276231308608,44.98382778489821,90.2461230299988,94.11071564724806,94.11000433087916,93.78396609366592,94.35913414837007,92.92121401160968,95.2218862304263,82.53223514401661,83.7293631803106,81.05994208043545,85.57291313990835,74.2904854912261,92.3423697291177,79.29002202026392,81.21546959830287,76.10915139568118,83.92549841250343,64.3846308704478,95.65001893773682,49.76177178582124,51.86067123340404,47.32974315715914,54.25986791965518,36.93455601341509,64.65505506339923,80.94638982491443,85.13513513513513,75.95753782061841,88.09913549064645,57.74514131557636,106.3115319956885,74.25840367201667,75.30224525043178,73.11503811503812,76.5622859882208,67.9441663052641,81.73315779799482,71.82460441782007,71.6927453769559,69.5514035438362,74.49636370264383,62.133963305624754,81.91380394085527,67.5704175191189,67.03470031545741,61.95718850181093,73.27276231308608,44.98382778489821,90.2461230299988,75.39788745027475,77.19546742209631,74.5565019875071,78.6755959594453,68.3778610295998,84.85423691735261,82.53223514401661,83.7293631803106,81.05994208043545,85.57291313990835,74.2904854912261,92.3423697291177,79.29002202026392,81.21546959830287,76.10915139568118,83.92549841250343,64.3846308704478,95.65001893773682,49.76177178582124,51.86067123340404,47.32974315715914,54.25986791965518,36.93455601341509,64.65505506339923
25,GradientBoosting,20.199221897606897,20.29087731091663,40.49009920852353,94.95067725106593,94.94262643433912,94.646911862809,95.23326622106848,93.7673803254198,96.11279775845767,96.80222503556244,96.7866323907455,96.60540751603664,97.04621118098946,95.9442020186074,97.7074166784187,92.974032256037,92.96296296296296,92.55359159574894,93.32787386142952,91.39216819722807,94.48929725995036,67.07908243581838,65.78014184397163,62.48133399701344,71.74854507322299,48.58051738269909,85.64936168753732,94.8479979242389,94.84228473998296,94.55506520448324,95.14461640071048,93.67073841014232,96.02894319505135,82.42623695546133,83.71082296019878,81.41298129581922,85.75827883351074,74.89503498928194,92.276225140048,79.06959904050439,80.76062638014304,76.02898475540773,84.60771109053644,63.160895252714674,97.4758005932295,49.21982590752904,52.81442803382373,45.8167243775192,55.3101088043157,31.57664773732445,69.55018544451046,80.97323401667065,84.21955403087479,77.1688700786829,87.98339547385763,60.94708198592079,104.20518356661974,74.0261582262445,75.9046052631579,71.96409960544928,77.04180609442919,64.3475398719794,84.65836582789906,71.39411098806922,71.16104868913857,68.57816496163682,74.46347978262871,59.75019273014899,83.29145201411656,67.07908243581838,65.78014184397163,62.48133399701344,71.74854507322299,48.58051738269909,85.64936168753732,75.31050164423472,77.03595011005136,73.70771870687855,78.98056804306805,65.79844470259432,86.88984204735229,82.42623695546133,83.71082296019878,81.41298129581922,85.75827883351074,74.89503498928194,92.276225140048,79.06959904050439,80.76062638014304,76.02898475540773,84.60771109053644,63.160895252714674,97.4758005932295,49.21982590752904,52.81442803382373,45.8167243775192,55.3101088043157,31.57664773732445,69.55018544451046
30,GradientBoosting,21.4034439265126,21.496869450867777,42.90031337738037,95.49799798645824,95.45648464163824,95.14475388145208,95.83269573510546,94.112841100972,96.86460851558552,97.18382585201832,97.19585849870576,96.97679027226448,97.35451612521754,96.41020149283484,97.92110490464717,93.7112107174129,93.68290668868704,93.11788444410315,94.20103523416344,91.49315825901276,95.8257614192538,65.05722284343983,64.34634974533107,61.02287225477202,68.35633533989134,50.022677627093024,79.35652996757034,95.41480047191368,95.38261435074789,95.04747288228022,95.77259299035003,93.95979272017549,96.8602731524548,81.24415091195094,82.95661374501118,80.39260881815882,84.70730740061161,73.92056094447963,91.1793552742908,78.74800045354267,79.76190474607898,76.43634497744752,84.14840663922392,64.8682524847829,95.71649913188853,47.37288226899195,49.39631632645195,45.94140455964414,53.58425114617291,34.47713467985098,65.04852102596608,81.05362679967094,84.33931484502448,79.18624296376986,88.0774697938877,65.84940271859308,101.41431003906447,73.05542482155538,74.08333333333333,72.30372641133849,76.20448179271708,66.45259333927059,82.05561486478497,69.96544408761132,70.4225352112676,68.01984602534772,72.15633948224477,61.815105840002126,78.36107966759037,65.05722284343983,64.34634974533107,61.02287225477202,68.35633533989134,50.022677627093024,79.35652996757034,74.56319967094456,76.57393850658859,74.25371700474327,78.38338108882522,68.05922087862035,84.57787721494812,81.24415091195094,82.95661374501118,80.39260881815882,84.70730740061161,73.92056094447963,91.1793552742908,78.74800045354267,79.76190474607898,76.43634497744752,84.14840663922392,64.8682524847829,95.71649913188853,47.37288226899195,49.39631632645195,45.94140455964414,53.58425114617291,34.47713467985098,65.04852102596608
35,GradientBoosting,22.814881558370107,22.911213554517182,45.72609511288729,95.89717238205732,95.87194608256108,95.64359384697131,96.16590659650096,94.86012472267684,96.94937572079544,97.48483024720568,97.47716398434102,97.294365402501,97.69328672974756,96.69598341163112,98.2916687206174,94.22565337345289,94.20783645655877,93.79553766041896,94.65395772896808,92.50790755759532,95.94158783179174,64.46991316762907,63.66666666666667,58.8190595387091,67.87319997393628,45.23784888586832,81.45441062677706,95.82662308431568,95.80838323353292,95.56262566759004,96.1061034989763,94.74740892051068,96.92132024605569,80.84781773832509,82.67328334425328,79.7263905251657,84.36149329941615,72.77373636379,91.31414746079184,78.30803365045118,80.56112222834446,75.39046187350573,83.39097080725223,63.38969847288598,95.39173420787196,46.4873179482024,49.268001700227984,43.170398304793565,52.53624243413353,29.121632110783622,66.58500862814347,80.75384165116805,84.90259740259741,77.58727881396462,87.83494399297167,62.21578104545402,103.20644176148224,72.61187740939859,73.97798742138365,70.85199530836583,75.71594416892697,63.55607201752412,83.01186745976868,69.51509809302836,69.6524064171123,67.08483916974757,72.20352417535516,59.40681166133618,79.88155168376655,64.46991316762907,63.66666666666667,58.8190595387091,67.87319997393628,45.23784888586832,81.45441062677706,74.18841121203845,75.93360995850624,73.39479477466001,78.02328110394359,66.45206528073464,84.96601059786894,80.84781773832509,82.67328334425328,79.7263905251657,84.36149329941615,72.77373636379,91.31414746079184,78.30803365045118,80.56112222834446,75.39046187350573,83.39097080725223,63.38969847288598,95.39173420787196,46.4873179482024,49.268001700227984,43.170398304793565,52.53624243413353,29.121632110783622,66.58500862814347
40,GradientBoosting,24.22838926796961,24.328095236209908,48.55648450417952,96.31589951516946,96.31268436578172,96.08227034383243,96.53418060353702,95.40440495427556,97.21204599309392,97.79850533225732,97.79982743744608,97.60749792971468,97.98323188133617,97.04389700228243,98.54683280876836,94.76533458917343,94.76309226932668,94.38646466668057,95.1358269532331,93.26242123685172,96.25987038306194,62.83654048250615,62.5,57.88483575248282,66.72027718880902,44.631673597993526,79.97343934329831,96.25722840586246,96.25026783801157,96.01686842112744,96.48221174366878,95.31885343731544,97.18022672748076,80.00293129162898,82.24701645364027,78.66287860204262,83.92181913920027,70.77446779630614,91.81022994493676,78.39017051811832,80.63781319347657,73.99677115193451,83.78850655637261,59.30916804527735,98.47610966302976,45.5592763161723,49.021618057363234,41.68713326841468,51.210466895042906,27.402132828472336,65.49546733498525,81.30604172209456,84.66666666666667,79.36684725316026,88.32483967017866,65.92985862763265,101.76182829570624,72.07129110230034,73.55442176870748,70.22319488750173,75.07115749525617,62.95125097587007,82.34310140688783,68.73175991154298,69.23076923076923,67.17561815486155,71.31069845625038,60.97299770277831,77.51331890833362,62.83654048250615,62.5,57.88483575248282,66.72027718880902,44.631673597993526,79.97343934329831,73.8870783289134,76.06973058637084,72.32264396207408,77.68227424749166,64.28319853394773,85.72171967561802,80.00293129162898,82.24701645364027,78.66287860204262,83.92181913920027,70.77446779630614,91.81022994493676,78.39017051811832,80.63781319347657,73.99677115193451,83.78850655637261,59.30916804527735,98.47610966302976,45.5592763161723,49.021618057363234,41.68713326841468,51.210466895042906,27.402132828472336,65.49546733498525
45,GradientBoosting,26.127040930468628,26.227200604448416,52.35424153491704,96.58891645894812,96.59619450317123,96.3137046378311,96.81755402836072,95.55793055203668,97.57332811415516,97.91256751953088,97.90419161676648,97.70363779036806,98.11815291503868,97.0818651033621,98.73992560204464,95.208119556294,95.28222409435551,94.80310175015786,95.51885274909114,93.72947525175796,96.59247924749104,63.36026820174466,63.31738437001595,58.54532617300328,68.55867346938776,43.52530522842656,83.57869441396447,96.54061105810176,96.54135338345864,96.25781937923983,96.77625249212238,95.48016970991604,97.5539021614462,80.09644553155246,81.610616362568,78.75896988214369,83.7861369226309,71.21821932141287,91.32688748336172,78.4363340153042,79.78021976268566,75.21389558554601,83.0477205020571,63.46315821077936,94.79845787682376,45.898939289123376,47.72415446191114,43.39977411229404,51.18887063331993,31.716129330755205,62.87251541485877,81.21638880771796,84.688995215311,77.54074217406261,87.8847571618814,62.02471969233444,103.40077964360955,72.28832850473133,73.4094616639478,71.06531334311545,74.97906197654942,65.19469039296449,80.84968492670039,68.85896303037626,69.4620253164557,67.23028559736335,71.57940945427661,60.706599811993456,78.1030952396465,63.36026820174466,63.31738437001595,58.54532617300328,68.55867346938776,43.52530522842656,83.57869441396447,74.06228596377545,75.90443686006827,73.30947014297729,77.5042577229192,67.01728877306444,83.79643909283206,80.09644553155246,81.610616362568,78.75896988214369,83.7861369226309,71.21821932141287,91.32688748336172,78.4363340153042,79.78021976268566,75.21389558554601,83.0477205020571,63.46315821077936,94.79845787682376,45.898939289123376,47.72415446191114,43.39977411229404,51.18887063331993,31.716129330755205,62.87251541485877
50,GradientBoosting,64.17637293507354,64.31763310865922,128.49400604373278,96.90962057794944,96.89970869746152,96.68757389687622,97.18325394945748,95.94405381800436,97.92677402832936,98.2184662873058,98.20359281437123,98.05845256761162,98.39877690830896,97.5479660565656,98.909263419355,95.55260676050278,95.56113902847572,95.25900132031984,95.93776849847065,94.24085055309368,96.95591926569682,63.53009202174296,63.26194398682043,59.38712588359152,67.03380676594962,47.91710456005436,78.50382808948677,96.8665362700885,96.8590831918506,96.6423356353864,97.14593774334604,95.88693247344688,97.90134090528556,79.66692270336225,82.02400546522118,77.70204794714826,84.0783642548713,68.13757348556369,93.64283871645586,78.24284775512868,80.71979432372241,73.60293087789826,83.84271771551707,58.24325062147007,99.20239797194527,45.48411463824072,48.55843728546092,43.5203166664271,52.88794531870311,29.468873688013087,66.93938829711713,80.63297815834896,85.33333333333334,76.07771633775066,88.09123069490548,58.05744480201842,106.1115022306377,72.08153509004596,73.76644736842105,70.82183517838045,75.7183908045977,63.477001739054586,83.06322424392357,68.62770295946706,69.65986394557822,66.3266091056701,71.49703331811959,58.57097278699587,79.25266963679381,63.53009202174296,63.26194398682043,59.38712588359152,67.03380676594962,47.91710456005436,78.50382808948677,73.6416911946854,75.93423019431988,72.91492701827048,78.10186026051417,65.13452715490493,85.88226012387972,79.66692270336225,82.02400546522118,77.70204794714826,84.0783642548713,68.13757348556369,93.64283871645586,78.24284775512868,80.71979432372241,73.60293087789826,83.84271771551707,58.24325062147007,99.20239797194527,45.48411463824072,48.55843728546092,43.5203166664271,52.88794531870311,29.468873688013087,66.93938829711713
