subset,model,runtime,val_runtime,total_runtime,accuracy_mean,accuracy_median,accuracy_lower,accuracy_upper,accuracy_lower_whisker,accuracy_upper_whisker,precision_mean,precision_median,precision_lower,precision_upper,precision_lower_whisker,precision_upper_whisker,sensitivity_mean,sensitivity_median,sensitivity_lower,sensitivity_upper,sensitivity_lower_whisker,sensitivity_upper_whisker,specificity_mean,specificity_median,specificity_lower,specificity_upper,specificity_lower_whisker,specificity_upper_whisker,f1_score_mean,f1_score_median,f1_score_lower,f1_score_upper,f1_score_lower_whisker,f1_score_upper_whisker,auc_mean,auc_median,auc_lower,auc_upper,auc_lower_whisker,auc_upper_whisker,npv_mean,npv_median,npv_lower,npv_upper,npv_lower_whisker,npv_upper_whisker,mcc_mean,mcc_median,mcc_lower,mcc_upper,mcc_lower_whisker,mcc_upper_whisker,val_sensitivity_mean,val_sensitivity_median,val_sensitivity_lower,val_sensitivity_upper,val_sensitivity_lower_whisker,val_sensitivity_upper_whisker,val_accuracy_mean,val_accuracy_median,val_accuracy_lower,val_accuracy_upper,val_accuracy_lower_whisker,val_accuracy_upper_whisker,val_precision_mean,val_precision_median,val_precision_lower,val_precision_upper,val_precision_lower_whisker,val_precision_upper_whisker,val_specificity_mean,val_specificity_median,val_specificity_lower,val_specificity_upper,val_specificity_lower_whisker,val_specificity_upper_whisker,val_f1_score_mean,val_f1_score_median,val_f1_score_lower,val_f1_score_upper,val_f1_score_lower_whisker,val_f1_score_upper_whisker,val_auc_mean,val_auc_median,val_auc_lower,val_auc_upper,val_auc_lower_whisker,val_auc_upper_whisker,val_npv_mean,val_npv_median,val_npv_lower,val_npv_upper,val_npv_lower_whisker,val_npv_upper_whisker,val_mcc_mean,val_mcc_median,val_mcc_lower,val_mcc_upper,val_mcc_lower_whisker,val_mcc_upper_whisker
5,NBayes,40.90830543756485,41.396224217414854,82.3045296549797,70.95737007925358,70.9852627232997,70.63326788269377,71.30475355474921,69.62603937461061,72.31198206283237,84.61723876534941,84.6555250422492,83.73949766051881,85.48245426416278,81.12506275505285,88.09688916962874,51.26864850649082,51.24583863760317,50.3143469298696,51.92280522708378,47.90165948404834,54.33549267290505,84.71759707956252,86.52458252314057,83.95919487939902,88.4014939280717,77.29574630639,95.06494250108074,63.82787413855515,63.82488412729441,63.23653515593026,64.39733132135999,61.495340907785675,66.13852556950457,79.69388786265935,80.35602247803891,78.20857513990998,81.48710912537449,73.2907741617132,86.40491010357127,63.99187937892887,63.574135380486105,60.88205377776248,65.81943031227878,53.47598897598802,73.22549511405323,38.59510180975311,38.33138511143342,34.28453635914117,43.54854592958043,20.388522003482283,57.44456028523932,51.27620373917886,50.92570723770535,43.68729935794543,57.28836803889582,23.28569633651983,77.68997106032141,67.99690040937068,67.78892059447516,65.33551266747021,70.43746569130528,57.6825831317176,78.09039522705788,77.48305724349336,78.40179414542021,75.84566134743173,80.13840923807469,69.40653951146732,86.57753107403909,84.71759707956252,86.52458252314057,83.95919487939902,88.4014939280717,77.29574630639,95.06494250108074,60.996894968885094,61.791339909669006,55.90113492016793,65.6657594741707,41.25419808916378,80.31269630517484,79.69388786265935,80.35602247803891,78.20857513990998,81.48710912537449,73.2907741617132,86.40491010357127,63.99187937892887,63.574135380486105,60.88205377776248,65.81943031227878,53.47598897598802,73.22549511405323,38.59510180975311,38.33138511143342,34.28453635914117,43.54854592958043,20.388522003482283,57.44456028523932
10,NBayes,41.09903710365296,41.58804165840149,82.68707876205444,72.97858282959116,72.88993443884748,72.62896235125153,73.42065526177753,71.44142298546255,74.6081946275665,86.74219258320697,86.78050443233982,85.57824125103333,87.5907695829786,82.55944875311545,90.6095620808965,54.29437505253535,54.251077595613154,53.57291418756014,55.06430979608661,51.33582077477043,57.30140320887631,84.45943989834899,86.42729522477832,84.01899543223344,88.1575152966974,77.8112156355375,94.36529509339334,66.76326794915948,66.69222104996004,66.2316269640142,67.3892193088186,64.49523844680758,69.12560782602519,82.32297351066198,82.86731643191324,80.52268828745405,84.33590349130439,74.80286548167854,90.0557262970799,66.8724621119869,65.41412521712286,62.99159983991418,69.8239290715871,52.74310599240481,80.07242291909648,43.40692746905179,43.39166884511855,38.148492377713936,48.5772480508736,22.505358867974444,64.22038156061309,56.64334462047255,55.29468805469726,49.03841121984405,63.48817478690941,27.363765869246016,85.16282013750744,70.55139225941076,70.2483263559744,67.9076819407008,73.45547102260012,59.58599831785182,81.77715464544912,79.05511798887723,79.58359489432935,77.30630551402692,82.01432203942363,70.24428072593184,89.07634682751872,84.45943989834899,86.42729522477832,84.01899543223344,88.1575152966974,77.8112156355375,94.36529509339334,65.13795055838334,64.7447011022526,60.291286727456935,70.81688352380482,44.50289153293512,86.60527871832664,82.32297351066198,82.86731643191324,80.52268828745405,84.33590349130439,74.80286548167854,90.0557262970799,66.8724621119869,65.41412521712286,62.99159983991418,69.8239290715871,52.74310599240481,80.07242291909648,43.40692746905179,43.39166884511855,38.148492377713936,48.5772480508736,22.505358867974444,64.22038156061309
15,NBayes,41.403557558059696,41.89334947824478,83.29690703630448,73.1742038377731,73.18360665122088,72.66369531533135,73.59051428293655,71.27346686392357,74.98074273434435,87.73979891727748,87.83971404939147,86.7947092347541,88.788922596406,83.80338919227626,91.78024263888383,53.918113185300086,53.78078430766536,52.983057011547785,54.70488423434108,50.40031617735785,57.28762506853102,86.66522324984238,88.41151710752008,85.90944574551132,90.31687362431994,79.29830392729838,96.92801544253288,66.76799993603946,66.59827890657625,66.117507762247,67.2928844382014,64.35444274831544,69.05594945213298,83.57017594027472,84.18035027490521,81.96470542864367,85.79850863327121,76.21400062170235,91.54921344021253,66.75193934898472,65.71880786523843,62.9937688353397,69.25309615623154,53.60477785400195,78.6420871375693,44.9617985276627,44.20238588868704,39.807440231721806,49.73470845039453,24.91653790371273,64.62561077840361,55.48912451539903,53.73971504243868,47.17628205128205,61.37915512060519,25.87197244729734,82.6834647245899,71.0771738826207,70.9959975213076,67.90036704336907,73.65635961953589,59.26637817911884,82.29034848378613,81.29694290668623,82.75185936443543,79.12660185982737,84.4155344501605,71.19320297432769,92.34893333566016,86.66522324984238,88.41151710752008,85.90944574551132,90.31687362431994,79.29830392729838,96.92801544253288,65.1032158461005,65.03384670845766,59.95680345572354,70.26488109891191,44.49468699094098,85.72699756369447,83.57017594027472,84.18035027490521,81.96470542864367,85.79850863327121,76.21400062170235,91.54921344021253,66.75193934898472,65.71880786523843,62.9937688353397,69.25309615623154,53.60477785400195,78.6420871375693,44.9617985276627,44.20238588868704,39.807440231721806,49.73470845039453,24.91653790371273,64.62561077840361
20,NBayes,41.76580065488815,42.25925662279129,84.02505727767945,73.68366521619514,73.67655102767051,73.17263086002937,74.03087166854377,71.88526964725779,75.31823288131534,88.22139672319919,88.26797275343594,87.4011958785895,89.07984908746727,84.88321606527285,91.59782890078392,54.699416809776345,54.42502138912655,53.79738996119706,55.57981239187206,51.12375631518455,58.25344603788456,86.566117161603,87.20696811949236,85.70291173794358,89.25651076500762,80.3725131973475,94.5869093056037,67.50680715935327,67.4087496764173,66.68406693608787,68.09541118451776,64.56705056344303,70.2124275571626,83.43765806874764,83.98102516080552,82.03952691965713,85.164174354493,77.35255576740335,89.85114550674678,66.478498859684,65.34494845484713,63.27264360083387,68.95104661506738,54.7550390794836,77.46865113641765,44.530163626312095,43.76005274261476,40.00734641879965,50.182918167388976,24.74398879591565,65.44627579027298,55.477216720558346,53.89720449042483,49.02199803839148,60.509221170985874,31.79116333949989,77.74005586987747,71.02166694108067,70.48041759650864,68.40036546533508,73.74792303683967,60.3790291080782,81.76925939409657,80.74741275738744,81.4865970943319,78.48770209838321,83.31786632390745,71.24245576009683,90.56311266219382,86.566117161603,87.20696811949236,85.70291173794358,89.25651076500762,80.3725131973475,94.5869093056037,65.24731958565778,64.5423284755199,60.88259730083893,69.99545847822557,47.21330553475896,83.66475024430554,83.43765806874764,83.98102516080552,82.03952691965713,85.164174354493,77.35255576740335,89.85114550674678,66.478498859684,65.34494845484713,63.27264360083387,68.95104661506738,54.7550390794836,77.46865113641765,44.530163626312095,43.76005274261476,40.00734641879965,50.182918167388976,24.74398879591565,65.44627579027298
25,NBayes,42.46653579235077,42.96403156995773,85.4305673623085,73.5890341690313,73.54578847720991,73.13162852861075,73.94445907174828,71.91238271390445,75.16370488645458,88.95793488654806,88.88454072410059,88.19779859065466,89.93165911612655,85.59700780244684,92.53244990433438,53.89318124372946,53.88746239580158,52.88583993236797,54.778316736851465,50.047124725642746,57.61703194357671,86.94785764879448,87.7015780931662,85.50562239521899,89.42186548050704,79.63125776728694,95.29623010843908,67.10283632388256,67.04215433527439,66.5232460491293,67.75759013092046,64.67172992644254,69.60910625360722,83.23894998411356,83.8184355090255,81.60691633002779,85.09346380816166,76.37709511282699,90.32328502536244,65.41137485902308,64.57153230842408,62.80284226853232,67.52112149093163,55.72542343493336,74.5985403245306,43.034545782378274,42.53867410044717,38.91589029336279,47.03431553899428,26.738252424915554,59.21195340744151,53.40822760353336,52.33810854880036,47.61363636363637,57.73616319940801,32.4298461099789,72.91995345306547,70.17804262616391,69.68712255828807,67.91675949534206,72.26523397155795,61.39404778101822,78.7879456858818,80.54446088944172,80.99343185550082,78.27057453416148,82.95519155272777,71.24364900631205,89.9821170805772,86.94785764879448,87.7015780931662,85.50562239521899,89.42186548050704,79.63125776728694,95.29623010843908,63.80898611346113,63.19444026293341,60.012811173352766,67.95258042549679,48.103157295136725,79.86223430371282,83.23894998411356,83.8184355090255,81.60691633002779,85.09346380816166,76.37709511282699,90.32328502536244,65.41137485902308,64.57153230842408,62.80284226853232,67.52112149093163,55.72542343493336,74.5985403245306,43.034545782378274,42.53867410044717,38.91589029336279,47.03431553899428,26.738252424915554,59.21195340744151
30,NBayes,42.86305509567261,43.36440851688385,86.22746361255645,73.48325199472652,73.42044961676346,72.97845717390098,73.8857301203379,71.6175477542456,75.24663953999328,89.41296048322532,89.45219393576284,88.45649424946504,90.38699628579415,85.56074119497134,93.28274934028786,53.30125021613404,53.24134203393656,52.372336653682325,54.103491482688646,49.775604410172846,56.70022372619813,86.72153581784468,86.79673321234121,85.13759939682456,88.7145586887129,79.77216045899205,94.0799976265454,66.76967711222271,66.73626518096589,66.09292399462082,67.39026541420307,64.14691186524743,69.33627754357646,82.74287445346266,83.01718832772085,81.0670176542648,84.66326899077146,75.67264064950483,90.05764599553143,65.21109548350823,64.45291744535575,62.57490426956165,66.95758228085356,56.00088725262379,73.53159929779142,42.527455318222,41.73791666438444,38.78453198923437,45.85867875356734,28.17331184273492,56.4698989000668,53.206305147117625,51.93205189052365,47.91727860185049,57.159008184244776,34.054684228259056,71.0216025578362,69.96392048248114,69.62702195262852,67.94381467493342,71.8201611854933,62.1292949090936,77.63468095133312,80.14332528387939,80.38410586056874,78.0495283018868,82.31567591074833,71.65030688859449,88.71489732404063,86.72153581784468,86.79673321234121,85.13759939682456,88.7145586887129,79.77216045899205,94.0799976265454,63.60389381775381,63.02086950482673,59.47339471744607,67.10703049643473,48.02294104896309,78.55748416491771,82.74287445346266,83.01718832772085,81.0670176542648,84.66326899077146,75.67264064950483,90.05764599553143,65.21109548350823,64.45291744535575,62.57490426956165,66.95758228085356,56.00088725262379,73.53159929779142,42.527455318222,41.73791666438444,38.78453198923437,45.85867875356734,28.17331184273492,56.4698989000668
35,NBayes,43.516210889816286,44.02254480838776,87.53875569820404,73.46775289590835,73.451893939195,73.03959214899903,73.87205254432854,71.79090155600478,75.1207431373228,90.26419212853376,90.31483639201262,89.28507833900896,91.25753293384422,86.32639644675606,94.21621482609712,52.63061411294384,52.66823484524112,51.747103411159934,53.25659630117692,49.48286407613446,55.52083563620239,87.35908700880614,87.46028016469745,85.83129723807326,89.28384393820372,80.65247718787757,94.4626639883994,66.47616077710649,66.45666638117021,65.74103156571344,67.13125954225083,63.65568960090737,69.21660150705691,82.53900207173363,82.97943054340959,80.86520091062826,84.57733993644514,75.29699237190295,90.14554847517044,64.38514449859576,63.73153799199181,62.38876854965464,65.83654883561304,57.21709812071703,71.00821926455065,41.48166869001568,41.05242298907194,38.283527698843336,44.323892520996544,29.22298046561352,53.38443975422636,51.16953255811956,50.13513513513514,46.474665685192,54.863436711318194,33.891509146002704,67.44659325050748,69.26430978346288,69.0358840177284,67.47111768778595,70.8647398579658,62.38068443251616,75.95517311323559,80.35398699826429,80.40988230972093,78.2206495295067,82.02090454121739,72.52026701194067,87.72128705878342,87.35908700880614,87.46028016469745,85.83129723807326,89.28384393820372,80.65247718787757,94.4626639883994,62.14334100013991,61.59776652415852,58.820349761526224,65.47134373963381,48.843858794364856,75.44783470679516,82.53900207173363,82.97943054340959,80.86520091062826,84.57733993644514,75.29699237190295,90.14554847517044,64.38514449859576,63.73153799199181,62.38876854965464,65.83654883561304,57.21709812071703,71.00821926455065,41.48166869001568,41.05242298907194,38.283527698843336,44.323892520996544,29.22298046561352,53.38443975422636
40,NBayes,42.59877369403839,43.09304609298706,85.69181978702545,73.41564519255513,73.36194668734592,72.89516883720495,73.86491969816161,71.44054254576994,75.3195459895966,90.88721231603414,90.93786702226514,90.13910808047724,91.79457967806007,87.65590068410293,94.27778707443436,52.063879818608825,52.18303474759855,51.018639651165465,52.88934849241045,48.21257638929799,55.69541175427793,87.03921573077338,87.41496598639455,85.77409985747624,88.9895104895105,80.95098390942488,93.81262643756185,66.18763372941284,66.15686554808701,65.32451699680338,66.97008590453922,62.85616363519964,69.43843926614295,82.18500531325753,82.57457724069577,80.53071208069991,84.34200291146163,74.81377583455732,90.05893915760423,64.45849481864549,63.5797147051412,62.20318516146225,65.81459738568583,56.78606682512688,71.23171572202118,41.30746738107203,40.74826188655755,38.17882832641051,44.19923565916085,29.148217327285,53.22984665828636,51.34699374731967,49.95621716287215,46.40072049162958,55.2002296991912,33.20145668028715,68.39949351053363,69.19310473904655,68.88518177634606,67.27706560680699,70.83878453098164,61.934487220545,76.18136291724365,80.08153168758744,80.07586609369197,78.02150477883973,81.46417781614156,72.857495222887,86.6281873720943,87.03921573077338,87.41496598639455,85.77409985747624,88.9895104895105,80.95098390942488,93.81262643756185,62.10571110189982,61.465362474762266,58.69631811487482,65.32128867919992,48.75886226838716,75.25874452568759,82.18500531325753,82.57457724069577,80.53071208069991,84.34200291146163,74.81377583455732,90.05893915760423,64.45849481864549,63.5797147051412,62.20318516146225,65.81459738568583,56.78606682512688,71.23171572202118,41.30746738107203,40.74826188655755,38.17882832641051,44.19923565916085,29.148217327285,53.22984665828636
45,NBayes,42.35786678314209,42.84078400373459,85.19865078687668,73.18713380982868,73.21946326371105,72.7714517399346,73.56886663644087,71.5753293951752,74.76498898120026,91.36224255058464,91.40539363757586,90.66714902853738,92.12656364974244,88.47802709672978,94.31568558155004,51.227467228321686,51.235593534585774,50.38999318538223,51.97977789891088,48.00531611508927,54.36445496920384,87.80415426406289,88.07380562699711,86.41160344011801,89.6375187482956,81.57273047785162,94.476391710562,65.63242051221914,65.6897701217052,64.88757273875673,66.34910253446697,62.69527804519137,68.54139722803232,81.66302120777362,81.71434320256384,80.05658004873479,83.94176879463761,74.22879692988056,89.76955191349185,63.83836163780497,63.06225046783158,61.86129026538072,65.28436098549305,56.72668418521223,70.41896706566155,40.75867403615352,39.89904102303215,37.97547138914212,43.72064751357724,29.35770720248943,52.338411700229926,49.71280597269495,48.96089830530793,45.16921995398605,53.96577107103423,31.974393278413785,67.1605977466065,68.75848011837893,68.14722568147225,67.01213962363575,70.4008354776542,61.92909584260806,75.48387925868187,80.54877630882159,80.69982198486872,78.39132738673497,82.21593129151513,72.65442152956471,87.95283714868538,87.80415426406289,88.07380562699711,86.41160344011801,89.6375187482956,81.57273047785162,94.476391710562,61.02850243921171,60.449987369160986,57.918725430086205,64.48112805657323,48.07512149035568,74.32473199630375,81.66302120777362,81.71434320256384,80.05658004873479,83.94176879463761,74.22879692988056,89.76955191349185,63.83836163780497,63.06225046783158,61.86129026538072,65.28436098549305,56.72668418521223,70.41896706566155,40.75867403615352,39.89904102303215,37.97547138914212,43.72064751357724,29.35770720248943,52.338411700229926
50,NBayes,43.431607346534726,43.91768583059311,87.34929317712783,72.96668760393952,72.8978186032128,72.50936721178995,73.39209438930096,71.18527644552344,74.71618515556749,91.7082873309576,91.82304216673823,91.10266995012296,92.37254295798232,89.19786043833393,94.27735246977136,50.50554526389512,50.3037456283561,49.54968641375134,51.52457488935477,46.58735370034619,54.48690760275991,88.33621956640613,88.78708936771459,86.78688849838444,90.26368688038056,81.57169092539027,95.47888445337472,65.12362595460635,65.02507999970709,64.36514623255185,65.87408874579232,62.10173246269114,68.13750251565304,80.11594376961399,80.62427120034587,78.53566666534309,82.29339150350205,72.89907940810465,87.9299787607405,63.30551810041193,62.69607246772468,61.157560433408186,64.59841330706088,55.99628112292916,69.75969261753991,40.11554245010997,39.20707686737352,37.159426968796986,42.59001708277507,29.013541797829856,50.7359022537422,48.22357701687783,47.35094850948509,43.69248256217361,52.13722161190453,31.025373987577243,64.8043301865009,68.279898291642,67.96077925058816,66.39185085062535,69.87549929479657,61.1663781843685,75.1009719610534,80.84464576181567,80.72992510921573,78.78830023964396,82.73592564029711,72.86686213866422,88.65736374127684,88.33621956640613,88.78708936771459,86.78688849838444,90.26368688038056,81.57169092539027,95.47888445337472,59.90311117909447,59.58925114522837,56.12676243416814,63.15594424729758,45.58298971447399,73.69971696699173,80.11594376961399,80.62427120034587,78.53566666534309,82.29339150350205,72.89907940810465,87.9299787607405,63.30551810041193,62.69607246772468,61.157560433408186,64.59841330706088,55.99628112292916,69.75969261753991,40.11554245010997,39.20707686737352,37.159426968796986,42.59001708277507,29.013541797829856,50.7359022537422
