subset,model,runtime,val_runtime,total_runtime,accuracy_mean,accuracy_median,accuracy_lower,accuracy_upper,accuracy_lower_whisker,accuracy_upper_whisker,precision_mean,precision_median,precision_lower,precision_upper,precision_lower_whisker,precision_upper_whisker,sensitivity_mean,sensitivity_median,sensitivity_lower,sensitivity_upper,sensitivity_lower_whisker,sensitivity_upper_whisker,specificity_mean,specificity_median,specificity_lower,specificity_upper,specificity_lower_whisker,specificity_upper_whisker,f1_score_mean,f1_score_median,f1_score_lower,f1_score_upper,f1_score_lower_whisker,f1_score_upper_whisker,auc_mean,auc_median,auc_lower,auc_upper,auc_lower_whisker,auc_upper_whisker,npv_mean,npv_median,npv_lower,npv_upper,npv_lower_whisker,npv_upper_whisker,mcc_mean,mcc_median,mcc_lower,mcc_upper,mcc_lower_whisker,mcc_upper_whisker,val_sensitivity_mean,val_sensitivity_median,val_sensitivity_lower,val_sensitivity_upper,val_sensitivity_lower_whisker,val_sensitivity_upper_whisker,val_accuracy_mean,val_accuracy_median,val_accuracy_lower,val_accuracy_upper,val_accuracy_lower_whisker,val_accuracy_upper_whisker,val_precision_mean,val_precision_median,val_precision_lower,val_precision_upper,val_precision_lower_whisker,val_precision_upper_whisker,val_specificity_mean,val_specificity_median,val_specificity_lower,val_specificity_upper,val_specificity_lower_whisker,val_specificity_upper_whisker,val_f1_score_mean,val_f1_score_median,val_f1_score_lower,val_f1_score_upper,val_f1_score_lower_whisker,val_f1_score_upper_whisker,val_auc_mean,val_auc_median,val_auc_lower,val_auc_upper,val_auc_lower_whisker,val_auc_upper_whisker,val_npv_mean,val_npv_median,val_npv_lower,val_npv_upper,val_npv_lower_whisker,val_npv_upper_whisker,val_mcc_mean,val_mcc_median,val_mcc_lower,val_mcc_upper,val_mcc_lower_whisker,val_mcc_upper_whisker
5,RandomForest,109.88307188749313,109.99226244926453,219.87533433675765,98.71613937925135,98.72796247642145,98.58826127882763,98.83781592107042,98.21392931546345,99.2121478844346,99.60453541168062,99.61661340113771,99.51763258745675,99.70117391861919,99.24232059071306,99.97648591536287,97.8207200555496,97.82290054391554,97.61879887767894,98.04123281965846,96.98514796470967,98.67488373262773,65.5929910882807,65.82705489151985,59.433120071417946,71.97357452907869,40.62243838492683,90.7842562155698,98.70431417425732,98.71635133884176,98.57621923700312,98.82766429759876,98.19905164610965,99.20483188849222,76.19285877987522,76.98359623138698,74.12149669531675,78.88104109320682,66.98218009848166,86.0203576900419,71.48237712582919,71.97667099462608,68.3904826494476,75.40024378956385,57.87584093927324,85.91488549973822,38.92669327947769,40.020415934555416,35.83244610994683,44.170094576230625,23.325973410521144,56.67656727565631,72.57575724636486,75.02203856749311,68.36497214360726,79.85478806907379,51.130248255407466,97.08951195727357,69.0843741673228,69.5313088689624,67.05249571953561,71.87256642235455,59.82238966530722,79.10267247658295,68.22008936911553,68.48085709609319,65.63163763550182,71.3861666038447,56.99984418298749,80.01796005635904,65.5929910882807,65.82705489151985,59.433120071417946,71.97357452907869,40.62243838492683,90.7842562155698,69.57723763841516,71.13040454861536,68.2604985902953,73.29756570971983,60.704897911158504,80.85316638885664,76.19285877987522,76.98359623138698,74.12149669531675,78.88104109320682,66.98218009848166,86.0203576900419,71.48237712582919,71.97667099462608,68.3904826494476,75.40024378956385,57.87584093927324,85.91488549973822,38.92669327947769,40.020415934555416,35.83244610994683,44.170094576230625,23.325973410521144,56.67656727565631
10,RandomForest,74.52710510253907,74.61978969812394,149.146894800663,99.00937924749282,99.03239223237736,98.90842310170665,99.10603384609723,98.61200698512071,99.40244996268316,99.71607844918942,99.7048903354073,99.65841161400512,99.79224081415398,99.4576678137818,99.99298461437728,98.29874521396016,98.33575854892824,98.1252652755086,98.46779869167432,97.61146515126002,98.98159881592288,71.44139362291565,71.94624597143198,66.80023380862077,76.37996014555537,52.43064430321886,90.74954965095728,99.00207654911496,99.0245955373546,98.8997235334618,99.10063054426035,98.59836301726398,99.4019910604582,79.96557090210979,80.9159206420049,78.59245842699852,83.57326880125812,71.12124286560909,91.04448436264757,74.46595037020705,76.77173590948144,70.15372031794966,79.63879457266965,55.926108935869664,93.86640595474964,46.06003319807381,48.40426297305929,42.20597256529095,53.65585646389063,25.031146717391437,70.83068231179016,73.81403244951849,78.91212498178844,68.19302560964128,82.4530349391589,46.803011615364845,103.84304893343533,72.62771303621707,73.78364600326263,70.46932713841143,76.53148865870946,61.37608485796437,85.62473093915652,72.61054032525699,73.78933399902775,69.69355983351342,75.87872111492544,60.415817911395386,85.15646303704347,71.44139362291565,71.94624597143198,66.80023380862077,76.37996014555537,52.43064430321886,90.74954965095728,72.16357471277846,75.08735203845023,70.7341784250708,77.5024925347656,60.58170726052858,87.65496369930781,79.96557090210979,80.9159206420049,78.59245842699852,83.57326880125812,71.12124286560909,91.04448436264757,74.46595037020705,76.77173590948144,70.15372031794966,79.63879457266965,55.926108935869664,93.86640595474964,46.06003319807381,48.40426297305929,42.20597256529095,53.65585646389063,25.031146717391437,70.83068231179016
15,RandomForest,68.89239932060242,69.00321478843689,137.89561410903931,98.99323526561096,98.99665481695872,98.8798160728848,99.09971086841124,98.54997387959516,99.42955306170089,99.71957071528648,99.74473487396206,99.65782701478425,99.7901803340646,99.4592970358637,99.9887103129851,98.26286718726156,98.28657637156068,98.079785997987,98.45154249012631,97.522151259778,99.00917722833532,72.03673865396915,72.07073991494282,67.15943119869921,78.28642878471186,50.46893481968022,94.97692516373084,98.98564826819312,98.98989827419696,98.86990984084824,99.0935046506949,98.5345176260783,99.42889686546484,81.53001442398674,82.96175362581913,80.24998122074378,84.53875675878957,73.81681791367507,90.97192006585826,76.38129741619775,77.85735048745795,73.88350974075439,80.329699431778,64.214225204219,89.99898396831338,48.83343373623673,51.76870382649741,45.008589886609016,55.3297047652628,29.526917568628345,70.81137708324347,76.10733119973905,80.05102040816327,73.7585505937016,83.3399931265479,59.38638679443216,97.71215692581734,74.0720349268541,75.70167274864687,72.01656388823943,77.46784856015682,63.83963688036333,85.64477556803293,72.70115399209242,74.16692325577012,70.5147933392804,77.1035842834666,60.63160692300109,86.98677069974592,72.03673865396915,72.07073991494282,67.15943119869921,78.28642878471186,50.46893481968022,94.97692516373084,73.69695380089075,76.70306522484167,73.09595394842401,78.29263995216968,65.3009249428055,86.0876689577882,81.53001442398674,82.96175362581913,80.24998122074378,84.53875675878957,73.81681791367507,90.97192006585826,76.38129741619775,77.85735048745795,73.88350974075439,80.329699431778,64.214225204219,89.99898396831338,48.83343373623673,51.76870382649741,45.008589886609016,55.3297047652628,29.526917568628345,70.81137708324347
20,RandomForest,69.36918421506881,69.47409597635269,138.8432801914215,99.01630278157958,99.01945893975602,98.89525704592904,99.11829228150395,98.56070419256665,99.45284513486637,99.7184531245578,99.72568743411531,99.65863020725556,99.78818021396174,99.46430519719628,99.98250522402104,98.31026350504573,98.3232026092106,98.10810834379797,98.50522543487732,97.5124327071789,99.10090107149638,72.50230288784289,72.57681272986945,66.0603721426493,78.99428274428274,46.65950624019912,98.3951486467329,99.00915222807043,99.0124578328664,98.88632006502442,99.11229069329546,98.54736412261788,99.451246635702,80.9277775821398,82.25112328323962,80.33992001079194,84.60257112216215,73.94594334373666,90.99654778921744,75.4742402818108,77.54821089039109,71.37900732568275,81.23691349226753,56.59214807580557,96.02377274214471,47.80326254920149,50.94370232511248,46.45583780335136,54.608983693865845,34.22611896757963,66.83870252963757,74.3666433508023,79.5358094334409,69.99912334531429,84.38956096431569,48.413466916812176,105.9752173928178,73.43447311932259,75.10547325266452,72.38437253251881,76.99962361993977,65.46149590138735,83.92250025107121,73.44164567876514,73.77309944485285,70.68303294422451,77.0114538188777,61.19040163224474,86.50408513085748,72.50230288784289,72.57681272986945,66.0603721426493,78.99428274428274,46.65950624019912,98.3951486467329,72.73906558260197,76.10705583076717,72.70444174518235,78.40390875557397,64.15524122959494,86.9531092711614,80.9277775821398,82.25112328323962,80.33992001079194,84.60257112216215,73.94594334373666,90.99654778921744,75.4742402818108,77.54821089039109,71.37900732568275,81.23691349226753,56.59214807580557,96.02377274214471,47.80326254920149,50.94370232511248,46.45583780335136,54.608983693865845,34.22611896757963,66.83870252963757
25,RandomForest,71.74782403707505,71.82832186698914,143.5761459040642,99.03142329077409,99.02121670031713,98.96210033830788,99.12011556453764,98.72507749896322,99.35713840388227,99.72458761589456,99.70833313078693,99.66326233665453,99.82922389095674,99.4143200052012,100.07816622241008,98.33453002623088,98.33982881506616,98.184495996492,98.49182995647551,97.72349505651668,98.95283089645082,72.85672726503203,72.07480357907043,67.39768466844109,78.12805724296408,51.30212580665662,94.22361610474856,99.02453045805032,99.01506513308,98.9539485331237,99.11377708978328,98.71420569813432,99.35351992477268,81.2603179867925,82.89197944027954,80.16374069161829,84.45863789035288,73.72139489351642,90.90098368845474,75.4748716461671,76.85595380520755,72.06561864535416,80.78525544576563,58.98616344473698,93.8647106463828,48.291331272891,51.33595041019263,44.33601514272302,54.52775799519655,29.048400864012724,69.81537227390685,74.56540502778135,79.10884175613162,71.17167774727395,83.08295363173413,53.304763920583696,100.94986745842438,73.7110661464067,75.31917775745877,71.74608600232375,77.14541894795204,63.64708658388132,85.24441836639447,73.98128899586337,74.01039363113667,70.33300967382314,77.36850641959569,59.77976455516432,87.92175153825453,72.85672726503203,72.07480357907043,67.39768466844109,78.12805724296408,51.30212580665662,94.22361610474856,73.0362797743675,75.73771476631023,72.49863727212163,78.19321758554167,63.95676680199155,86.73508805567175,81.2603179867925,82.89197944027954,80.16374069161829,84.45863789035288,73.72139489351642,90.90098368845474,75.4748716461671,76.85595380520755,72.06561864535416,80.78525544576563,58.98616344473698,93.8647106463828,48.291331272891,51.33595041019263,44.33601514272302,54.52775799519655,29.048400864012724,69.81537227390685
30,RandomForest,75.05350312948227,75.13916877985001,150.19267190933226,98.99199601295405,98.99000699154186,98.89225184248504,99.1001359963991,98.58042561161396,99.4119622272702,99.73703902916,99.74549309565684,99.66194761654118,99.7931726253805,99.4651101032822,99.9900101386395,98.24312514862766,98.28020103968448,98.09216945844852,98.4389819285399,97.57195075331148,98.95920063367696,72.00785724984054,71.64181978215424,65.1758581244808,77.63157894736842,46.49227689014938,96.31516018169984,98.98423264118787,98.98289011849364,98.88443585874036,99.09464151111985,98.56912738017112,99.40994998968908,81.07867891913962,83.17172568560949,79.04715404099785,84.4974718448102,70.8716773352793,92.67294855052876,75.81828702926438,77.86001382295066,71.97214733851115,81.38729592549004,57.84942445804282,95.51001880595835,48.05946142593209,51.334129112666695,45.67829689558353,55.12319425469434,31.5109508569173,69.29054029336056,75.17086802220452,80.54366908053542,69.48027740395166,84.58873468334082,46.81759148486793,107.25142060242456,73.58936263602251,75.35097622343815,72.2355688154877,77.21619176843058,64.76463438607337,84.6871261978449,73.25273540529835,73.73189571934343,70.59310945553663,76.71710241224903,61.40712002046803,85.90309184731763,72.00785724984054,71.64181978215424,65.1758581244808,77.63157894736842,46.49227689014938,96.31516018169984,73.21363334930133,76.4699084344709,72.53394208818936,78.35454604211789,63.80303615729657,87.08545197301068,81.07867891913962,83.17172568560949,79.04715404099785,84.4974718448102,70.8716773352793,92.67294855052876,75.81828702926438,77.86001382295066,71.97214733851115,81.38729592549004,57.84942445804282,95.51001880595835,48.05946142593209,51.334129112666695,45.67829689558353,55.12319425469434,31.5109508569173,69.29054029336056
35,RandomForest,79.40229483366012,79.48549716234207,158.8877919960022,99.02091070994952,99.01735273907336,98.93204896497568,99.11958911259076,98.6507387435531,99.40089933401336,99.71687130561442,99.74386328878444,99.62192771544156,99.79379285278766,99.36413000942244,100.0515905588068,98.32116220848334,98.28486495983512,98.1281473065214,98.5261042518341,97.5312118885524,99.12303966980312,70.46347146774502,70.19199488788195,64.4175721013266,76.02773013150372,47.00233505606092,93.4429671767694,99.0138650407884,99.0094834910436,98.9263145029951,99.11410799729504,98.6446242615452,99.39579823874492,80.61398207344843,81.89900871212375,79.64533190150223,84.46614650395802,72.41410999781857,91.69736840764168,76.3931675246121,78.10034600619649,73.95445738899818,81.43283944457396,62.7368843056345,92.65041252793765,47.70697136789007,50.45001393987945,44.69923715415146,55.54337070271723,28.433036831302804,71.80957102556589,76.53114263734885,81.0585152694955,74.94070208728652,84.48976765405547,60.61710373713312,98.81336600420887,73.49730705254694,75.02144082332762,72.05272260419319,77.44548432639915,63.96358002088425,85.5346269097081,72.43552816522936,73.49271106349602,69.36539329422071,76.16239120476409,59.16989642840564,86.35788807057916,70.46347146774502,70.19199488788195,64.4175721013266,76.02773013150372,47.00233505606092,93.4429671767694,73.38163174253914,76.29488139383614,73.00380885703875,78.89503251205379,64.16697337451617,87.73186799457635,80.61398207344843,81.89900871212375,79.64533190150223,84.46614650395802,72.41410999781857,91.69736840764168,76.3931675246121,78.10034600619649,73.95445738899818,81.43283944457396,62.7368843056345,92.65041252793765,47.70697136789007,50.45001393987945,44.69923715415146,55.54337070271723,28.433036831302804,71.80957102556589
40,RandomForest,84.26594402074814,84.35585647583008,168.6218004965782,98.99919988620752,98.9998065582372,98.88855884501687,99.10565723793675,98.56291125563706,99.43130482731658,99.71803472738868,99.72639075447152,99.6594278737136,99.7894952769454,99.46432676886592,99.9845963817931,98.2763998501486,98.31720388239542,98.09052056582506,98.49182757886602,97.4885600462636,99.09378809842748,70.36736315466604,70.13045434098065,64.4652700359222,75.50979094653071,47.89848867000944,92.07657231244347,98.99175403636762,98.99368320111763,98.87973212842792,99.09966487326206,98.54983301117674,99.42956399051326,80.70661585939338,82.15573024877772,79.78072556501941,84.18156913785923,73.17946020575967,90.78283449711894,75.92184965918028,78.09927464328756,72.39808749854738,80.95143379917805,59.56806804760137,93.78145325012406,46.90523243123384,49.89953757053895,45.07443013090573,53.82559805382431,31.94767824652786,66.95234993820219,75.60850285767278,80.01466852964195,71.37848272493284,84.74750048534266,51.32495608431811,104.80102712595738,72.98793300616941,74.62894248608534,71.76127611437374,76.24908800089797,65.0295582845874,82.98080583068432,72.21359381968873,72.14386307646441,69.36225639379478,75.52196755226481,60.12268965608975,84.76153428996986,70.36736315466604,70.13045434098065,64.4652700359222,75.50979094653071,47.89848867000944,92.07657231244347,72.68148174109693,76.13940283016984,72.76343264818235,77.90888202761661,65.04525857903096,85.627056096768,80.70661585939338,82.15573024877772,79.78072556501941,84.18156913785923,73.17946020575967,90.78283449711894,75.92184965918028,78.09927464328756,72.39808749854738,80.95143379917805,59.56806804760137,93.78145325012406,46.90523243123384,49.89953757053895,45.07443013090573,53.82559805382431,31.94767824652786,66.95234993820219
45,RandomForest,89.60257886886596,89.6905551624298,179.29313403129578,99.00733495368448,99.03367333188211,98.90081908663068,99.10287211435435,98.5977395450452,99.40595165593986,99.71005129872636,99.74424547782723,99.6474039498178,99.7891627242893,99.43476578811058,100.00180088599654,98.30060053976094,98.3001041682084,98.06374104603064,98.48019605863117,97.43905852712982,99.10487857753196,70.57076338264733,70.60018178719535,64.64491240230188,75.82949916830162,47.86803225330228,92.60637931730125,99.00007984978264,99.02627963962938,98.89132844828649,99.09606250462556,98.58422736377786,99.4031635891342,80.12774270684484,82.14554762312156,78.51585530207264,83.85475766903208,70.50750175163346,91.86311121947126,75.34243280255299,77.04241017183524,72.26821692424295,80.98072132845712,59.19946031792169,94.04947793477838,46.23774077093312,49.50030596725126,43.91473329231809,54.42648571192329,28.147104662910284,70.19411434133109,74.93339984601026,78.89035087719299,71.8398897134794,84.66883623133623,52.59646993669416,103.91225600812147,72.75208161432879,74.36018252833935,71.03666573306752,76.84117932540646,62.32989534455913,85.54794971391486,71.76949987247016,72.73062467583864,69.06058495821728,75.6707650273224,59.14531485455959,85.58603513098011,70.57076338264733,70.60018178719535,64.64491240230188,75.82949916830162,47.86803225330228,92.60637931730125,72.35085107981747,75.84691164021106,72.06980071392341,78.17557560425335,62.9111383784285,87.33423793974826,80.12774270684484,82.14554762312156,78.51585530207264,83.85475766903208,70.50750175163346,91.86311121947126,75.34243280255299,77.04241017183524,72.26821692424295,80.98072132845712,59.19946031792169,94.04947793477838,46.23774077093312,49.50030596725126,43.91473329231809,54.42648571192329,28.147104662910284,70.19411434133109
50,RandomForest,95.68254554510116,95.76923684597016,191.45178239107133,99.00134504949916,99.01114555567712,98.90713799970855,99.10304500556484,98.61327749092412,99.39690551434929,99.71562266517356,99.743039506988,99.65953795939622,99.78759558198811,99.46745152550837,99.97968201587597,98.2830607703728,98.29114022794518,98.1228485463704,98.47956307258632,97.58777675704653,99.01463486191022,70.52352312858011,70.59312638580931,64.5153223257655,76.78658704008787,46.10842525428196,95.1934841115714,98.9939559183692,99.00528940132332,98.89797439108273,99.09673326752404,98.5998360764208,99.39487158218596,80.03966908749871,82.42187162105779,79.82046219899526,84.1398454821316,73.34138727429074,90.61892040683612,75.87065422148302,77.39175716517366,74.442518787745,81.53292781058946,63.80690525347834,92.16854134485612,47.044807385338345,50.74542576519254,45.37461625327882,54.78427460039856,31.260128732599224,68.89876212107818,75.73974144226486,80.55166694777084,74.10879133559725,84.38916346379894,58.68823314329472,99.80972165610147,73.13163228542247,75.1763769670396,72.36551635683244,77.31651706518278,64.93901529430696,84.74301812770827,72.02649959348537,72.79160713447233,69.0839243498818,76.55169523834566,57.882268017186014,87.75335157104142,70.52352312858011,70.59312638580931,64.5153223257655,76.78658704008787,46.10842525428196,95.1934841115714,72.99954696802457,76.20768136389735,73.38931749884419,78.17551613997493,66.21001953714807,85.35481410167105,80.03966908749871,82.42187162105779,79.82046219899526,84.1398454821316,73.34138727429074,90.61892040683612,75.87065422148302,77.39175716517366,74.442518787745,81.53292781058946,63.80690525347834,92.16854134485612,47.044807385338345,50.74542576519254,45.37461625327882,54.78427460039856,31.260128732599224,68.89876212107818
