subset,model,runtime,val_runtime,total_runtime,accuracy_mean,accuracy_median,accuracy_lower,accuracy_upper,accuracy_lower_whisker,accuracy_upper_whisker,precision_mean,precision_median,precision_lower,precision_upper,precision_lower_whisker,precision_upper_whisker,sensitivity_mean,sensitivity_median,sensitivity_lower,sensitivity_upper,sensitivity_lower_whisker,sensitivity_upper_whisker,specificity_mean,specificity_median,specificity_lower,specificity_upper,specificity_lower_whisker,specificity_upper_whisker,f1_score_mean,f1_score_median,f1_score_lower,f1_score_upper,f1_score_lower_whisker,f1_score_upper_whisker,auc_mean,auc_median,auc_lower,auc_upper,auc_lower_whisker,auc_upper_whisker,npv_mean,npv_median,npv_lower,npv_upper,npv_lower_whisker,npv_upper_whisker,mcc_mean,mcc_median,mcc_lower,mcc_upper,mcc_lower_whisker,mcc_upper_whisker,val_sensitivity_mean,val_sensitivity_median,val_sensitivity_lower,val_sensitivity_upper,val_sensitivity_lower_whisker,val_sensitivity_upper_whisker,val_accuracy_mean,val_accuracy_median,val_accuracy_lower,val_accuracy_upper,val_accuracy_lower_whisker,val_accuracy_upper_whisker,val_precision_mean,val_precision_median,val_precision_lower,val_precision_upper,val_precision_lower_whisker,val_precision_upper_whisker,val_specificity_mean,val_specificity_median,val_specificity_lower,val_specificity_upper,val_specificity_lower_whisker,val_specificity_upper_whisker,val_f1_score_mean,val_f1_score_median,val_f1_score_lower,val_f1_score_upper,val_f1_score_lower_whisker,val_f1_score_upper_whisker,val_auc_mean,val_auc_median,val_auc_lower,val_auc_upper,val_auc_lower_whisker,val_auc_upper_whisker,val_npv_mean,val_npv_median,val_npv_lower,val_npv_upper,val_npv_lower_whisker,val_npv_upper_whisker,val_mcc_mean,val_mcc_median,val_mcc_lower,val_mcc_upper,val_mcc_lower_whisker,val_mcc_upper_whisker
5,ResNet50,251.56626406908035,6.239558919270833,257.80582298835117,80.36545306444168,81.92686140537262,0.80315200984478,0.8290891051292419,0.764246366918087,0.8679947480559349,80.34377610683441,81.97366893291473,0.8032171428203583,0.8293140679597855,0.7640717551112175,0.8684594556689262,80.36323553323746,81.94224834442139,0.8036272972822189,0.8289215862751007,0.7656858637928963,0.8668630197644234,80.33405184745789,81.95467293262482,0.8036032170057297,0.8295749425888062,0.764645628631115,0.8685325309634209,80.34509998559952,81.89542889595032,0.8035507947206497,0.8295515924692154,0.7645495980978012,0.8685527890920639,87.6875713467598,89.68716859817505,0.8841283917427063,0.9057032763957976,0.8517660647630694,0.9380656033754347,80.35886490345001,81.8817287683487,0.8035109490156174,0.8296309560537338,0.7643309384584427,0.8688109666109085,60.69974786043167,63.80023658275604,0.6071193665266037,0.6590638756752014,0.5292026028037071,0.736980639398098,74.97863219189458,80.86542189121246,0.675287202000618,0.8477409034967422,0.4166066497564316,1.1064214557409286,75.83546322584152,80.95531761646271,0.740234375,0.8272186517715454,0.6097579598426819,0.9576950669288635,75.14445322751999,80.42282164096832,0.6803826689720154,0.83340784907341,0.4508448988199234,1.062945619225502,72.98340627551079,80.16493022441864,0.649544283747673,0.8397470116615295,0.3642401918768883,1.1250511035323143,73.69131892872974,79.64169681072235,0.7072375416755676,0.8214392960071564,0.5359349101781845,0.9927419275045395,83.34112092852592,88.94380331039429,0.8346301466226578,0.9005603790283203,0.735734798014164,0.9994557276368141,74.32028943300247,80.9867262840271,0.7157111465930939,0.8282334953546524,0.5469276234507561,0.9970170184969902,48.8615623456426,60.36406457424164,0.42216052114963526,0.6441909968852997,0.0891148075461386,0.9772367104887963
10,ResNet50,292.7004893342654,6.122108511130015,298.8225978453954,85.69054931402206,85.66358983516693,0.8436383754014969,0.871726468205452,0.8015062361955643,0.9138586074113846,85.67976146936417,85.65773963928223,0.8439121544361115,0.8721657544374466,0.8015317544341087,0.9145461544394492,85.69413870573044,85.7200562953949,0.8438446968793869,0.8718821406364441,0.8017885312438011,0.91393830627203,85.65718674659729,85.63283085823059,0.843948021531105,0.8721458315849304,0.801651306450367,0.9144425466656684,85.6670572757721,85.69189012050629,0.8438376784324646,0.8723105192184448,0.8011284172534943,0.9150197803974152,93.03990131616592,93.14023852348328,0.9220078438520432,0.942517563700676,0.8912432640790942,0.973282143473625,85.67352908849716,85.71371138095856,0.8438029289245605,0.8723964542150497,0.8009126409888268,0.9152867421507836,71.33400928974152,71.37112021446228,0.6877119094133377,0.7446243017911911,0.6023433208465576,0.8299928903579712,82.39644724759273,85.80957651138306,0.8216911554336548,0.8796802312135696,0.7347075417637825,0.966663844883442,84.14677304029465,85.07378399372101,0.8362459093332291,0.8665707111358643,0.7907587066292763,0.912057913839817,83.60119980573654,85.26999652385712,0.8158674836158752,0.8734853118658066,0.7294407412409782,0.9599120542407036,81.80187975987792,85.35539209842682,0.8139505684375763,0.8735223114490509,0.7245929539203644,0.9628799259662628,81.66755981184542,84.79381799697876,0.8124378621578217,0.8632719665765762,0.7361867055296898,0.939523123204708,91.57255947589874,92.53341555595398,0.9113782942295074,0.9336057305336,0.8780371397733686,0.9669468849897388,83.54171735048294,85.54941415786743,0.8238435238599777,0.8752528429031372,0.7467295452952385,0.9523668214678764,65.25302215944976,69.25314664840698,0.6190509051084518,0.7250764220952988,0.4600126296281814,0.8841146975755692
15,ResNet50,267.505328977108,6.085834618409475,273.59116359551746,87.81324940919876,88.62911760807037,0.8646715879440308,0.8993235230445862,0.8126936852931976,0.9513014256954192,87.80207884311676,88.6128157377243,0.8653991371393204,0.8989005982875824,0.8151469454169273,0.9491527900099754,87.79682940244675,88.6138379573822,0.8646727651357651,0.8990962505340576,0.8130375370383263,0.9507314786314964,87.77713602781296,88.63441050052643,0.8659137934446335,0.8993227928876877,0.8158002942800522,0.949436292052269,87.76612591743469,88.56166005134583,0.8654573708772659,0.8995674550533295,0.8142922446131706,0.9507325813174248,94.74668204784392,95.3892707824707,0.9392787218093872,0.9639361053705215,0.9022926464676856,1.0009221807122233,87.77305227518082,88.55204582214355,0.865188330411911,0.8995466530323029,0.8136508464813232,0.9510841369628906,75.54380959272385,77.12098360061646,0.7310290485620499,0.7992006093263626,0.6287717074155807,0.9014579504728316,85.81196251511574,88.07565569877625,0.8426877558231354,0.897683635354042,0.7601939365267754,0.980177454650402,86.45308113098145,87.89425194263458,0.8486739099025726,0.8936632126569748,0.7811899557709694,0.961147166788578,86.05193078517914,88.08626532554626,0.8420883119106293,0.8982831984758377,0.7577959820628166,0.9825755283236504,84.98130710422993,88.11677396297455,0.842265173792839,0.9004934430122375,0.7549227699637413,0.9878358468413352,85.31814339756966,87.5525951385498,0.8428012281656265,0.8911057710647583,0.7703444138169289,0.963562585413456,93.3798282146454,94.81853246688844,0.922341361641884,0.9589222073554992,0.867470093071461,1.0137934759259222,85.5297799706459,88.13828825950623,0.8458226174116135,0.8974275588989258,0.768415205180645,0.9748349711298944,71.35784661769867,75.10413825511932,0.6895884871482849,0.7833269834518433,0.5489807426929474,0.9239347279071808
20,ResNet50,622.7392523209254,12.020203578472138,634.7594558993975,89.83695867657661,90.3442710638046,0.8907965123653412,0.9119917154312134,0.8590037077665329,0.9437845200300216,89.82897368073463,90.36634862422945,0.890744611620903,0.9121851921081544,0.8585837408900259,0.9443460628390314,89.82103419303894,90.30426740646362,0.8901558816432953,0.9115490466356276,0.8580661341547966,0.9436387941241264,89.80699065327644,90.35297930240633,0.8903499096632004,0.9118013232946396,0.8581727892160418,0.9439784437417982,89.80080899596214,90.33215045928956,0.890113577246666,0.91118223965168,0.8585105836391449,0.942785233259201,96.25601705908775,96.67797684669496,0.9580362141132356,0.9724643528461456,0.9363940060138702,0.9941065609455108,89.80288934707642,90.31336009502412,0.8901054412126541,0.91127011179924,0.8583584353327751,0.9430171176791192,79.607994556427,80.67838847637177,0.7804373204708099,0.8226367086172104,0.7171382382512093,0.8859357908368111,88.23247107863426,89.58333134651184,0.8791118264198303,0.9054379165172578,0.839622691273689,0.944927051663399,88.45999038219452,89.32291865348816,0.8799341917037964,0.9029565006494522,0.8454007282853127,0.937489964067936,88.21007055044174,89.42349255084991,0.8811663687229156,0.9036458134651184,0.8474472016096115,0.9373649805784224,87.80850133299828,89.46340382099152,0.8806194961071014,0.904786676168442,0.8443687260150907,0.9410374462604524,88.0749087035656,89.30924832820892,0.8787256330251694,0.9019906669855118,0.8438280820846558,0.9368882179260254,95.07181960344316,95.81412374973296,0.9501740038394928,0.964420646429062,0.9288040399551388,0.9857906103134156,87.88631662726402,89.50093984603882,0.8786178380250931,0.904099240899086,0.8403957337141035,0.9423213452100756,76.19239342212677,78.60170900821686,0.7574062645435333,0.8044735342264175,0.686805360019207,0.8750744387507439
25,ResNet50,621.7535770773887,11.399271603425344,633.152848680814,90.4895147383213,90.8161997795105,0.895223930478096,0.9201277047395706,0.8578682690858841,0.9574833661317824,90.47775223851204,90.7951980829239,0.8955254852771759,0.920080542564392,0.8586928993463516,0.9569131284952164,90.47961992025375,90.79847633838654,0.895618349313736,0.9205980896949768,0.8581487387418749,0.958067700266838,90.45613223314284,90.80417454242706,0.8950353711843491,0.920256182551384,0.8572041541337967,0.9580873996019365,90.45845627784728,90.84775745868684,0.8955150842666626,0.9202659875154496,0.8583887293934822,0.95739234238863,96.60619780421256,96.994087100029,0.962068736553192,0.9762624800205232,0.9407781213521956,0.9975530952215196,90.46297365427016,90.78408777713776,0.8955223858356476,0.920263573527336,0.8584106042981148,0.9573753550648688,80.92053294181824,81.68945908546448,0.7912056744098663,0.8405041098594666,0.717258021235466,0.9144517630338668,88.51447144150734,90.01736044883728,0.8864560574293137,0.9088924825191498,0.8528014197945595,0.942547120153904,88.63827648758888,89.93055820465088,0.8872898519039154,0.907894730567932,0.8563825339078905,0.938802048563957,88.36904215812683,90.0168627500534,0.8855476081371307,0.9088924825191498,0.8505302965641022,0.9439097940921783,88.02739521674812,90.04934430122375,0.8851996660232544,0.9091860800981522,0.8492200449109077,0.9451657012104988,88.34576711058617,89.8706704378128,0.8875502496957779,0.907366007566452,0.8578266128897667,0.9370896443724632,95.11971724033356,96.19094729423524,0.9535996913909912,0.9669000506401062,0.9336491525173188,0.9868505895137788,88.55736210942268,89.97585773468018,0.8875786066055298,0.9087289124727248,0.8558531478047371,0.9404543712735176,76.69184506684542,79.7198235988617,0.7748509645462036,0.813845157623291,0.7163596749305725,0.8723364472389221
30,ResNet50,321.0931910912196,6.143050730228424,327.236241821448,91.21796542406082,91.37089848518372,0.9025117605924609,0.9276259541511536,0.8648404702544215,0.9652972444891929,91.20162290334702,91.3810968399048,0.9021599292755128,0.9269551932811736,0.8649670332670216,0.9641480892896648,91.1988371014595,91.37637615203856,0.9017292708158492,0.9273681193590164,0.8632709980010986,0.9658263921737672,91.18955653905869,91.39081835746764,0.9023367762565612,0.9269877523183824,0.8653603121638298,0.9639642164111136,91.18783271312714,91.32507145404816,0.902120366692543,0.9273322969675064,0.8643024712800977,0.9651501923799516,97.09192138910294,97.37683832645416,0.966943308711052,0.9803768247365952,0.9467930346727372,1.00052709877491,91.1886022090912,91.35087132453918,0.902227595448494,0.9275497347116471,0.8642443865537641,0.9655329436063768,82.37982332706451,82.65824019908905,0.8042548447847366,0.8546546399593353,0.7286551520228386,0.9302543327212334,89.43632811307907,90.13158082962036,0.8920024484395981,0.910567417740822,0.8641549944877622,0.9384148716926576,89.13112449645996,90.29605388641356,0.8920266330242157,0.9111841917037964,0.8632902950048447,0.9399205297231674,88.80315858125687,90.30800759792328,0.888171449303627,0.91190142929554,0.8525764793157578,0.9474963992834092,88.56003683805466,90.29605388641356,0.8878245502710342,0.9123263955116272,0.8510717824101448,0.9490791633725166,89.08965981006622,90.2190625667572,0.8912323415279388,0.9103812724351884,0.8625089451670647,0.9391046687960624,95.4722582101822,96.34774327278136,0.957797035574913,0.9700143486261368,0.9394710659980772,0.9883403182029726,89.31149792671204,90.10772407054904,0.8913442939519882,0.910813257098198,0.8621408492326736,0.9400167018175124,78.06221151351929,80.46636581420898,0.7823261171579361,0.8208435326814651,0.7245499938726425,0.8786196559667587
35,ResNet50,311.94457226196926,5.872233593463898,317.8168058554332,92.4063173532486,92.53166913986206,0.9129240959882736,0.9379008263349534,0.8754590004682539,0.9753659218549732,92.38848614692688,92.5217717885971,0.9119642972946168,0.937316820025444,0.8739355131983757,0.975345604121685,92.382934987545,92.4884408712387,0.9131748229265212,0.9377854019403457,0.8762589544057848,0.9747012704610822,92.36077845096588,92.50069856643675,0.9117593467235564,0.9367428421974182,0.8742841035127638,0.974218085408211,92.35534363985062,92.53353774547575,0.9120983034372327,0.9368904829025269,0.8749100342392919,0.974078752100468,97.6631743311882,97.81282842159273,0.9724418371915818,0.984596997499466,0.9542090967297556,1.002829737961292,92.35884487628935,92.52773523330688,0.9123435914516448,0.9372955858707428,0.874915599822998,0.9747235774993896,84.71771895885468,85.06767451763153,0.8239658176898956,0.8738455027341843,0.7491462901234627,0.9486650303006172,89.1498118378222,91.10243022441864,0.9015012383461,0.9190609604120256,0.8751616552472115,0.9454005435109138,89.93202412128448,91.1014884710312,0.9003102183341981,0.9210183471441268,0.8692480251193049,0.95208054035902,90.18466991186142,91.0435438156128,0.901329532265663,0.9200247228145598,0.8732867464423179,0.948067508637905,90.20104712247849,91.03618264198305,0.9012472778558732,0.9201617389917374,0.8728755861520767,0.9485334306955338,89.23908361792564,91.07319712638856,0.8999925553798676,0.9192627817392348,0.8710872158408167,0.9481681212782858,95.89444375038148,96.97316884994504,0.9629885107278824,0.9742540270090104,0.9460902363061906,0.9911523014307024,89.64185357093811,91.07234179973602,0.9016504883766174,0.9188121855258942,0.8759079426527023,0.9445547312498092,79.4677876085043,82.14579224586487,0.8006823062896729,0.838631883263588,0.7437579408288002,0.8955562487244606
40,ResNet50,312.4774663567543,6.517113363742828,318.99457972049714,93.0010125041008,92.88738369941711,0.9186373949050904,0.9429737627506256,0.8821328431367876,0.9794783145189284,92.98019260168076,92.82279312610626,0.9187512695789336,0.9422972202301024,0.8834323436021805,0.9776161462068558,92.98764997720718,92.7390068769455,0.9187607914209366,0.9424535930156708,0.8832215890288353,0.977992795407772,92.9678948521614,92.81219840049744,0.9183504581451416,0.942190319299698,0.882590666413307,0.9779501110315324,92.97190529108047,92.81444549560548,0.917902410030365,0.9422557651996613,0.8813723772764206,0.9787857979536057,97.97572594881058,98.058420419693,0.9747214764356612,0.9871406108140944,0.9560927748680113,1.0057693123817446,92.98226630687714,92.76672303676604,0.918378248810768,0.9422618001699448,0.8825529217720032,0.9780871272087096,85.9493134021759,85.6374740600586,0.8359669148921967,0.8844984024763107,0.7631696835160255,0.9572956338524818,90.47588968276978,91.51361584663393,0.9029947817325592,0.923519730567932,0.8722073584795,0.9543071538209912,90.27560126781464,91.48848950862885,0.9020172357559204,0.9236944913864136,0.8695013523101804,0.9562103748321537,90.01608395576477,91.59623682498932,0.9015371352434158,0.9239385426044464,0.8679350242018702,0.957540653645992,89.50337707996368,91.59585237503052,0.9018458873033524,0.9238704293966292,0.8688090741634369,0.9569072425365448,90.15794318914412,91.5117174386978,0.9014905691146852,0.9232414215803144,0.8688642904162411,0.9558677002787586,96.30203807353972,97.10352718830109,0.9666474014520644,0.9753980487585068,0.9535214304924012,0.98852401971817,89.47809660434723,91.39211475849152,0.9008806347846984,0.9229372441768646,0.8677957206964493,0.9560221582651138,79.98717612028122,83.06347727775574,0.8032618910074234,0.8466541171073914,0.7381735518574715,0.9117424562573432
45,ResNet50,283.6809529066086,6.439478186766307,290.12043109337486,93.36275720596312,93.33613514900208,0.9195249527692796,0.9434026330709456,0.8837084323167801,0.9792191535234452,93.35838735103609,93.3109313249588,0.919860064983368,0.9423437267541884,0.8861345723271374,0.976069219410419,93.34902226924896,93.3152437210083,0.9192908257246016,0.943867325782776,0.8824260756373405,0.9807320758700372,93.34433507919312,93.32062304019928,0.9194757193326948,0.9422708898782732,0.8852829635143276,0.9764636456966403,93.33830612897872,93.29779148101808,0.9192755818367004,0.9427705109119416,0.8840331882238388,0.9780129045248032,98.16756135225296,98.27090799808502,0.9759227782487868,0.9873047173023224,0.9588498696684836,1.0043776258826256,93.33812725543976,93.33488941192628,0.9194209277629852,0.9431855976581572,0.8837739229202268,0.9788326025009156,86.68160903453827,86.6151750087738,0.8386295139789581,0.8854751288890839,0.7683610916137695,0.9557435512542723,90.59610390663148,92.00878441333772,0.9097222089767456,0.92865951359272,0.8813162520527842,0.9570654705166814,90.75502103567123,92.05186665058136,0.9096765220165252,0.9288194179534912,0.8809621781110764,0.95753376185894,90.81441527605055,91.99137687683104,0.9100911915302276,0.9284832924604416,0.8825030401349067,0.9560714438557624,90.88457810878754,92.00878441333772,0.9102019220590593,0.9288194179534912,0.8822756782174113,0.9567456617951392,90.6983248591423,91.97278022766112,0.9095953404903412,0.9283552914857864,0.8814554139971733,0.9564952179789544,96.5247763991356,97.44499325752258,0.9679799973964692,0.978132590651512,0.9527511075139048,0.9933614805340764,90.68597543239594,91.99431538581848,0.9096587598323822,0.9286557585000992,0.881163261830807,0.9571512565016744,81.49288204312325,83.93120467662811,0.8193634897470474,0.856825202703476,0.7631709203124046,0.9130177721381189
50,ResNet50,295.0465073545774,6.448368287086487,301.4948756416639,94.20831269025804,94.10877525806428,0.9264627248048782,0.958461731672287,0.8784642145037651,1.0064602419734,94.21009802818298,94.17056739330292,0.9262410253286362,0.958456814289093,0.8779173418879509,1.0067804977297783,94.20495426654816,94.16375756263731,0.9266304075717926,0.9579948782920836,0.8795837014913559,1.0050415843725204,94.18880558013916,94.18989717960358,0.9260923862457277,0.9570570737123488,0.8796453550457954,1.003504104912281,94.18624341487885,94.17172074317932,0.926362618803978,0.956865042448044,0.880608983337879,1.0026186779141428,98.44995218515396,98.5696941614151,0.9791879057884216,0.9916549921035768,0.9604872763156892,1.010355621576309,94.1861926317215,94.15910243988036,0.9264816641807556,0.9566634297370912,0.8812090158462524,1.0019360780715942,88.37554293870926,88.35001587867737,0.8526677340269089,0.9137775599956512,0.7610029950737953,1.0054422989487648,89.92004042863846,92.70994365215302,0.9014246463775636,0.9366433471441268,0.8485965952277184,0.989471398293972,90.02696532011032,92.68024861812592,0.9024075716733934,0.9365936517715456,0.8511284515261651,0.9878727719187738,90.0412762761116,92.69491732120514,0.9034696221351624,0.9374870806932448,0.8524434342980385,0.9885132685303688,90.05313527584076,92.69462525844574,0.9040032923221588,0.9375,0.853758230805397,0.9877450615167618,89.97726100683212,92.60632991790771,0.902256429195404,0.9360139369964598,0.8516201674938204,0.9866501986980436,95.60080289840698,97.65399396419528,0.965757355093956,0.9820804893970488,0.9412726536393168,1.0065651908516882,89.94384104013443,92.71861910820007,0.9011580348014832,0.9365281164646148,0.8481029123067856,0.9895832389593124,79.9804704785347,85.19846200942993,0.8048410415649414,0.8718909025192261,0.7042662501335144,0.9724656939506532
