subset,model,runtime,val_runtime,total_runtime,accuracy_mean,accuracy_median,accuracy_lower,accuracy_upper,accuracy_lower_whisker,accuracy_upper_whisker,precision_mean,precision_median,precision_lower,precision_upper,precision_lower_whisker,precision_upper_whisker,sensitivity_mean,sensitivity_median,sensitivity_lower,sensitivity_upper,sensitivity_lower_whisker,sensitivity_upper_whisker,specificity_mean,specificity_median,specificity_lower,specificity_upper,specificity_lower_whisker,specificity_upper_whisker,f1_score_mean,f1_score_median,f1_score_lower,f1_score_upper,f1_score_lower_whisker,f1_score_upper_whisker,auc_mean,auc_median,auc_lower,auc_upper,auc_lower_whisker,auc_upper_whisker,npv_mean,npv_median,npv_lower,npv_upper,npv_lower_whisker,npv_upper_whisker,mcc_mean,mcc_median,mcc_lower,mcc_upper,mcc_lower_whisker,mcc_upper_whisker,val_sensitivity_mean,val_sensitivity_median,val_sensitivity_lower,val_sensitivity_upper,val_sensitivity_lower_whisker,val_sensitivity_upper_whisker,val_accuracy_mean,val_accuracy_median,val_accuracy_lower,val_accuracy_upper,val_accuracy_lower_whisker,val_accuracy_upper_whisker,val_precision_mean,val_precision_median,val_precision_lower,val_precision_upper,val_precision_lower_whisker,val_precision_upper_whisker,val_specificity_mean,val_specificity_median,val_specificity_lower,val_specificity_upper,val_specificity_lower_whisker,val_specificity_upper_whisker,val_f1_score_mean,val_f1_score_median,val_f1_score_lower,val_f1_score_upper,val_f1_score_lower_whisker,val_f1_score_upper_whisker,val_auc_mean,val_auc_median,val_auc_lower,val_auc_upper,val_auc_lower_whisker,val_auc_upper_whisker,val_npv_mean,val_npv_median,val_npv_lower,val_npv_upper,val_npv_lower_whisker,val_npv_upper_whisker,val_mcc_mean,val_mcc_median,val_mcc_lower,val_mcc_upper,val_mcc_lower_whisker,val_mcc_upper_whisker
5,f_GradientBoosting,1.5811021288235982,0.0009273648262023132,1.5820294936498005,85.06137599782808,85.67822282059913,84.56748569505217,85.86755301245373,82.61738471894984,87.81765398855606,86.9151778761489,87.60871302685557,86.58748293928588,87.82023483804082,84.73835509115347,89.66936268617322,82.56238203871997,82.9350387075059,82.00100976102323,83.38101649276338,79.93099966341299,85.45102659037363,86.23978494623655,86.66666666666667,83.33333333333334,90.0,73.33333333333334,100.0,84.68083888877075,85.2819054117051,84.16435828865225,85.49173792005831,82.17328884154315,87.48280736716742,91.13944444444446,91.16666666666669,88.77777777777777,94.11111111111113,80.77777777777776,102.11111111111113,82.52221824365587,82.24789889187292,78.45982115707709,86.66666637777777,66.14955332602604,98.97693420882882,67.9800902882784,66.81531047810195,60.540551459664314,73.99400733958971,40.360367639776214,94.17419115947783,81.3741935483871,80.0,76.66666666666667,86.66666666666667,61.66666666666667,101.66666666666666,83.80737704918032,83.33333333333334,80.0,86.66666666666667,70.0,96.66666666666667,85.82903941020999,85.239651416122,81.73400673400674,90.0,69.33501683501684,102.3989898989899,86.23978494623655,86.66666666666667,83.33333333333334,90.0,73.33333333333334,100.0,83.34689347696659,83.6092265943012,79.3103448275862,86.7741935483871,68.11457174638487,97.96996662958844,91.13944444444446,91.16666666666669,88.77777777777777,94.11111111111113,80.77777777777776,102.11111111111113,82.52221824365587,82.24789889187292,78.45982115707709,86.66666637777777,66.14955332602604,98.97693420882882,67.9800902882784,66.81531047810195,60.540551459664314,73.99400733958971,40.360367639776214,94.17419115947783
10,f_GradientBoosting,1.9340242902437843,0.0009795069694518,1.9350037972132363,88.58191641685141,89.04409289801414,88.25261911545658,89.27970380343318,86.7119920834917,90.8203308353981,90.26344537192811,90.60379299896016,90.06891583908518,90.8534531189842,88.89210991923666,92.03025903883272,86.4903529857081,86.99091215079098,85.8970043756311,87.4200605856614,83.61242006058566,89.70464490070684,89.30322580645162,90.0,86.66666666666667,93.33333333333331,76.66666666666669,103.3333333333333,88.33563185509685,88.83552895990343,87.97691174500184,89.08289476693957,86.31793721209525,90.74186929984616,94.02725806451616,94.44444444444444,91.94444444444446,96.44444444444444,85.19444444444446,103.19444444444444,86.08075992168429,85.71428546938775,82.65720053677448,89.65517210463733,72.16024318498019,100.15212945643164,74.8156809666673,76.70929478597832,70.03892132632802,80.17837257372234,54.829744455236565,95.38754944481384,85.20645161290322,85.00000000000001,82.66129032258065,90.0,71.65322580645162,101.00806451612902,87.25491803278688,88.33333333333333,85.0,90.0,77.49999999999999,97.5,89.04496816998764,89.4704433497537,86.20689655172413,92.5925925925926,76.62835249042142,102.17113665389532,89.30322580645162,90.0,86.66666666666667,93.33333333333331,76.66666666666669,103.3333333333333,86.92256658474383,87.71929824561403,84.21052631578947,89.74137931034483,75.91424682395643,98.03765880217786,94.02725806451616,94.44444444444444,91.94444444444446,96.44444444444444,85.19444444444446,103.19444444444444,86.08075992168429,85.71428546938775,82.65720053677448,89.65517210463733,72.16024318498019,100.15212945643164,74.8156809666673,76.70929478597832,70.03892132632802,80.17837257372234,54.829744455236565,95.38754944481384
15,f_GradientBoosting,2.273669437567393,0.0010235389073688,2.274692976474762,89.78942485659643,90.138000673174,89.41013126893303,90.5419050824638,87.71247054863686,92.23956580275996,91.62284664306154,91.86434490148488,91.57345275672678,92.16663166349797,90.68368439657002,93.05640002365472,87.58123419769329,88.08481992595087,86.9067653988556,88.58970043756311,84.38236284079433,91.11410299562438,90.40322580645162,90.0,86.66666666666667,93.33333333333331,76.66666666666669,103.3333333333333,89.55490303951508,89.92873853615441,89.12696023573994,90.34944428948768,87.29323415511834,92.18317037010932,95.05155913978496,95.16666666666669,93.11111111111111,97.43055555555556,86.63194444444447,103.9097222222222,87.16230418300702,86.66666637777777,84.24899167009208,90.3981851945478,75.02520138340851,99.6219754812314,77.03952212583691,77.05289916986813,70.99295739719089,83.75315127159578,51.85266658558356,102.89344208320313,86.2720430107527,86.66666666666667,83.33333333333334,90.0,73.33333333333334,100.0,88.33825136612022,88.33333333333333,85.0,91.66666666666666,75.0,101.66666666666666,90.2454964478233,90.16129032258064,86.20689655172413,93.33333333333331,75.51724137931035,104.02298850574712,90.40322580645162,90.0,86.66666666666667,93.33333333333331,76.66666666666669,103.3333333333333,88.02820910478759,88.3300916921367,85.1208669074743,91.52542372881356,75.51403167546539,101.13225896082248,95.05155913978496,95.16666666666669,93.11111111111111,97.43055555555556,86.63194444444447,103.9097222222222,87.16230418300702,86.66666637777777,84.24899167009208,90.3981851945478,75.02520138340851,99.6219754812314,77.03952212583691,77.05289916986813,70.99295739719089,83.75315127159578,51.85266658558356,102.89344208320313
20,f_GradientBoosting,2.469813934961955,0.0010559082031249,2.4708698431650795,91.0410332478958,91.2150790979468,91.0173342308987,91.5684954560754,90.19059239313364,92.39523729384048,92.95022321480002,93.06585422665393,92.77763019536222,93.45531315974664,91.76110574878558,94.47183760632328,88.8165198490005,89.09458094917537,88.75799394143387,89.43116795691687,87.74823291820937,90.44092898014138,92.20000000000002,93.33333333333331,90.0,96.66666666666669,79.99999999999999,106.66666666666669,90.83568006131726,91.02290918387564,90.80574975841638,91.37619397312469,89.95008343635394,92.23186029518712,95.5726523297491,96.33333333333334,93.44444444444444,97.58333333333331,87.2361111111111,103.79166666666669,87.97346217874765,88.23529385813148,84.37499973632812,93.10344795481568,71.2823274085968,106.196120282547,79.61815543509962,80.44955392663738,73.49684152591215,86.66666666666131,53.74210381478839,106.42140437778508,87.04086021505377,86.66666666666667,83.33333333333334,93.33333333333331,68.33333333333336,108.3333333333333,89.62158469945355,90.0,86.66666666666667,93.33333333333331,76.66666666666669,103.3333333333333,92.02730748234944,92.85714285714286,89.18650793650794,96.32936507936508,78.47222222222226,107.04365079365076,92.20000000000002,93.33333333333331,90.0,96.66666666666669,79.99999999999999,106.66666666666669,89.28805477728937,89.65517241379311,86.08374384236453,93.10344827586208,75.55418719211819,103.6330049261084,95.5726523297491,96.33333333333334,93.44444444444444,97.58333333333331,87.2361111111111,103.79166666666669,87.97346217874765,88.23529385813148,84.37499973632812,93.10344795481568,71.2823274085968,106.196120282547,79.61815543509962,80.44955392663738,73.49684152591215,86.66666666666131,53.74210381478839,106.42140437778508
25,f_GradientBoosting,2.3609867413838703,0.0010101079940795,2.3619968493779497,90.9195242899847,91.2571524739145,90.63867384718952,91.73678895994615,88.99150117805455,93.38396162908114,92.82367960020196,93.04890024758082,92.7883203602116,93.43513584687258,91.81809713022012,94.40535907686407,88.69400353813009,89.06092224840121,88.15213732749916,89.73409626388421,85.77919892292158,92.1070346684618,91.96666666666668,93.33333333333331,90.0,96.66666666666669,79.99999999999999,106.66666666666669,90.71080829191376,91.0686634525403,90.40835909623983,91.56337281634876,88.67583851607641,93.29589339651218,95.60987455197132,96.1111111111111,93.9722222222222,97.66666666666669,88.43055555555551,103.2083333333334,88.01950374719134,87.49999972656249,84.73011337760819,90.62499971679688,75.88778386882517,99.46732922557992,79.46675032051553,80.17837257372234,76.70929478597832,83.75315127159578,66.14351005755212,94.31893600002196,87.17204301075269,86.66666666666667,83.33333333333334,90.0,73.33333333333334,100.0,89.57131147540983,90.0,88.33333333333333,91.66666666666666,83.33333333333333,96.66666666666666,91.77969169358376,92.85714285714286,88.34615384615384,96.15384615384616,76.63461538461537,107.8653846153846,91.96666666666668,93.33333333333331,90.0,96.66666666666669,79.99999999999999,106.66666666666669,89.26457541669598,89.4704433497537,87.27272727272727,91.86833203226648,80.37932013341847,98.76173917157526,95.60987455197132,96.1111111111111,93.9722222222222,97.66666666666669,88.43055555555551,103.2083333333334,88.01950374719134,87.49999972656249,84.73011337760819,90.62499971679688,75.88778386882517,99.46732922557992,79.46675032051553,80.17837257372234,76.70929478597832,83.75315127159578,66.14351005755212,94.31893600002196
30,f_GradientBoosting,2.3289789954821267,0.0010224739710489,2.330001469453176,91.20848650232846,91.6856012202568,90.8406260518344,91.87142376304276,89.29442948502184,93.4176203298553,93.24033692121058,93.5178688608114,93.05087684860884,93.77034741362591,91.9716710010832,94.84955326115151,88.8538829334521,89.44799730730394,88.23628407943454,89.76775496465837,85.93907775159879,92.0649612924941,92.16666666666666,93.33333333333331,90.0,96.66666666666669,79.99999999999999,106.66666666666669,90.992784560197,91.4974182444062,90.58183351687866,91.68459849216543,88.92768605394849,93.33874595509565,96.02747311827956,96.5,94.52777777777776,97.44444444444444,90.15277777777776,101.81944444444444,88.56934252401226,89.65517210463733,84.37499973632812,93.33333302222222,70.93749980748699,106.77083295106335,80.22635345106715,80.44955392663738,74.84551991837007,86.66666666666131,57.1137997959332,104.39838678909818,87.70752688172044,90.0,83.33333333333334,93.33333333333331,68.33333333333336,108.3333333333333,89.93825136612021,90.0,86.66666666666667,93.33333333333331,76.66666666666669,103.3333333333333,92.01467235382304,92.85714285714286,89.28571428571429,95.83333333333334,79.46428571428572,105.65476190476193,92.16666666666666,93.33333333333331,90.0,96.66666666666669,79.99999999999999,106.66666666666669,89.62880559529813,89.65517241379311,86.55172413793105,93.33333333333331,76.37931034482762,103.50574712643676,96.02747311827956,96.5,94.52777777777776,97.44444444444444,90.15277777777776,101.81944444444444,88.56934252401226,89.65517210463733,84.37499973632812,93.33333302222222,70.93749980748699,106.77083295106335,80.22635345106715,80.44955392663738,74.84551991837007,86.66666666666131,57.1137997959332,104.39838678909818
35,f_GradientBoosting,2.310082284609477,0.0010335445404051,2.311115829149882,91.2709227124052,91.34129922584988,91.09306630764053,92.19959609559068,89.43327162571526,93.85939077751596,93.39527971377704,93.63584664305412,93.35355938947916,94.10318231200677,92.2291250056878,95.22761669579816,88.81551133459581,88.89262874453046,88.38774823291821,90.17165937394816,85.71188152137327,92.8475260854931,92.36774193548388,93.33333333333331,90.0,96.66666666666669,79.99999999999999,106.66666666666669,91.04578144255314,91.11897711363284,90.85415545248355,92.03676421111533,89.08024231453592,93.81067734906294,96.14496415770608,96.66666666666669,94.66666666666669,97.88888888888889,89.83333333333337,102.7222222222222,88.60594747688198,88.76050391248411,84.79020951601137,93.10344795481568,72.32035185780492,105.57330561302214,80.46331402874694,81.64965809276735,76.32136430336082,86.66666666666131,60.80341075841007,102.18462021161208,87.74086021505377,88.33333333333333,83.33333333333334,93.33333333333331,68.33333333333336,108.3333333333333,90.05546448087432,90.0,87.97131147540983,93.33333333333331,79.92827868852459,101.37636612021856,92.2169493406316,92.98029556650246,89.91379310344828,95.875,80.9719827586207,104.81681034482756,92.36774193548388,93.33333333333331,90.0,96.66666666666669,79.99999999999999,106.66666666666669,89.74815415928721,90.0,87.22873900293256,93.10344827586208,78.41667509353827,101.91551218525636,96.14496415770608,96.66666666666669,94.66666666666669,97.88888888888889,89.83333333333337,102.7222222222222,88.60594747688198,88.76050391248411,84.79020951601137,93.10344795481568,72.32035185780492,105.57330561302214,80.46331402874694,81.64965809276735,76.32136430336082,86.66666666666131,60.80341075841007,102.18462021161208
40,f_GradientBoosting,2.429051609834035,0.0010350704193114,2.4300866802533467,91.58159495671306,92.1743520700101,91.2992258498822,92.39313362504208,89.6583641871424,94.03399528778188,93.83477526903242,94.2741453366848,93.94861680911242,94.4542296274637,93.1901975815855,95.21264885499065,89.0053473135937,89.70043756311007,88.28677213059576,90.10434197239988,85.56041736788957,92.83069673510607,93.33333333333334,93.33333333333331,90.0,96.66666666666669,79.99999999999999,106.66666666666669,91.35415593410144,91.98792680105451,91.03400689280544,92.21829644521792,89.25757256418669,93.99473077383668,96.22297491039424,96.88888888888889,95.0,97.88888888888889,90.66666666666669,102.2222222222222,88.50915956055243,87.87878761248852,84.37499973632812,93.33333302222222,70.93749980748699,106.77083295106335,81.2469269471064,83.37966824562861,76.70929478597832,86.85990362153254,61.48338153264699,102.08581687486388,87.60537634408603,86.66666666666667,83.33333333333334,93.33333333333331,68.33333333333336,108.3333333333333,90.47049180327868,91.66666666666666,88.33333333333333,93.33333333333331,80.83333333333333,100.83333333333331,93.04930342182176,93.33333333333331,89.65517241379311,96.42857142857144,79.4950738916256,106.58866995073896,93.33333333333334,93.33333333333331,90.0,96.66666666666669,79.99999999999999,106.66666666666669,90.13171579834852,91.2280701754386,87.27272727272727,93.33333333333331,78.18181818181819,102.4242424242424,96.22297491039424,96.88888888888889,95.0,97.88888888888889,90.66666666666669,102.2222222222222,88.50915956055243,87.87878761248852,84.37499973632812,93.33333302222222,70.93749980748699,106.77083295106335,81.2469269471064,83.37966824562861,76.70929478597832,86.85990362153254,61.48338153264699,102.08581687486388
45,f_GradientBoosting,2.6294001817703245,0.0011251926422118,2.6305253744125365,92.07806532552712,92.52776842813869,91.56008078088188,93.04947829013798,89.32598451699769,95.28357455402217,94.2055895355837,94.5717280036876,94.08515437691028,94.94261113741469,92.79896923615364,96.22879627817127,89.6660763361201,90.15483002356108,88.901043419724,90.81958936385054,86.0232245035342,93.69740828004034,93.2,93.33333333333331,90.0,96.66666666666669,79.99999999999999,106.66666666666669,91.8784245604522,92.3408657372393,91.31602318267674,92.89526613316626,88.94715875694249,95.26413055890052,96.6347670250896,97.16666666666666,95.55555555555556,98.44444444444444,91.22222222222224,102.77777777777776,88.92807050859702,89.64285683341838,85.29411739619377,93.10344795481568,73.5801215582609,104.81744379274852,81.62054319088823,83.37966824562861,76.03047292438117,87.00679352102819,59.56599202941064,103.4712744159987,88.13763440860215,90.0,83.33333333333334,93.33333333333331,68.33333333333336,108.3333333333333,90.66994535519125,91.66666666666666,87.91666666666667,93.33333333333331,79.79166666666669,101.45833333333331,92.97772797541444,93.33333333333331,90.24193548387096,96.42857142857144,80.96198156682024,105.70852534562216,93.2,93.33333333333331,90.0,96.66666666666669,79.99999999999999,106.66666666666669,90.38142398832514,91.2280701754386,87.66447368421052,93.38709677419357,79.08053904923598,101.97103140916808,96.6347670250896,97.16666666666666,95.55555555555556,98.44444444444444,91.22222222222224,102.77777777777776,88.92807050859702,89.64285683341838,85.29411739619377,93.10344795481568,73.5801215582609,104.81744379274852,81.62054319088823,83.37966824562861,76.03047292438117,87.00679352102819,59.56599202941064,103.4712744159987
50,f_GradientBoosting,2.5931428829828898,0.0010581731796263,2.594201056162516,92.20714658463334,92.66240323123527,92.46886570178393,93.22169444052425,91.3396225936734,94.35093754863476,94.36512691088342,94.79738083159536,94.58145717995524,95.1405423999776,93.74282934992168,95.97917023001112,89.76772549912907,90.30629417704476,89.98653651969035,91.00471221810838,88.45927297206329,92.53197576573542,93.26881720430109,93.33333333333331,90.0,96.66666666666669,79.99999999999999,106.66666666666669,92.0074667556928,92.48793846017205,92.2731657947232,93.08154506437768,91.06059689024153,94.29411396885938,96.67908602150536,97.2222222222222,95.36111111111111,98.33333333333331,90.90277777777784,102.7916666666666,89.16334730247863,90.32258035379812,85.29411739619377,93.16091922166731,73.49391465798345,104.96112195987764,81.95088701485552,83.37966824562861,77.05289916986813,86.85990362153254,62.3423924923715,101.57041029902916,88.40430107526883,90.0,83.33333333333334,93.33333333333331,68.33333333333336,108.3333333333333,90.83715846994536,91.66666666666666,88.33333333333333,93.33333333333331,80.83333333333333,100.83333333333331,93.06763575911984,93.33333333333331,90.0,96.42857142857144,80.35714285714283,106.0714285714286,93.26881720430109,93.33333333333331,90.0,96.66666666666669,79.99999999999999,106.66666666666669,90.562940929914,91.37674695212608,87.71929824561403,93.33333333333331,79.2982456140351,101.75438596491226,96.67908602150536,97.2222222222222,95.36111111111111,98.33333333333331,90.90277777777784,102.7916666666666,89.16334730247863,90.32258035379812,85.29411739619377,93.16091922166731,73.49391465798345,104.96112195987764,81.95088701485552,83.37966824562861,77.05289916986813,86.85990362153254,62.3423924923715,101.57041029902916
