dataset,network,partition,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
100,GradientBoosting,1,0.9812473662031184,0.9880341880341881,0.9742941424357353,0.3630573248407643,0.9811160619562912,0.8201438845970704,0.34137222040553333,0.7820347681447524,578,228,400,50,40.742772340774536,0.64171974522293,0.591002044989775,0.9203821656050956,0.3630573248407643,0.7198007471980076,0.8201438845970704,0.34137222040553333,0.7820347681447524,578,228,400,50,40.84240984916687
100,GradientBoosting,2,0.9853617733166039,0.9894559257697174,0.9811794228356336,0.6213114754098361,0.9853002939941201,0.8221258132706885,0.5020940775384988,0.8214297231926901,528,379,231,82,42.167532205581665,0.7434426229508196,0.6956521739130435,0.8655737704918033,0.6213114754098361,0.7713659605551498,0.8221258132706885,0.5020940775384988,0.8214297231926901,528,379,231,82,42.26362204551697
100,GradientBoosting,3,0.9843227424749164,0.9882005899705014,0.9803511705685619,0.6781609195402298,0.9842602308499474,0.7522768668939387,0.45706770657459,0.7972247162836597,473,413,196,136,43.22673797607422,0.7274220032840722,0.7070254110612855,0.7766830870279147,0.6781609195402298,0.7402190923317684,0.7522768668939387,0.45706770657459,0.7972247162836597,473,413,196,136,43.31672215461731
100,GradientBoosting,4,0.9858096828046744,0.9858096828046744,0.9858096828046744,0.6049586776859505,0.9858096828046744,0.772151898571276,0.43680905026699807,0.76750221979373,497,366,239,108,44.01667881011963,0.7132231404958678,0.6752717391304348,0.8214876033057851,0.6049586776859505,0.7412378821774794,0.772151898571276,0.43680905026699807,0.76750221979373,497,366,239,108,44.12888240814209
100,GradientBoosting,5,0.9858510195588848,0.9928239763613339,0.978776529338327,0.6220735785953178,0.9857502095557419,0.7484909455234424,0.41906382338843057,0.7715867272178163,473,372,226,125,43.27098083496094,0.7065217391304348,0.6766809728183119,0.7909698996655519,0.6220735785953178,0.7293754818812644,0.7484909455234424,0.41906382338843057,0.7715867272178163,473,372,226,125,43.352848529815674
100,GradientBoosting,6,0.9861053504769806,0.9911986588432523,0.9809207797594359,0.535593220338983,0.9860329372524494,0.8186528495288463,0.44435615845552734,0.773849468543522,520,316,274,70,44.77387356758118,0.7084745762711865,0.654911838790932,0.8813559322033898,0.535593220338983,0.7514450867052023,0.8186528495288463,0.44435615845552734,0.773849468543522,520,316,274,70,44.84940719604492
100,GradientBoosting,7,0.9865206402695872,0.9906542056074766,0.9823083403538332,0.6363636363636364,0.9864636209813874,0.4993742177097154,-0.0016585207599369004,0.5448962045537216,227,399,228,400,42.616875886917114,0.49920255183413076,0.4989010989010989,0.3620414673046252,0.6363636363636364,0.4195933456561923,0.4993742177097154,-0.0016585207599369004,0.5448962045537216,227,399,228,400,42.71183800697327
100,GradientBoosting,8,0.984133611691023,0.9894470240607851,0.978705636743215,0.5313531353135313,0.9840470193115028,0.7777777775899087,0.40015313136795666,0.7446519404415689,514,322,284,92,43.165838956832886,0.6897689768976898,0.6441102756892231,0.8481848184818482,0.5313531353135313,0.7321937321937322,0.7777777775899087,0.40015313136795666,0.7446519404415689,514,322,284,92,43.25265336036682
100,GradientBoosting,9,0.9824234904880066,0.9874634350188048,0.977253928866832,0.6380789022298456,0.9823321554770317,0.8512585810409019,0.5439185780856538,0.8489109679924918,518,372,211,65,42.90831971168518,0.7632933104631218,0.710562414266118,0.888507718696398,0.6380789022298456,0.7896341463414634,0.8512585810409019,0.5439185780856538,0.8489109679924918,518,372,211,65,42.98142409324646
100,GradientBoosting,10,0.9841563786008231,0.9871635610766045,0.9810699588477366,0.5078809106830122,0.9841073271413829,0.8123249297444467,0.42124613251925447,0.791796123800381,504,290,281,67,44.663819551467896,0.6952714535901926,0.6420382165605095,0.882661996497373,0.5078809106830122,0.743362831858407,0.8123249297444467,0.42124613251925447,0.791796123800381,504,290,281,67,44.73304319381714
