dataset,network,partition,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
Dataset01_100,NBayesf,1,0.8126578017168827,0.7895885286783042,0.8525748906092225,0.7741935483870968,0.8198737659815504,0.8571428540816326,0.6429375631761264,0.8559139784946237,26,24,7,4,0.1546306610107422,0.819672131147541,0.7878787878787878,0.8666666666666667,0.7741935483870968,0.8253968253968254,0.8571428540816326,0.6429375631761264,0.8559139784946237,26,24,7,4,0.0003063678741455078
Dataset01_100,NBayesf,2,0.8077764686079785,0.8052772211088844,0.8117845117845118,0.8,0.8085177733065056,0.7741935458896982,0.5741935483870636,0.8354838709677418,24,24,6,7,0.14546966552734375,0.7868852459016393,0.8,0.7741935483870968,0.8,0.7868852459016393,0.7741935458896982,0.5741935483870636,0.8354838709677418,24,24,6,7,0.00026726722717285156
Dataset01_100,NBayesf,3,0.7768428138673847,0.8029465930018416,0.7337596768764726,0.7666666666666667,0.7667956384101301,0.7187499977539062,0.4677071733467137,0.8533333333333334,21,23,7,9,0.1437969207763672,0.7333333333333333,0.75,0.7,0.7666666666666667,0.7241379310344828,0.7187499977539062,0.4677071733467137,0.8533333333333334,21,23,7,9,0.0003170967102050781
Dataset01_100,NBayesf,4,0.8004039044092898,0.8078647809589513,0.7882867721305957,0.7666666666666667,0.7979557069846678,0.821428568494898,0.6013377943029176,0.8611111111111112,25,23,7,5,0.1448991298675537,0.8,0.78125,0.8333333333333334,0.7666666666666667,0.8064516129032258,0.821428568494898,0.6013377943029176,0.8611111111111112,25,23,7,5,0.00026988983154296875
Dataset01_100,NBayesf,5,0.8086502860989566,0.8044488711819389,0.8155503197576573,0.7666666666666667,0.8099615577469497,0.91999999632,0.7099295739719089,0.8944444444444444,28,23,7,2,0.1460590362548828,0.85,0.8,0.9333333333333333,0.7666666666666667,0.8615384615384616,0.91999999632,0.7099295739719089,0.8944444444444444,28,23,7,2,0.00026869773864746094
Dataset01_100,NBayesf,6,0.7487377987209693,0.7902592301649647,0.6772130595759004,0.8666666666666667,0.7293819104585826,0.7222222202160493,0.5443310539517824,0.7711111111111111,20,26,4,10,0.14507269859313965,0.7666666666666667,0.8333333333333334,0.6666666666666666,0.8666666666666667,0.7407407407407407,0.7222222202160493,0.5443310539517824,0.7711111111111111,20,26,4,10,0.00027441978454589844
Dataset01_100,NBayesf,7,0.800908784920902,0.8084886128364389,0.7886233591383373,0.6666666666666666,0.7984324416425286,0.7692307662721893,0.47087095579738913,0.8066666666666668,24,20,10,6,0.1488330364227295,0.7333333333333333,0.7058823529411765,0.8,0.6666666666666666,0.75,0.7692307662721893,0.47087095579738913,0.8066666666666668,24,20,10,6,0.0002796649932861328
Dataset01_100,NBayesf,8,0.8091551666105689,0.8042398145081153,0.8172332547963649,0.7333333333333333,0.8106844741235393,0.6874999978515625,0.4008918628686117,0.8188888888888889,20,22,8,10,0.14490079879760742,0.7,0.7142857142857143,0.6666666666666666,0.7333333333333333,0.6896551724137931,0.6874999978515625,0.4008918628686117,0.8188888888888889,20,22,8,10,0.000286102294921875
Dataset01_100,NBayesf,9,0.7896331201615617,0.8065550409690061,0.7620329855267587,0.8,0.7836621668397369,0.8275862040428061,0.6336854786667774,0.898888888888889,25,24,6,5,0.15274930000305176,0.8166666666666667,0.8064516129032258,0.8333333333333334,0.8,0.819672131147541,0.8275862040428061,0.6336854786667774,0.898888888888889,25,24,6,5,0.0002760887145996094
Dataset01_100,NBayesf,10,0.7541231908448334,0.7921826625386997,0.6889936048468529,0.7333333333333333,0.736993699369937,0.758620687039239,0.5002780094737717,0.7766666666666666,23,22,8,7,0.15958023071289062,0.75,0.7419354838709677,0.7666666666666667,0.7333333333333333,0.7540983606557377,0.758620687039239,0.5002780094737717,0.7766666666666666,23,22,8,7,0.00029778480529785156
Dataset01_100,NBayesf,11,0.732076741837765,0.7785858585858586,0.6486031639178728,0.9333333333333333,0.7076753580609622,0.7567567547114682,0.6513116116814653,0.8133333333333334,21,28,2,9,0.16408610343933105,0.8166666666666667,0.9130434782608695,0.7,0.9333333333333333,0.7924528301886793,0.7567567547114682,0.6513116116814653,0.8133333333333334,21,28,2,9,0.00031566619873046875
Dataset01_100,NBayesf,12,0.7495792662403231,0.7911268158617982,0.6782228205991249,0.8,0.7303370786516854,0.6486486468955441,0.3770751436050589,0.758888888888889,17,24,6,13,0.14348363876342773,0.6833333333333333,0.7391304347826086,0.5666666666666667,0.8,0.6415094339622641,0.6486486468955441,0.3770751436050589,0.758888888888889,17,24,6,13,0.0002758502960205078
Dataset01_100,NBayesf,13,0.8084819925950858,0.8037785880013258,0.8162234937731404,0.8,0.8099532398129593,0.7999999973333333,0.5999999999999629,0.8711111111111112,24,24,6,6,0.13448596000671387,0.8,0.8,0.8,0.8,0.8,0.7999999973333333,0.5999999999999629,0.8711111111111112,24,24,6,6,0.00041961669921875
Dataset01_100,NBayesf,14,0.8067990575563784,0.8063865546218487,0.8074722315718613,0.8333333333333334,0.806929027917928,0.8333333305555556,0.6666666666666254,0.88,25,25,5,5,0.14280080795288086,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333305555556,0.6666666666666254,0.88,25,25,5,5,0.00025773048400878906
Dataset01_100,NBayesf,15,0.8081454055873444,0.805880387570999,0.8118478626725009,0.7,0.8088531187122736,0.7499999973214285,0.4677071733467137,0.8133333333333334,23,21,9,7,0.1444087028503418,0.7333333333333333,0.71875,0.7666666666666667,0.7,0.7419354838709677,0.7499999973214285,0.4677071733467137,0.8133333333333334,23,21,9,7,0.00035119056701660156
Dataset01_100,NBayesf,16,0.7497475597441938,0.7914375490966221,0.6782228205991249,0.7333333333333333,0.7304694580387892,0.7096774170655566,0.43357427487726874,0.8211111111111111,21,22,8,9,0.14484620094299316,0.7166666666666667,0.7241379310344828,0.7,0.7333333333333333,0.711864406779661,0.7096774170655566,0.43357427487726874,0.8211111111111111,21,22,8,9,0.00032210350036621094
Dataset01_100,NBayesf,17,0.8004039044092898,0.8070175438596491,0.7896331201615617,0.8666666666666667,0.7982306907111262,0.7647058801038062,0.6054055145966432,0.8644444444444445,22,26,4,8,0.14649319648742676,0.8,0.8461538461538461,0.7333333333333333,0.8666666666666667,0.7857142857142857,0.7647058801038062,0.6054055145966432,0.8644444444444445,22,26,4,8,0.0002772808074951172
Dataset01_100,NBayesf,18,0.8120161561763716,0.788785046728972,0.852238303601481,0.8666666666666667,0.8192849053551206,0.8124999974609375,0.6681531047810195,0.9377777777777778,24,26,4,6,0.14528155326843262,0.8333333333333334,0.8571428571428571,0.8,0.8666666666666667,0.8275862068965517,0.8124999974609375,0.6681531047810195,0.9377777777777778,24,26,4,6,0.0003497600555419922
Dataset01_100,NBayesf,19,0.8034331874789633,0.8073644732355949,0.7970380343318748,0.8666666666666667,0.8021680216802168,0.7027027008035062,0.5141933776432621,0.798888888888889,19,26,4,11,0.15760302543640137,0.75,0.8260869565217391,0.6333333333333333,0.8666666666666667,0.7169811320754716,0.7027027008035062,0.5141933776432621,0.798888888888889,19,26,4,11,0.0003018379211425781
Dataset01_100,NBayesf,20,0.8027600134634804,0.8073112401776563,0.7953550992931673,0.8,0.8012885723974229,0.7741935458896982,0.5669817440702746,0.86,23,24,6,7,0.15367507934570312,0.7833333333333333,0.7931034482758621,0.7666666666666667,0.8,0.7796610169491526,0.7741935458896982,0.5669817440702746,0.86,23,24,6,7,0.0002655982971191406
Dataset01_100,NBayesf,21,0.8007404914170313,0.8075731497418245,0.7896331201615617,0.8,0.7985023825731791,0.7741935458896982,0.5669817440702746,0.8522222222222223,23,24,6,7,0.14712858200073242,0.7833333333333333,0.7931034482758621,0.7666666666666667,0.8,0.7796610169491526,0.7741935458896982,0.5669817440702746,0.8522222222222223,23,24,6,7,0.0002560615539550781
Dataset01_100,NBayesf,22,0.7815550319757657,0.8025316455696202,0.7468865701783911,0.9666666666666667,0.7737099023709902,0.7837837816654493,0.719870728700567,0.9544444444444444,22,29,1,8,0.13663530349731445,0.85,0.9565217391304348,0.7333333333333333,0.9666666666666667,0.8301886792452831,0.7837837816654493,0.719870728700567,0.9544444444444444,22,29,1,8,0.00028395652770996094
Dataset01_100,NBayesf,23,0.7554695388757994,0.7908045977011494,0.6947155839784585,0.7666666666666667,0.7396523920444364,0.7419354814776274,0.5002780094737717,0.788888888888889,22,23,7,8,0.13321924209594727,0.75,0.7586206896551724,0.7333333333333333,0.7666666666666667,0.7457627118644068,0.7419354814776274,0.5002780094737717,0.788888888888889,22,23,7,8,0.0002732276916503906
Dataset01_100,NBayesf,24,0.8007404914170313,0.8075731497418245,0.7896331201615617,0.8,0.7985023825731791,0.7741935458896982,0.5669817440702746,0.8600000000000001,23,24,6,7,0.13550758361816406,0.7833333333333333,0.7931034482758621,0.7666666666666667,0.8,0.7796610169491526,0.7741935458896982,0.5669817440702746,0.8600000000000001,23,24,6,7,0.0003349781036376953
Dataset01_100,NBayesf,25,0.8029283069673511,0.8069577080491133,0.7963648603163918,0.8333333333333334,0.8016262917160766,0.735294115484429,0.5381382351970161,0.87,21,25,5,9,0.14425873756408691,0.7666666666666667,0.8076923076923077,0.7,0.8333333333333334,0.75,0.735294115484429,0.5381382351970161,0.87,21,25,5,9,0.00041413307189941406
Dataset01_100,NBayesf,26,0.8073039380679906,0.8027188328912467,0.8148771457421744,0.8333333333333334,0.8087522966427259,0.8928571396683673,0.7349684152591215,0.91,27,25,5,3,0.1490955352783203,0.8666666666666667,0.84375,0.9,0.8333333333333334,0.8709677419354839,0.8928571396683673,0.7349684152591215,0.91,27,25,5,3,0.00026226043701171875
