dataset,network,partition,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
Dataset01_100,RandomForestf,1,1.0,1.0,1.0,0.9032258064516129,1.0,0.8749999972656249,0.7707216521125869,0.9521505376344086,26,28,3,4,32.13741612434387,0.8852459016393442,0.896551724137931,0.8666666666666667,0.9032258064516129,0.8813559322033898,0.8749999972656249,0.7707216521125869,0.9521505376344086,26,28,3,4,0.0584712028503418
Dataset01_100,RandomForestf,2,1.0,1.0,1.0,0.9666666666666667,1.0,0.8285714262040816,0.781567910621235,0.9510752688172042,25,29,1,6,18.00535750389099,0.8852459016393442,0.9615384615384616,0.8064516129032258,0.9666666666666667,0.8771929824561403,0.8285714262040816,0.781567910621235,0.9510752688172042,25,29,1,6,0.005623817443847656
Dataset01_100,RandomForestf,3,1.0,1.0,1.0,0.9333333333333333,1.0,0.9333333302222222,0.8666666666666132,0.981111111111111,28,28,2,2,18.18174982070923,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333302222222,0.8666666666666132,0.981111111111111,28,28,2,2,0.0056400299072265625
Dataset01_100,RandomForestf,4,1.0,1.0,1.0,0.9,1.0,0.899999997,0.7999999999999506,0.9655555555555555,27,27,3,3,17.75853991508484,0.9,0.9,0.9,0.9,0.9,0.899999997,0.7999999999999506,0.9655555555555555,27,27,3,3,0.005793094635009766
Dataset01_100,RandomForestf,5,1.0,1.0,1.0,0.9,1.0,0.8709677391259105,0.7670929478597832,0.9588888888888889,26,27,3,4,31.498941659927368,0.8833333333333333,0.896551724137931,0.8666666666666667,0.9,0.8813559322033898,0.8709677391259105,0.7670929478597832,0.9588888888888889,26,27,3,4,0.05727839469909668
Dataset01_100,RandomForestf,6,0.991921911814204,0.9966021066938499,0.987209693705823,0.8666666666666667,0.9918836658775786,0.9285714252551021,0.8017837257372235,0.9588888888888888,28,26,4,2,16.71167016029358,0.9,0.875,0.9333333333333333,0.8666666666666667,0.9032258064516129,0.9285714252551021,0.8017837257372235,0.9588888888888888,28,26,4,2,0.0008993148803710938
Dataset01_100,RandomForestf,7,1.0,1.0,1.0,0.9333333333333333,1.0,0.9655172380499405,0.9005004170527889,0.9738888888888889,29,28,2,1,17.707055807113647,0.95,0.9354838709677419,0.9666666666666667,0.9333333333333333,0.9508196721311475,0.9655172380499405,0.9005004170527889,0.9738888888888889,29,28,2,1,0.005450010299682617
Dataset01_100,RandomForestf,8,0.9917536183103333,0.9976158038147139,0.985863345674857,0.9333333333333333,0.9917047570678855,0.8484848459136822,0.7705289916986813,0.9333333333333333,25,28,2,5,16.429407119750977,0.8833333333333333,0.9259259259259259,0.8333333333333334,0.9333333333333333,0.8771929824561403,0.8484848459136822,0.7705289916986813,0.9333333333333333,25,28,2,5,0.0008985996246337891
Dataset01_100,RandomForestf,9,0.991248737798721,0.9969356486210419,0.9855267586671155,0.8333333333333334,0.991198375084631,0.8928571396683673,0.7349684152591215,0.9172222222222223,27,25,5,3,16.289035081863403,0.8666666666666667,0.84375,0.9,0.8333333333333334,0.8709677419354839,0.8928571396683673,0.7349684152591215,0.9172222222222223,27,25,5,3,0.0008864402770996094
Dataset01_100,RandomForestf,10,1.0,1.0,1.0,0.9666666666666667,1.0,0.9062499971679687,0.8685990362153254,0.9699999999999999,27,29,1,3,17.72832226753235,0.9333333333333333,0.9642857142857143,0.9,0.9666666666666667,0.9310344827586207,0.9062499971679687,0.8685990362153254,0.9699999999999999,27,29,1,3,0.0054433345794677734
