dataset,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
15,MobileNetV2,128,0.3,0.3,64,1,0.9011106491088867,0.8974084258079529,0.8949167132377625,0.8954391479492188,0.8939104676246643,0.8932580947875977,0.7884289622306824,0.9662867188453674,4190.0,4203.0,479.0,492.0,29.38407611846924,0.875,0.8921738862991333,0.84375,0.8980262875556946,0.8670312762260437,0.852443516254425,0.7431334853172302,0.9420158863067627,1026.0,1092.0,124.0,190.0,3.5735957622528076
15,MobileNetV2,128,0.3,0.3,64,24,0.9752013683319092,0.9753872156143188,0.974353551864624,0.97542405128479,0.9748917818069458,0.9744122624397278,0.9498281478881836,0.9972710013389587,4597.0,4602.0,116.0,121.0,114.05816435813904,0.8947368264198303,0.8932676315307617,0.8947368264198303,0.8930920958518982,0.8940669894218445,0.8944476246833801,0.7878479957580566,0.9515728950500488,1088.0,1086.0,130.0,128.0,3.4661154747009277
15,MobileNetV2,128,0.3,0.3,64,11,0.9404661059379578,0.939631462097168,0.939830482006073,0.9392595291137695,0.9393411874771118,0.939599335193634,0.8788175582885742,0.9875466227531433,4436.0,4435.0,285.0,284.0,65.45397925376892,0.6348684430122375,0.6348684430122375,0.6348684430122375,0.6348684430122375,0.6349826455116272,0.634631335735321,0.2697567045688629,0.7712439894676208,772.0,772.0,444.0,444.0,3.3608555793762207
15,MobileNetV2,128,0.3,0.3,64,0,0.8644425868988037,0.8547205328941345,0.8621199131011963,0.853462815284729,0.8587492108345032,0.8606055974960327,0.7160945534706116,0.9372212290763855,4083.0,4042.0,694.0,653.0,26.848015308380127,0.8932291865348816,0.8553921580314636,0.9088541865348816,0.8463541865348816,0.8810520768165588,0.904158890247345,0.7575241923332214,0.9496433734893799,1047.0,975.0,177.0,105.0,3.5608856678009033
15,MobileNetV2,128,0.3,0.3,64,0,0.8764583468437195,0.8731594681739807,0.8647916913032532,0.8743749856948853,0.8684936761856079,0.8672997951507568,0.7396261692047119,0.9471171498298645,4151.0,4197.0,603.0,649.0,27.08789896965027,0.7612847089767456,0.7057554125785828,0.8515625,0.6449652910232544,0.7709842324256897,0.8176338076591492,0.509573221206665,0.8570960760116577,981.0,743.0,409.0,171.0,3.846951723098755
15,MobileNetV2,128,0.3,0.3,64,8,0.9445145130157471,0.9427072405815125,0.944094181060791,0.9419317841529846,0.9429142475128174,0.9437455534934998,0.8857905864715576,0.9868829846382141,4492.0,4485.0,273.0,266.0,57.43416881561279,0.8446180820465088,0.850220263004303,0.8376736044883728,0.8524305820465088,0.8436879515647888,0.8405267596244812,0.6902854442596436,0.9042531251907349,965.0,982.0,170.0,187.0,3.5116398334503174
15,MobileNetV2,128,0.3,0.3,64,1,0.906917154788971,0.9051779508590698,0.906917154788971,0.9042088389396667,0.9052878618240356,0.9060033559799194,0.8104888796806335,0.968800961971283,4248.0,4239.0,445.0,436.0,30.765709161758423,0.7927631735801697,0.8399999737739563,0.6907894611358643,0.8684210777282715,0.7577421069145203,0.7380415201187134,0.5687461495399475,0.8934154510498047,840.0,1056.0,160.0,376.0,3.3737611770629883
15,MobileNetV2,128,0.3,0.3,64,2,0.9113414883613586,0.9140127301216125,0.9109182953834534,0.9143674969673157,0.9125428199768066,0.9114282131195068,0.8255475759506226,0.9745161533355713,4305.0,4321.0,405.0,421.0,33.43411612510681,0.7378472089767456,0.7454212307929993,0.7065972089767456,0.7586805820465088,0.7255635261535645,0.7210516929626465,0.4660918414592743,0.8252487778663635,814.0,874.0,278.0,338.0,3.3958988189697266
15,MobileNetV2,128,0.3,0.3,64,14,0.9471919536590576,0.9471143484115601,0.9457250833511353,0.9473379254341125,0.9465192556381226,0.9461292624473572,0.8932933807373047,0.9897889494895935,4513.0,4520.0,252.0,259.0,76.94084811210632,0.8671875,0.8522250056266785,0.8810763955116272,0.8472222089767456,0.8664305210113525,0.8770809173583984,0.728947639465332,0.9382328391075134,1015.0,976.0,176.0,137.0,3.3672678470611572
15,MobileNetV2,128,0.3,0.3,64,22,0.9753961563110352,0.9753910303115845,0.9751876592636108,0.9754166603088379,0.9753108620643616,0.9752601385116577,0.9506754279136658,0.9971635937690735,4677.0,4678.0,118.0,119.0,107.00011658668518,0.8676470518112183,0.8761814832687378,0.8520220518112183,0.8795955777168274,0.8637195229530334,0.856489896774292,0.7320281267166138,0.928479015827179,927.0,957.0,131.0,161.0,3.4076244831085205
