dataset,network,partition,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
Dataset01_40.0,KNNf,1,0.9289681871738764,0.9479789103690686,0.9077751598788287,1.0,0.9274415405777167,0.8157894715373961,0.7908467591709225,0.9053763440860215,23,31,0,7,0.025709867477416992,0.8852459016393442,1.0,0.7666666666666667,1.0,0.8679245283018868,0.8157894715373961,0.7908467591709225,0.9053763440860215,23,31,0,7,0.0032417774200439453
Dataset01_40.0,KNNf,2,0.9282948998485103,0.9482029598308668,0.906060606060606,0.9333333333333333,0.9266528925619835,0.8749999972656249,0.8051673125421998,0.9215053763440861,27,28,2,4,0.025720596313476562,0.9016393442622951,0.9310344827586207,0.8709677419354839,0.9333333333333333,0.9,0.8749999972656249,0.8051673125421998,0.9215053763440861,27,28,2,4,0.0031805038452148438
Dataset01_40.0,KNNf,3,0.9276337933355773,0.9475167312433955,0.9054190508246381,0.9,0.9259896729776248,0.9642857108418367,0.8685990362153254,0.98,29,27,3,1,0.02648639678955078,0.9333333333333333,0.90625,0.9666666666666667,0.9,0.9354838709677419,0.9642857108418367,0.8685990362153254,0.98,29,27,3,1,0.003844738006591797
Dataset01_40.0,KNNf,4,1.0,1.0,1.0,0.8666666666666667,1.0,0.8124999974609375,0.6681531047810195,0.8333333333333334,24,26,4,6,0.025744199752807617,0.8333333333333334,0.8571428571428571,0.8,0.8666666666666667,0.8275862068965517,0.8124999974609375,0.6681531047810195,0.8333333333333334,24,26,4,6,0.002895832061767578
Dataset01_40.0,KNNf,5,1.0,1.0,1.0,0.8666666666666667,1.0,0.9285714252551021,0.8017837257372235,0.9,28,26,4,2,0.026524066925048828,0.9,0.875,0.9333333333333333,0.8666666666666667,0.9032258064516129,0.9285714252551021,0.8017837257372235,0.9,28,26,4,2,0.0036602020263671875
Dataset01_40.0,KNNf,6,1.0,1.0,1.0,0.9,1.0,0.9310344795481569,0.833796682456286,0.9166666666666666,28,27,3,2,0.026495695114135742,0.9166666666666666,0.9032258064516129,0.9333333333333333,0.9,0.9180327868852459,0.9310344795481569,0.833796682456286,0.9166666666666666,28,27,3,2,0.0037140846252441406
Dataset01_40.0,KNNf,7,1.0,1.0,1.0,0.8333333333333334,1.0,0.8620689625445898,0.7003892132632803,0.85,26,25,5,4,0.02584385871887207,0.85,0.8387096774193549,0.8666666666666667,0.8333333333333334,0.8524590163934426,0.8620689625445898,0.7003892132632803,0.85,26,25,5,4,0.002951383590698242
Dataset01_40.0,KNNf,8,0.9281386738471895,0.9491525423728814,0.9047458768091552,0.9333333333333333,0.9264173703256936,0.9333333302222222,0.8666666666666132,0.9522222222222223,28,28,2,2,0.026500701904296875,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333302222222,0.8666666666666132,0.9522222222222223,28,28,2,2,0.003822803497314453
Dataset01_40.0,KNNf,9,1.0,1.0,1.0,0.7666666666666667,1.0,0.9583333293402777,0.7484551991837007,0.8666666666666666,29,23,7,1,0.02582097053527832,0.8666666666666667,0.8055555555555556,0.9666666666666667,0.7666666666666667,0.8787878787878788,0.9583333293402777,0.7484551991837007,0.8666666666666666,29,23,7,1,0.0028679370880126953
Dataset01_40.0,KNNf,10,0.9274654998317065,0.9721189591078067,0.8801750252440256,0.9666666666666667,0.9238650415121004,0.8285714262040816,0.7775419143501859,0.9083333333333334,24,29,1,6,0.025748729705810547,0.8833333333333333,0.96,0.8,0.9666666666666667,0.8727272727272727,0.8285714262040816,0.7775419143501859,0.9083333333333334,24,29,1,6,0.0030455589294433594
