dataset,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
65,ResNet50,128,0.3,0.3,64,13,0.9564288854598999,0.9564195871353149,0.9562153220176697,0.9557855129241943,0.9562632441520691,0.956771731376648,0.9125822186470032,0.9903477430343628,4477.0,4478.0,204.0,205.0,185.39816093444824,0.9539473652839661,0.9539473652839661,0.9539473652839661,0.9539473652839661,0.9539472460746765,0.9539473652839661,0.9078947305679321,0.98876953125,1160.0,1160.0,56.0,56.0,4.108481407165527
65,ResNet50,128,0.3,0.3,64,20,0.9887664318084717,0.9883449673652649,0.9885544776916504,0.9883041381835938,0.9884072542190552,0.9885282516479492,0.9768274426460266,0.9993250370025635,4664.0,4663.0,55.0,54.0,254.49020791053772,0.9580591917037964,0.9580591917037964,0.9580591917037964,0.9580591917037964,0.9580591320991516,0.9580591917037964,0.9161184430122375,0.9852361679077148,1165.0,1165.0,51.0,51.0,3.761864185333252
65,ResNet50,128,0.3,0.3,64,7,0.9478813409805298,0.9482502937316895,0.9472457766532898,0.9484093189239502,0.9478656649589539,0.9475542306900024,0.8958642482757568,0.9880214929580688,4471.0,4476.0,244.0,249.0,128.15892696380615,0.9473684430122375,0.9474116563796997,0.9481908082962036,0.9473684430122375,0.9478337168693542,0.9480863809585571,0.8955639004707336,0.9869068264961243,1153.0,1152.0,64.0,63.0,3.733119487762451
65,ResNet50,128,0.3,0.3,64,0,0.841849684715271,0.8354030847549438,0.8380489945411682,0.8348817825317383,0.8369005918502808,0.8371901512145996,0.6731218695640564,0.9130970239639282,3969.0,3954.0,782.0,767.0,60.79104709625244,0.5,0.5,0.5,0.5,0.4999999403953552,0.5,0.0,0.5,576.0,576.0,576.0,576.0,3.7308342456817627
65,ResNet50,128,0.3,0.3,64,12,0.9536060690879822,0.9533853530883789,0.9531843066215515,0.9539583325386047,0.953852653503418,0.9537763595581055,0.9077332615852356,0.9893901944160461,4520.0,4521.0,221.0,222.0,176.1108729839325,0.9557291865348816,0.9555749297142029,0.9522569179534912,0.9557291865348816,0.95389723777771,0.9524705410003662,0.9080102443695068,0.9890024065971375,1097.0,1101.0,51.0,55.0,3.8078646659851074
65,ResNet50,128,0.3,0.3,64,5,0.9291719198226929,0.9296366572380066,0.9302228093147278,0.9298105835914612,0.9301689863204956,0.9303751587867737,0.860281765460968,0.983070969581604,4426.0,4423.0,335.0,332.0,109.50368523597717,0.9079861044883728,0.9102005362510681,0.90625,0.9105902910232544,0.9081910252571106,0.9067307710647583,0.8168671131134033,0.9745799899101257,1044.0,1049.0,103.0,108.0,3.693887233734131
65,ResNet50,128,0.3,0.3,64,16,0.9645602107048035,0.965200662612915,0.965200662612915,0.9646678566932678,0.9646705389022827,0.964691698551178,0.9293660521507263,0.9951863288879395,4521.0,4521.0,163.0,163.0,213.83338260650635,0.9613487124443054,0.9605262875556946,0.9605262875556946,0.9605262875556946,0.9605324268341064,0.9605250954627991,0.9210642576217651,0.9918801784515381,1168.0,1168.0,48.0,48.0,3.8707804679870605
65,ResNet50,128,0.3,0.3,64,5,0.9363097548484802,0.9349662065505981,0.9369445443153381,0.9347707629203796,0.9358993768692017,0.9367685914039612,0.8716875314712524,0.9843109846115112,4428.0,4418.0,308.0,298.0,108.4919810295105,0.7326388955116272,0.7331606149673462,0.7369791865348816,0.7317708134651184,0.7350599765777588,0.7356235384941101,0.4687771201133728,0.8420699834823608,849.0,843.0,309.0,303.0,3.8304991722106934
65,ResNet50,128,0.3,0.3,64,0,0.8412500023841858,0.8415323495864868,0.8374999761581421,0.8422916531562805,0.8393410444259644,0.8387631773948669,0.6800642013549805,0.9196395874023438,4020.0,4043.0,757.0,780.0,61.3011839389801,0.4991319477558136,0.4991319477558136,0.4991319477558136,0.4991319477558136,0.4991318881511688,0.4991319477558136,-0.0017361111240461469,0.49934932589530945,575.0,575.0,577.0,577.0,3.79262113571167
65,ResNet50,128,0.3,0.3,64,6,0.9364053606987,0.9363522529602051,0.9355713129043579,0.9363750219345093,0.9359113574028015,0.9356197118759155,0.8719335198402405,0.9868887066841125,4487.0,4491.0,305.0,309.0,118.89532995223999,0.5055146813392639,0.5055146813392639,0.5055146813392639,0.5055146813392639,0.5055146217346191,0.5055146813392639,0.011029412038624287,0.676444411277771,550.0,550.0,538.0,538.0,4.0277063846588135
65,ResNet50,128,0.3,0.3,64,8,0.9536256194114685,0.9526116251945496,0.9534148573875427,0.9516666531562805,0.9521114826202393,0.9524730443954468,0.9041982889175415,0.9885431528091431,4523.0,4519.0,225.0,221.0,137.39788341522217,0.5703125,0.5703125,0.5703125,0.5703125,0.5703124403953552,0.5703125,0.140625,0.6387819647789001,657.0,657.0,495.0,495.0,3.75421404838562
65,ResNet50,128,0.3,0.3,64,9,0.9520747065544128,0.9529045820236206,0.9529045820236206,0.9528782367706299,0.9528519511222839,0.9529558420181274,0.9057828187942505,0.9904447793960571,4593.0,4593.0,227.0,227.0,149.41326522827148,0.939338207244873,0.9375573992729187,0.9384191036224365,0.9375,0.9380047917366028,0.9383562803268433,0.875949501991272,0.981109082698822,1021.0,1020.0,68.0,67.0,3.807888984680176
65,ResNet50,128,0.3,0.3,64,7,0.9498299360275269,0.9496066570281982,0.949404776096344,0.9493243098258972,0.9491957426071167,0.949172854423523,0.8984527587890625,0.9895216226577759,4466.0,4467.0,237.0,238.0,127.93459415435791,0.9424341917037964,0.9423868060112,0.9416118264198303,0.9424341917037964,0.9419744610786438,0.9417130351066589,0.8840509653091431,0.9875670671463013,1145.0,1146.0,70.0,71.0,3.7906975746154785
65,ResNet50,128,0.3,0.3,64,11,0.9550676941871643,0.9544708728790283,0.9548625349998474,0.9527598023414612,0.9536100029945374,0.9541158080101013,0.9070799350738525,0.9908658266067505,4654.0,4652.0,222.0,220.0,168.35635709762573,0.9560546875,0.9579256176948547,0.9560546875,0.9580078125,0.956954300403595,0.9562199711799622,0.9140753746032715,0.9907946586608887,979.0,981.0,43.0,45.0,3.6305644512176514
