dataset,network,partition,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
Dataset01_75.0,GradientBoostingf,1,0.9136509005217976,0.9408177905308465,0.8828677213059576,0.967741935483871,0.9109220350755339,0.9090909063360881,0.8705547206092853,0.9612903225806452,27,30,1,3,1.571134328842163,0.9344262295081968,0.9642857142857143,0.9,0.967741935483871,0.9310344827586207,0.9090909063360881,0.8705547206092853,0.9612903225806452,27,30,1,3,0.0008623600006103516
Dataset01_75.0,GradientBoostingf,2,0.9008584413398418,0.9359209080922739,0.8606060606060606,0.9666666666666667,0.8966847921417295,0.8529411739619377,0.8106231510027135,0.9731182795698925,26,29,1,5,1.3470337390899658,0.9016393442622951,0.9629629629629629,0.8387096774193549,0.9666666666666667,0.896551724137931,0.8529411739619377,0.8106231510027135,0.9731182795698925,26,29,1,5,0.00045680999755859375
Dataset01_75.0,GradientBoostingf,3,0.9008751262201279,0.9337217771303714,0.863009087849209,0.9333333333333333,0.8969739373797446,0.9032258035379812,0.833796682456286,0.9755555555555556,27,28,2,3,1.2109835147857666,0.9166666666666666,0.9310344827586207,0.9,0.9333333333333333,0.9152542372881356,0.9032258035379812,0.833796682456286,0.9755555555555556,27,28,2,3,0.0004894733428955078
Dataset01_75.0,GradientBoostingf,4,0.9005385392123864,0.9352596927578639,0.8606529787950186,0.9666666666666667,0.8964066608238387,0.8055555533179012,0.7484551991837007,0.9644444444444444,23,29,1,7,1.192384958267212,0.8666666666666667,0.9583333333333334,0.7666666666666667,0.9666666666666667,0.8518518518518519,0.8055555533179012,0.7484551991837007,0.9644444444444444,23,29,1,7,0.0004699230194091797
Dataset01_75.0,GradientBoostingf,5,0.9193874116459104,0.9469153515064562,0.8885897004375631,0.9333333333333333,0.9168258378190658,0.8749999972656249,0.8017837257372235,0.9688888888888889,26,28,2,4,1.7561912536621094,0.9,0.9285714285714286,0.8666666666666667,0.9333333333333333,0.896551724137931,0.8749999972656249,0.8017837257372235,0.9688888888888889,26,28,2,4,0.0006735324859619141
Dataset01_75.0,GradientBoostingf,6,0.9118142039717267,0.9390025116612846,0.8808481992595086,1.0,0.908996179228899,0.9374999970703125,0.9354143466934274,0.9955555555555555,28,30,0,2,1.5347721576690674,0.9666666666666667,1.0,0.9333333333333333,1.0,0.9655172413793104,0.9374999970703125,0.9354143466934274,0.9955555555555555,28,30,0,2,0.0006048679351806641
Dataset01_75.0,GradientBoostingf,7,0.9007068327162572,0.9365603226989365,0.859643217771794,0.9,0.8964548964548964,0.8437499973632813,0.7349684152591215,0.918888888888889,25,27,3,5,1.2204642295837402,0.8666666666666667,0.8928571428571429,0.8333333333333334,0.9,0.8620689655172413,0.8437499973632813,0.7349684152591215,0.918888888888889,25,27,3,5,0.0004782676696777344
Dataset01_75.0,GradientBoostingf,8,0.8847189498485358,0.9290540540540541,0.8330528441602154,0.9666666666666667,0.878438331854481,0.7631578927285319,0.6917144638660286,0.895,21,29,1,9,0.9768984317779541,0.8333333333333334,0.9545454545454546,0.7,0.9666666666666667,0.8076923076923077,0.7631578927285319,0.6917144638660286,0.895,21,29,1,9,0.0003714561462402344
Dataset01_75.0,GradientBoostingf,9,0.9108044429485022,0.9395030608570399,0.8781555031975766,0.9666666666666667,0.907794015309673,0.8285714262040816,0.7775419143501859,0.9855555555555555,24,29,1,6,1.4872918128967285,0.8833333333333333,0.96,0.8,0.9666666666666667,0.8727272727272727,0.8285714262040816,0.7775419143501859,0.9855555555555555,24,29,1,6,0.0006082057952880859
Dataset01_75.0,GradientBoostingf,10,0.8862335913833727,0.9211009174311927,0.8448333894311679,0.9333333333333333,0.8813202247191011,0.7567567547114682,0.6513116116814653,0.8477777777777777,21,28,2,9,1.0290777683258057,0.8166666666666667,0.9130434782608695,0.7,0.9333333333333333,0.7924528301886793,0.7567567547114682,0.6513116116814653,0.8477777777777777,21,28,2,9,0.00035500526428222656
Dataset01_75.0,GradientBoostingf,11,0.915011780545271,0.9451263537906137,0.88118478626725,0.9333333333333333,0.9120362306218429,0.9333333302222222,0.8666666666666132,0.9533333333333334,28,28,2,2,1.4533252716064453,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333302222222,0.8666666666666132,0.9533333333333334,28,28,2,2,0.0005452632904052734
Dataset01_75.0,GradientBoostingf,12,0.8995287781891619,0.9347985347985348,0.858970043756311,0.9666666666666667,0.8952815295562182,0.7837837816654493,0.719870728700567,0.9388888888888889,22,29,1,8,1.187713384628296,0.85,0.9565217391304348,0.7333333333333333,0.9666666666666667,0.8301886792452831,0.7837837816654493,0.719870728700567,0.9388888888888889,22,29,1,8,0.0004611015319824219
Dataset01_75.0,GradientBoostingf,13,0.8833726018175698,0.9181350954478708,0.8418041063614945,0.9,0.8783143107989464,0.8709677391259105,0.7670929478597832,0.9388888888888889,26,27,3,4,0.9868195056915283,0.8833333333333333,0.896551724137931,0.8666666666666667,0.9,0.8813559322033898,0.8709677391259105,0.7670929478597832,0.9388888888888889,26,27,3,4,0.00035953521728515625
Dataset01_75.0,GradientBoostingf,14,0.9187142376304275,0.9455587392550143,0.8885897004375631,0.8666666666666667,0.9161894846434149,0.8387096747138397,0.7003892132632803,0.9288888888888889,25,26,4,5,1.7615723609924316,0.85,0.8620689655172413,0.8333333333333334,0.8666666666666667,0.847457627118644,0.8387096747138397,0.7003892132632803,0.9288888888888889,25,26,4,5,0.000640869140625
Dataset01_75.0,GradientBoostingf,15,0.8781555031975766,0.9156492785793563,0.8330528441602154,0.8333333333333334,0.8724004229820232,0.8620689625445898,0.7003892132632803,0.9288888888888889,26,25,5,4,0.9797923564910889,0.85,0.8387096774193549,0.8666666666666667,0.8333333333333334,0.8524590163934426,0.8620689625445898,0.7003892132632803,0.9288888888888889,26,25,5,4,0.0004429817199707031
Dataset01_75.0,GradientBoostingf,16,0.9198922921575228,0.9476139217796914,0.8889262874453047,0.9333333333333333,0.9173324070857937,0.8484848459136822,0.7705289916986813,0.9455555555555556,25,28,2,5,1.8259608745574951,0.8833333333333333,0.9259259259259259,0.8333333333333334,0.9333333333333333,0.8771929824561403,0.8484848459136822,0.7705289916986813,0.9455555555555556,25,28,2,5,0.0006959438323974609
Dataset01_75.0,GradientBoostingf,17,0.9138337260181757,0.9405231099964171,0.8835408953214406,0.9666666666666667,0.9111419645956265,0.8285714262040816,0.7775419143501859,0.9511111111111111,24,29,1,6,1.5028882026672363,0.8833333333333333,0.96,0.8,0.9666666666666667,0.8727272727272727,0.8285714262040816,0.7775419143501859,0.9511111111111111,24,29,1,6,0.0005714893341064453
Dataset01_75.0,GradientBoostingf,18,0.8769774486704813,0.9175988068605518,0.8283406260518344,0.9666666666666667,0.8706881301963559,0.8055555533179012,0.7484551991837007,0.8994444444444445,23,29,1,7,0.9801695346832275,0.8666666666666667,0.9583333333333334,0.7666666666666667,0.9666666666666667,0.8518518518518519,0.8055555533179012,0.7484551991837007,0.8994444444444445,23,29,1,7,0.0004134178161621094
Dataset01_75.0,GradientBoostingf,19,0.9124873779872097,0.9413035649981994,0.879838438236284,0.9333333333333333,0.9095337508698678,0.9333333302222222,0.8666666666666132,0.9711111111111111,28,28,2,2,1.513270378112793,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333302222222,0.8666666666666132,0.9711111111111111,28,28,2,2,0.0005543231964111328
Dataset01_75.0,GradientBoostingf,20,0.875799394143386,0.9149015235971758,0.8286772130595759,0.9333333333333333,0.8696573648887319,0.7777777756172839,0.680413817439728,0.9544444444444444,22,28,2,8,0.9871623516082764,0.8333333333333334,0.9166666666666666,0.7333333333333333,0.9333333333333333,0.8148148148148148,0.7777777756172839,0.680413817439728,0.9544444444444444,22,28,2,8,0.0003638267517089844
