dataset,network,partition,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
Dataset01_90.0,NBayesf,1,0.8328564214778656,0.8332210242587601,0.8323796701447325,0.7741935483870968,0.8328001347028119,0.8275862040428061,0.6081811919603514,0.8344086021505377,25,24,7,5,0.15354442596435547,0.8032786885245902,0.78125,0.8333333333333334,0.7741935483870968,0.8064516129032258,0.8275862040428061,0.6081811919603514,0.8344086021505377,25,24,7,5,0.00027108192443847656
Dataset01_90.0,NBayesf,2,0.8126578017168827,0.8537142857142858,0.7545454545454545,0.9333333333333333,0.8010723860589812,0.7999999977142856,0.7152596456032999,0.8731182795698924,24,28,2,7,0.15586256980895996,0.8524590163934426,0.9230769230769231,0.7741935483870968,0.9333333333333333,0.8421052631578947,0.7999999977142856,0.7152596456032999,0.8731182795698924,24,28,2,7,0.00038933753967285156
Dataset01_90.0,NBayesf,3,0.8256479299899024,0.8511796733212341,0.7892965331538203,0.8666666666666667,0.8190709046454768,0.8666666637777778,0.733333333333288,0.8922222222222222,26,26,4,4,0.15550017356872559,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666637777778,0.733333333333288,0.8922222222222222,26,26,4,4,0.0004458427429199219
Dataset01_90.0,NBayesf,4,0.8256479299899024,0.8514347984017435,0.7889599461460788,0.8666666666666667,0.8190076869322153,0.8387096747138397,0.7003892132632803,0.9177777777777778,25,26,4,5,0.15432476997375488,0.85,0.8620689655172413,0.8333333333333334,0.8666666666666667,0.847457627118644,0.8387096747138397,0.7003892132632803,0.9177777777777778,25,26,4,5,0.0002665519714355469
Dataset01_90.0,NBayesf,5,0.8259845169976439,0.8515426497277677,0.7896331201615617,0.8666666666666667,0.8194201886133426,0.8124999974609375,0.6681531047810195,0.9111111111111112,24,26,4,6,0.1446514129638672,0.8333333333333334,0.8571428571428571,0.8,0.8666666666666667,0.8275862068965517,0.8124999974609375,0.6681531047810195,0.9111111111111112,24,26,4,6,0.000293731689453125
Dataset01_90.0,NBayesf,6,0.8182430158195894,0.8518794194268701,0.7704476607202962,0.9333333333333333,0.809119830328738,0.9333333302222222,0.8666666666666132,0.9311111111111111,28,28,2,2,0.14424514770507812,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333302222222,0.8666666666666132,0.9311111111111111,28,28,2,2,0.00029587745666503906
Dataset01_90.0,NBayesf,7,0.8318747896331201,0.8462078651685393,0.8111746886570178,0.8,0.8283210173569342,0.8275862040428061,0.6336854786667774,0.8711111111111111,25,24,6,5,0.14667749404907227,0.8166666666666667,0.8064516129032258,0.8333333333333334,0.8,0.819672131147541,0.8275862040428061,0.6336854786667774,0.8711111111111111,25,24,6,5,0.0003070831298828125
Dataset01_90.0,NBayesf,8,0.8259845169976439,0.8510329829648423,0.7903062941770448,0.9666666666666667,0.8195462478184992,0.7631578927285319,0.6917144638660286,0.91,21,29,1,9,0.14643001556396484,0.8333333333333334,0.9545454545454546,0.7,0.9666666666666667,0.8076923076923077,0.7631578927285319,0.6917144638660286,0.91,21,29,1,9,0.00028133392333984375
Dataset01_90.0,NBayesf,9,0.8263211040053854,0.8511408909815285,0.7909794681925277,0.8,0.8199581297976274,0.8571428540816326,0.6681531047810195,0.8955555555555555,26,24,6,4,0.14190077781677246,0.8333333333333334,0.8125,0.8666666666666667,0.8,0.8387096774193549,0.8571428540816326,0.6681531047810195,0.8955555555555555,26,24,6,4,0.00028133392333984375
Dataset01_90.0,NBayesf,10,0.8236284079434534,0.8523268596555514,0.7829013800067317,0.8333333333333334,0.8161403508771929,0.7812499975585937,0.6013377943029176,0.851111111111111,23,25,5,7,0.1416635513305664,0.8,0.8214285714285714,0.7666666666666667,0.8333333333333334,0.7931034482758621,0.7812499975585937,0.6013377943029176,0.851111111111111,23,25,5,7,0.00029277801513671875
