Exame,InstanciaExame,Teste,Treino,ImageCheckSum,ImagePathName,ImageShapeR,ImageShapeC,ImageShapeChannels,ObjectsBoundingBoxMinimumR,ObjectsBoundingBoxMinimumC,ObjectsBoundingBoxMaximumR,ObjectsBoundingBoxMaximumC,ObjectsCategory
1,64,1,0,eea3bfd6a929bcb06f9786667cd3fbb2,/images/41be1bd3-0d31-4881-bf1f-3ccdfa21ff12.jpg,1383,1944,3,445,589,611,769,trophozoite
2,54,1,0,2d85fc8ffdb875bb569878243437e4f5,/images/64985a1e-16bb-4016-a01c-c21a5b86e572.jpg,1383,1944,3,591,499,744,669,ring
2,55,1,0,2d85fc8ffdb875bb569878243437e4f5,/images/64985a1e-16bb-4016-a01c-c21a5b86e572.jpg,1383,1944,3,1026,299,1184,465,ring
2,56,1,0,2d85fc8ffdb875bb569878243437e4f5,/images/64985a1e-16bb-4016-a01c-c21a5b86e572.jpg,1383,1944,3,180,489,313,668,ring
3,72,1,0,f7c02b6247f3ccfcd4a22c1f06e0c72c,/images/c70894fa-50e8-4eed-a5a8-159a20153a49.jpg,1383,1944,3,821,255,972,418,ring
3,73,1,0,f7c02b6247f3ccfcd4a22c1f06e0c72c,/images/c70894fa-50e8-4eed-a5a8-159a20153a49.jpg,1383,1944,3,127,680,319,824,trophozoite
3,74,1,0,f7c02b6247f3ccfcd4a22c1f06e0c72c,/images/c70894fa-50e8-4eed-a5a8-159a20153a49.jpg,1383,1944,3,378,88,590,249,trophozoite
4,47,1,0,50634ef166ae993b4562b96f315ff6db,/images/abb72ce2-4193-4dd3-a34c-61c2ee22ccff.jpg,1383,1944,3,760,553,867,721,schizont
5,40,1,0,74dd777a74e5a4b24aaee574a99e1459,/images/8db76867-671a-4488-a7b6-991e4dd2e05f.jpg,1383,1944,3,223,807,342,916,ring
5,49,1,0,74dd777a74e5a4b24aaee574a99e1459,/images/8db76867-671a-4488-a7b6-991e4dd2e05f.jpg,1383,1944,3,962,1522,1108,1681,ring
6,59,1,0,0309b4eeafbe95fbd799e8cb8f046c09,/images/ebc4056e-d766-43cf-b6b4-5dac79d96e84.jpg,1383,1944,3,118,723,268,905,difficult
7,52,1,0,533691959428fba83123c7ff18401cbe,/images/d9ecacb0-14c7-4862-930b-18bb51d5f392.jpg,1383,1944,3,963,783,1072,916,trophozoite
8,49,1,0,971806fb0d372327b3b36734f71c2286,/images/96287315-87a1-4045-9e16-119e045bf12a.jpg,1383,1944,3,568,502,678,638,ring
9,26,1,0,f20712e261ef64afbf171f44ad29d927,/images/37df4ffb-f268-4557-94d6-bf68d005feae.jpg,1383,1944,3,582,486,729,635,ring
9,27,1,0,f20712e261ef64afbf171f44ad29d927,/images/37df4ffb-f268-4557-94d6-bf68d005feae.jpg,1383,1944,3,714,271,843,428,ring
9,28,1,0,f20712e261ef64afbf171f44ad29d927,/images/37df4ffb-f268-4557-94d6-bf68d005feae.jpg,1383,1944,3,1141,1682,1289,1832,ring
10,27,1,0,819ee44248dfca33b42bcf1241befc60,/images/8298aca0-5099-4d45-88ca-ec8ac7922e77.jpg,1383,1944,3,912,579,1075,747,trophozoite
10,29,1,0,819ee44248dfca33b42bcf1241befc60,/images/8298aca0-5099-4d45-88ca-ec8ac7922e77.jpg,1383,1944,3,174,664,303,824,trophozoite
10,30,1,0,819ee44248dfca33b42bcf1241befc60,/images/8298aca0-5099-4d45-88ca-ec8ac7922e77.jpg,1383,1944,3,66,676,207,863,trophozoite
11,55,1,0,316e46d12311e077d4009a796482bc98,/images/a612e0d5-6a95-43cc-96a6-6fbcb8d45ff4.jpg,1383,1944,3,647,639,729,729,schizont
11,56,1,0,316e46d12311e077d4009a796482bc98,/images/a612e0d5-6a95-43cc-96a6-6fbcb8d45ff4.jpg,1383,1944,3,652,758,736,840,schizont
12,44,1,0,9df5f009ef71c2e0c77df7e2fa1c74f5,/images/a6e72060-5bde-490c-bdd7-7d9cb0fce7fc.jpg,1383,1944,3,46,1219,201,1368,trophozoite
12,45,1,0,9df5f009ef71c2e0c77df7e2fa1c74f5,/images/a6e72060-5bde-490c-bdd7-7d9cb0fce7fc.jpg,1383,1944,3,1133,542,1289,703,ring
13,41,1,0,309e3244e5ec658265a78b2d883678fa,/images/c11081a1-4fd9-4003-8bd9-0727eae62d0a.jpg,1383,1944,3,163,1028,316,1190,gametocyte
13,42,1,0,309e3244e5ec658265a78b2d883678fa,/images/c11081a1-4fd9-4003-8bd9-0727eae62d0a.jpg,1383,1944,3,1080,189,1187,316,trophozoite
13,43,1,0,309e3244e5ec658265a78b2d883678fa,/images/c11081a1-4fd9-4003-8bd9-0727eae62d0a.jpg,1383,1944,3,838,750,955,873,trophozoite
14,51,1,0,6b0890e55925fa17557a1b8802031c20,/images/738b7be5-59b5-4d8c-8769-cbf2385b9fc7.jpg,1383,1944,3,443,618,614,800,trophozoite
